Comment,Designator,Footprint,MPN,LCSC
0466002 2A,F7,Fuse_1206_3216Metric,,C3105
100k UVLO lo,R27,R_0805_2012Metric,,C149504
100n,"C13,C14,C3,C4,C8,C9,CB1,CB2,CB3,CB4,CB5,CB6,CD1,CD2,CD3,CD4,CD5,CD6",C_0805_2012Metric,,C49678
10R,"RN1,RN2,RN3,RN4,RN5,RN6,RP1,RP2,RP3,RP4,RP5,RP6",R_0805_2012Metric,,C17415
10k,"R17,R18,R19,R20,R21,R25",R_0805_2012Metric,,C17414
10u LDO in,C11,C_0805_2012Metric,,C15850
1k ST LED,R29,R_0805_2012Metric,,C17513
1u EN,C10,C_0805_2012Metric,,C28323
22u,"C12,C5,C6,C7",C_1206_3216Metric,,C12891
22u SWPA6045S,L1,L_Sunlord_SWPA6045S,,C83454
2k PWR LED,R28,R_0805_2012Metric,,C17604
33k FB hi,R24,R_0805_2012Metric,,C17633
3557-2 ATO 30A MAX,"F1,F2,F3,F4,F5,F6",FuseHolder_Keystone_3557-2,,
4k7,"R15,R16",R_0805_2012Metric,,C17673
4u7 50V,"C1,C2",C_1210_3225Metric,,C86052
560k UVLO hi,R26,R_0805_2012Metric,,C15785
5k1,"R22,R23",R_0805_2012Metric,,C27834
AMS1117-3.3,U9,SOT-223-3_TabPin2,,C6186
B5819W OR,D8,D_SOD-123,,C8598
BOOT / RESET,"SW1,SW2",SW_Push_1P1T_XKB_TS-1187A,,C318884
ESP32-C3-WROOM-02-N4,U7,ESP32-C3-WROOM-02_D03,,C2934560
INA238AIDGSR,"U1,U2,U3,U4,U5,U6",MSOP-10_3x3mm_P0.5mm,,C2868250
KT-0805G,"LED1,LED2",LED_0805_2012Metric,,C2297
LMR16006XDDCR,U8,TSOT-23-6,,C87080
SMBJ33A tap TVS,D10,D_SMB,,C173526
SMCJ33A bus TVS,D9,D_SMC,,C152083
SS310,"D11,D7",D_SMA,,C15874
TYPE-C-31-M-12,J9,USB_C_Receptacle_HRO_TYPE-C-31-M-12,,C165948
USBLC6-2SC6,U10,SOT-23-6,,C2687116
W25Q64JVSSIQ,U11,SOIC-8_5.3x5.3mm_P1.27mm,,C179171
WSLP2726 0.5mR,"RS1,RS2,RS3,RS4,RS5,RS6",R_Shunt_WSLP2726,,C844297
