Designator,Val,Package,Mid X,Mid Y,Layer,Rotation
C1,4u7 50V,C_1210_3225Metric,90.8,-81.0,top,90.0
C10,1u EN,C_0805_2012Metric,79.9,-72.8,top,0.0
C11,10u LDO in,C_0805_2012Metric,59.5,-93.5,top,0.0
C12,22u LDO out,C_1206_3216Metric,73.1,-93.5,top,0.0
C13,100n VUSB,C_0805_2012Metric,59.4,-91.0,top,0.0
C14,100n corridor 3V3,C_0805_2012Metric,86.5,-63.1,top,90.0
C2,4u7 50V,C_1210_3225Metric,91.0,-86.0,top,90.0
C3,100n VIN,C_0805_2012Metric,85.7,-82.9,top,0.0
C4,100n boot,C_0805_2012Metric,91.2,-76.2,top,90.0
C5,22u 3V3,C_1206_3216Metric,80.5,-67.6,top,90.0
C6,22u 3V3,C_1206_3216Metric,77.8,-69.1,top,90.0
C7,22u U7,C_1206_3216Metric,94.6,-71.5,top,0.0
C8,100n U7,C_0805_2012Metric,63.2,-73.4,top,0.0
C9,100n U11,C_0805_2012Metric,83.6,-55.4,top,90.0
CB1,100n INA,C_0805_2012Metric,115.9,-59.85,top,90.0
CB2,100n INA,C_0805_2012Metric,134.9,-59.85,top,90.0
CB3,100n INA,C_0805_2012Metric,153.9,-59.85,top,90.0
CB4,100n INA,C_0805_2012Metric,172.9,-59.85,top,90.0
CB5,100n INA,C_0805_2012Metric,191.9,-59.85,top,90.0
CB6,100n INA,C_0805_2012Metric,210.9,-59.85,top,90.0
CD1,100n diff,C_0805_2012Metric,112.9,-68.5,top,0.0
CD2,100n diff,C_0805_2012Metric,131.9,-68.5,top,0.0
CD3,100n diff,C_0805_2012Metric,150.9,-68.5,top,0.0
CD4,100n diff,C_0805_2012Metric,169.9,-68.5,top,0.0
CD5,100n diff,C_0805_2012Metric,188.9,-68.5,top,0.0
CD6,100n diff,C_0805_2012Metric,207.9,-68.5,top,0.0
D10,SMBJ33A tap TVS,D_SMB,82.5,-86.5,top,0.0
D11,SS310 catch,D_SMA,80.0,-79.0,top,0.0
D7,SS310 rev block,D_SMA,68.0,-97.6,top,0.0
D8,B5819W OR,D_SOD-123,74.0,-90.0,top,0.0
D9,SMCJ33A bus TVS,D_SMC,76.0,-101.0,top,90.0
F1,3557-2 ATO 30A MAX,FuseHolder_Keystone_3557-2,107.0,-89.0,top,0.0
F2,3557-2 ATO 30A MAX,FuseHolder_Keystone_3557-2,126.0,-89.0,top,0.0
F3,3557-2 ATO 30A MAX,FuseHolder_Keystone_3557-2,145.0,-89.0,top,0.0
F4,3557-2 ATO 30A MAX,FuseHolder_Keystone_3557-2,164.0,-89.0,top,0.0
F5,3557-2 ATO 30A MAX,FuseHolder_Keystone_3557-2,183.0,-89.0,top,0.0
F6,3557-2 ATO 30A MAX,FuseHolder_Keystone_3557-2,202.0,-89.0,top,0.0
F7,0466002 2A,Fuse_1206_3216Metric,68.0,-103.0,top,90.0
J9,TYPE-C-31-M-12,USB_C_Receptacle_HRO_TYPE-C-31-M-12,54.0,-84.0,top,90.0
L1,22u SWPA6045S,L_Sunlord_SWPA6045S,86.5,-73.0,top,0.0
LED1,KT-0805G PWR,LED_0805_2012Metric,95.8,-52.3,top,0.0
LED2,KT-0805G ST,LED_0805_2012Metric,95.8,-55.1,top,0.0
R15,4k7 SDA pu,R_0805_2012Metric,93.1,-63.1,top,90.0
R16,4k7 SCL pu,R_0805_2012Metric,90.9,-63.1,top,90.0
R17,10k ALERT pu,R_0805_2012Metric,88.7,-63.1,top,90.0
R18,10k IO2 pu,R_0805_2012Metric,92.0,-52.6,top,0.0
R19,10k CS pu,R_0805_2012Metric,92.0,-55.2,top,0.0
R20,10k IO8 pu,R_0805_2012Metric,92.0,-57.8,top,0.0
R21,10k EN pu,R_0805_2012Metric,75.8,-72.8,top,0.0
R22,5k1 CC1,R_0805_2012Metric,63.0,-80.6,top,0.0
R23,5k1 CC2,R_0805_2012Metric,63.0,-83.2,top,0.0
R24,33k FB hi,R_0805_2012Metric,74.6,-78.5,top,90.0
R25,10k FB lo,R_0805_2012Metric,75.0,-82.5,top,90.0
R26,560k UVLO hi,R_0805_2012Metric,77.5,-86.5,top,90.0
R27,100k UVLO lo,R_0805_2012Metric,74.5,-86.5,top,90.0
R28,2k PWR LED,R_0805_2012Metric,95.8,-57.9,top,0.0
R29,1k ST LED,R_0805_2012Metric,95.8,-60.7,top,0.0
