LCSC,Ref,Status,Detail
C22775,R61,OK,fit=0.07mm jlc_offset=0 db=0.0
C22775,R62,OK,fit=0.07mm jlc_offset=0 db=0.0
C25803,R12,OK,fit=0.08mm jlc_offset=0 db=0.0
C14663,C12,OK,fit=0.08mm jlc_offset=0 db=0.0
C14663,C13,OK,fit=0.08mm jlc_offset=0 db=0.0
C14663,C14,OK,fit=0.08mm jlc_offset=0 db=0.0
C14663,C15,OK,fit=0.07mm jlc_offset=0 db=0.0
C14663,C16,OK,fit=0.08mm jlc_offset=0 db=0.0
C14663,C17,OK,fit=0.08mm jlc_offset=0 db=0.0
C14663,C18,OK,fit=0.07mm jlc_offset=0 db=0.0
C14663,C20,OK,fit=0.07mm jlc_offset=0 db=0.0
C14663,C21,OK,fit=0.08mm jlc_offset=0 db=0.0
C14663,C22,OK,fit=0.08mm jlc_offset=0 db=0.0
C14663,C31,OK,fit=0.08mm jlc_offset=0 db=0.0
C14663,C33,OK,fit=0.08mm jlc_offset=0 db=0.0
C14663,C51,OK,fit=0.08mm jlc_offset=0 db=0.0
C14663,C52,OK,fit=0.08mm jlc_offset=0 db=0.0
C14663,C53,OK,fit=0.07mm jlc_offset=0 db=0.0
C14663,C61,OK,fit=0.08mm jlc_offset=0 db=0.0
C14663,C7,OK,fit=0.07mm jlc_offset=0 db=0.0
C14663,C9,OK,fit=0.08mm jlc_offset=0 db=0.0
C98220,R21,OK,fit=0.08mm jlc_offset=0 db=0.0
C98220,R22,OK,fit=0.08mm jlc_offset=0 db=0.0
C98220,R25,OK,fit=0.08mm jlc_offset=0 db=0.0
C98220,R32,OK,fit=0.08mm jlc_offset=0 db=0.0
C98220,R34,OK,fit=0.08mm jlc_offset=0 db=0.0
C98220,R51,OK,fit=0.07mm jlc_offset=0 db=0.0
C98220,R52,OK,fit=0.07mm jlc_offset=0 db=0.0
C98220,R53,OK,fit=0.07mm jlc_offset=0 db=0.0
C57112,C62,OK,fit=0.07mm jlc_offset=0 db=0.0
C57112,C63,OK,fit=0.07mm jlc_offset=0 db=0.0
C15850,C1,OK,fit=0.05mm jlc_offset=0 db=0.0
C15850,C10,OK,fit=0.05mm jlc_offset=0 db=0.0
C15850,C19,OK,fit=0.05mm jlc_offset=0 db=0.0
C15850,C6,OK,fit=0.05mm jlc_offset=0 db=0.0
C15850,C8,OK,fit=0.05mm jlc_offset=0 db=0.0
C21190,R24,OK,fit=0.08mm jlc_offset=0 db=0.0
C21190,R54,OK,fit=0.07mm jlc_offset=0 db=0.0
C21190,R55,OK,fit=0.08mm jlc_offset=0 db=0.0
C21190,R56,OK,fit=0.07mm jlc_offset=0 db=0.0
C15849,C11,OK,fit=0.08mm jlc_offset=0 db=0.0
C2887273,CE1,POLARITY-CHECK,"2-pad polarized part: verify the model's polarity marking vs our silk in the render (if the model is unmarked, verify via the JLC order preview) - machine checks cannot see a 180-flipped symmetric model"
C2887273,CE1,ROT-DB-SUGGEST,"fit=0.03mm jlc_offset=0 db=180.0 -> add: CP_Elec_6.3x7.7,0"
C45783,C2,OK,fit=0.05mm jlc_offset=0 db=0.0
C45783,C3,OK,fit=0.05mm jlc_offset=0 db=0.0
C59461,C4,OK,fit=0.07mm jlc_offset=0 db=0.0
C59461,C5,OK,fit=0.07mm jlc_offset=0 db=0.0
C8545,Q2,ROT-DB-SUGGEST,"fit=0.08mm jlc_offset=180 db=-90.0 -> add: SOT-23,180"
C4190,R71,OK,fit=0.08mm jlc_offset=0 db=0.0
