Comment,Designator,Footprint,MPN,LCSC
100k,"R111,R112,R113,R114,R115,R116,R117,R118,R60,R61,R62,R63,R64,R65,R66,R67,R90",R_0402_1005Metric,,C25741
100n,"C101,C102,C103,C104,C105,C106,C107,C108,C109,C110,C111,C112,C130,C131,C132,C133,C134,C135,C138,C139,C141,C142,C20,C30,C35,C41,C51,C53,C56,C57,C61,C63,C66,C67",C_0402_1005Metric,,C1525
100p FF,C12,C_0402_1005Metric,,C1546
100u 5V bulk,C90,CP_Elec_4x5.4,,C48970904
10k,"R12,R13,R15,R30,R50",R_0402_1005Metric,,C25744
10n RST,C40,C_0402_1005Metric,,C15195
10u,"C11,C121,C122,C136,C137,C140,C19",C_0402_1005Metric,,C15525
15k FB1 lo,R11,R_0402_1005Metric,,C25756
18p,"C25,C26",C_0402_1005Metric,,C1549
1M Rf,R21,R_0402_1005Metric,,C26083
1k,"R101,R102,R103,R104,R105,R106,R107,R108,R80,R81",R_0402_1005Metric,,C11702
1n,"C212,C222,C232,C242,C252,C262,C272,C282",C_0402_1005Metric,,C1523
1u,"C123,C16,C17,C210,C211,C220,C221,C230,C231,C240,C241,C250,C251,C260,C261,C270,C271,C280,C281,C31,C90i",C_0402_1005Metric,,C52923
1u0,"L10,L11",L_Sunlord_MWSA0402S,MWSA0402S-1R0MT,C408332
20k FB2 lo,R14,R_0402_1005Metric,,C25765
220k VBUS,R33,R_0402_1005Metric,,C138030
22u 0V9,C14,C_0402_1005Metric,,C385994
2A PTC,F1,Fuse_1812_4532Metric,SMD1812P200TF16,C20812
2u2,"C54,C55,C64,C65",C_0402_1005Metric,,C12530
330k VBUS,R34,R_0402_1005Metric,,C25778
33R,"R40,R41,R42,R43",R_0402_1005Metric,,C25105
49R9,"R210,R211,R220,R221,R230,R231,R240,R241,R250,R251,R260,R261,R270,R271,R280,R281",R_0402_1005Metric,,C25120
4k7,"R16,R51,R52",R_0402_1005Metric,,C25900
4n7,"C301,C302,C303,C304,C305,C306,C307,C308",C_0402_1005Metric,,C1538
4u7,"C10,C13,C18,C50,C52,C60,C62",C_0402_1005Metric,,C23733
560p FF,C15,C_0402_1005Metric,,C107029
5k1,"R31,R32",R_0402_1005Metric,,C25905
600R PLL,FB3,L_0402_1005Metric,,C76886
680R Rd,R20,R_0402_1005Metric,,C137948
68k FB1 hi,R10,R_0402_1005Metric,,C137947
AO3400A,"Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8",SOT-23,AO3400A,C20917
AO3401A revFET,Q9,SOT-23,AO3401A,C15127
AP61102,"U10,U11",SOT-563,AP61102Z6-7,C5224055
DC-005 5V IN,J9,BarrelJack_Horizontal,DC-005C-20A,
FA-238 24MHz,Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,X322524MOB4SI,C70590
INJ IN,J10,PinHeader_1x02_P2.54mm_Vertical,PinHeader_1x02,
NC7NZ34 MCLK buf,U5,VSSOP-8_2.3x2mm_P0.5mm,NC7NZ34K8X,C232798
PCM1865DBTR,"U2,U3",TSSOP-30_4.4x7.8mm_P0.5mm,PCM1865DBTR,C181312
PTC,"F11,F12,F13,F14,F15,F16,F17,F18,F21,F22,F23,F24,F25,F26,F27,F28",Fuse_1812_4532Metric,MINISMDC050F-2,C2649901
RJHSE-5384,"J1,J2,J3,J4,J5,J6",RJ45_Amphenol_RJHSE538X,RJHSE-5384,
SHT40-AD1B (0x44),U6,Sensirion_DFN-4_1.5x1.5mm_P0.8mm_SHT4x_NoCentralPad,SHT40-AD1B-R2,C2909890
SMBJ5.0A TVS,D9,D_SMB,SMBJ5.0A,C113974
TCR2LF18 1V8,U12,SOT-23-5,TLV70018DDCR,C79924
TPD2E2U06,"D21,D22,D23,D24,D25,D26,D27,D28",SOT-553,TPD2E2U06DRLR,C1972959
TPD4EUSB30,D10,USON-10_2.5x1.0mm_P0.5mm,TPD4EUSB30DQAR,C90627
USB4105-GF-A,J12,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,USB4105-GF-A,
W25Q16JVSSIQ,U4,SOIC-8_5.3x5.3mm_P1.27mm,W25Q16JVSSIQ,C131025
XC6227 3V3A,U13,SOT-89-5,XC6227C331PR-G,C6035451
XU316-1024-TQ128-I24,U1,TQFP-128_14x14mm_P0.4mm_EP4.7mm,XU316-1024-TQ128-I24,C6938291
xSYS DBG TDI/TDO,J13,PinHeader_1x02_P2.54mm_Vertical,PinHeader_1x02,
xSYS DBG TMS/TCK,J14,PinHeader_1x02_P2.54mm_Vertical,PinHeader_1x02,
