Comment,Designator,Footprint,MPN,LCSC
0R,"R12,R13,R14",R_0805_2012Metric,0805W8F0000T5E,C17477
100R 5VF,R1,R_0805_2012Metric,0805W8F1000T5E,C17408
100k bias,R3,R_0805_2012Metric,0805W8F1003T5E,C149504
100n,"C2,C5,C6",C_0805_2012Metric,CC0805KRX7R9BB104,C49678
100u 5VF,C1,CP_Elec_6.3x5.4,RVT100UF16V67RV0016,C2887276
10k,"R4,R5,R6",R_0805_2012Metric,0805W8F1002T5E,C17414
10u,"C4,C7",C_0805_2012Metric,CL21A106KAYNNNE,C15850
1u coupling,C3,C_0805_2012Metric,CL21B105KBFNNNE,C28323
20k,"R7,R8,R9",R_0805_2012Metric,0805W8F2002T5E,C4328
3.9k mic bias,R2,R_0805_2012Metric,0805W8F3901T5E,C17614
68R,"R10,R11",R_0805_2012Metric,0805W8F680JT5E,C17802
CMT-8504-100-SMT-TR,BZ1,CMT-8504,CMT-8504-100-SMT-TR,C22359707
MIC PADS (AOM-5024L),J2,PinHeader_1x02_P2.54mm_Vertical,PinHeader-1x02,
OPA1678IDR,U1,SOIC-8_3.9x4.9mm_P1.27mm,OPA1678IDR,C192421
RJHSE-5384,J1,RJ45_Amphenol_RJHSE538X,RJHSE-5384,
SS14 flyback,D2,D_SMA,SS14,C2480
TPD2E2U06DRLR,D1,SOT-553,TPD2E2U06DRLR,C1972959
