21:09:52: Debug: Adding duplicate image handler for 'PNG file'
21:09:52: Debug: Adding duplicate image handler for 'JPEG file'
21:09:52: Debug: Adding duplicate image handler for 'TIFF file'
21:09:52: Debug: Adding duplicate image handler for 'GIF file'
21:09:52: Debug: Adding duplicate image handler for 'PNM file'
21:09:52: Debug: Adding duplicate image handler for 'PCX file'
21:09:52: Debug: Adding duplicate image handler for 'IFF file'
21:09:52: Debug: Adding duplicate image handler for 'Windows icon file'
21:09:52: Debug: Adding duplicate image handler for 'Windows cursor file'
21:09:52: Debug: Adding duplicate image handler for 'Windows animated cursor file'
21:09:52: Debug: Adding duplicate image handler for 'TGA file'
21:09:52: Debug: Adding duplicate image handler for 'XPM file'
assembly: 1 coded not-assembled/consigned ref(s) from 03_src/rules/assembly.yaml

bodies mounted: 174/174  ->  /home/mouse9911/gits/circuits/projects/crow-recorder-central-v2/06_build/twin_v15/missing_models.txt
C381116  J1  MODEL-SELF  JLC model bbox center off JLC's OWN pads by (+2.20,-2.87)mm in their frame - model-internal defect; expect the render to need an adjudicated board_dx/board_dy nudge, and distrust bbox MODEL-REG numbers for this part
C6035451  U10  PAD-MULTIPLICITY  pad number(s) 2 appear a different number of times on the two footprints (ours {'2': 1} vs JLC {'2': 2}) — a NAMING convention, not a geometry defect; those numbers are fitted by CENTROID. Non-fatal, but PAD-GEOM readings on the affected numbers compare a merged centroid against a single lead
C87074  D1  POLARITY-CHECK  2-pad polarized part: verify the model's polarity marking vs our silk in the render (if the model is unmarked, verify via the JLC order preview) - machine checks cannot see a 180-flipped symmetric model
C87074  D1  POLARITY-FIT-BLIND  no usable polarity marking on JLC's footprint — the numbering-free channel cannot run, so ONLY the human order-preview gate stands between this part and a 180deg reversal
C25741  R_bg2  MODEL-REG-OK  body on courtyard (0.00mm)
C25741  R_pg  MODEL-REG-OK  body on courtyard (0.00mm)
C1525  C_5V2  MODEL-REG-OK  body on courtyard (0.00mm)
C1525  C_5V3  MODEL-REG-OK  body on courtyard (0.00mm)
C1525  C_VINR  MODEL-REG-OK  body on courtyard (0.00mm)
C1525  C_avdd2b  MODEL-REG-OK  body on courtyard (0.00mm)
C1525  C_avdd3b  MODEL-REG-OK  body on courtyard (0.00mm)
C1525  C_c1  MODEL-REG-OK  body on courtyard (0.00mm)
C1525  C_c10  MODEL-REG-OK  body on courtyard (0.00mm)
C1525  C_c11  MODEL-REG-OK  body on courtyard (0.00mm)
C1525  C_c12  MODEL-REG-OK  body on courtyard (0.00mm)
C1525  C_c13  MODEL-REG-OK  body on courtyard (0.00mm)
C1525  C_c2  MODEL-REG-OK  body on courtyard (0.00mm)
C1525  C_c3  MODEL-REG-OK  body on courtyard (0.00mm)
C1525  C_c4  MODEL-REG-OK  body on courtyard (0.00mm)
C1525  C_c5  MODEL-REG-OK  body on courtyard (0.00mm)
C1525  C_c6  MODEL-REG-OK  body on courtyard (0.00mm)
C1525  C_c7  MODEL-REG-OK  body on courtyard (0.00mm)
