F-ECHO — JLC's RESOLVED BOM vs OURS. After uploading bom_jlc.csv,
save JLC's own resolved/matched part table out of their UI and run
  bom_legibility_check.py <this outdir>/bom_jlc.csv --echo SAVED.csv
A code JLC redirects is a SUBSTITUTION and is a FINDING, not a
convenience. C82317 -> C131025 happened on a shipped board and no
gate in this repo could have seen it.

C25741	100kΩ	R_bg2,R_pg
C1525	100nF	C_5V2,C_5V3,C_VINR,C_avdd2b,C_avdd3b,C_c1,C_c10,C_c11,C_c12,C_c13,C_c2,C_c3,C_c4,C_c5,C_c6,C_c7,C_c8,C_c9,C_d1,C_d2,C_d3,C_d4,C_d5,C_d6,C_dvdd2,C_dvdd3,C_e1,C_e2,C_flash,C_iovdd2,C_iovdd3,C_pll2,C_rst,C_sht,C_u18b,C_u33b,C_u4,C_vref2b,C_vref3b,Cinh_U7,Cinh_U8,Couth_U10,Couth_U7,Couth_U8
C25076	100Ω	Rs1M,Rs1P,Rs2M,Rs2P,Rs3M,Rs3P,Rs4M,Rs4P,Rs5M,Rs5P,Rs6M,Rs6P,Rs7M,Rs7P,Rs8M,Rs8P
C60490	10kΩ	RG1,R_cs,R_rst
C15850	10uF	C_avdd2a,C_avdd3a,C_b0v9,C_b1v8,C_b3v3,C_vref2a,C_vref3a,Cin_U7,Cin_U8
C237284	1277AS-H-1R0M=P2	L2
C882626	1277AS-H-2R2M=P2	L1
C1547	12pF	CL1,CL2
C26083	1MΩ	Rf
C11702	1kΩ	R_bg1,R_inj1,R_inj2
C1523	1nF	Cd1,Cd2,Cd3,Cd4,Cd5,Cd6,Cd7,Cd8
C52923	1uF	C_ldo2,C_ldo3,C_micb2,C_micb3,C_pll1,C_u18a,C_u33a,Cin_U10,Cin_U9,Cout_U9
C377773	2.2uF	C_vb,Cc1M,Cc1P,Cc2M,Cc2P,Cc3M,Cc3P,Cc4M,Cc4P,Cc5M,Cc5P,Cc6M,Cc6P,Cc7M,Cc7P,Cc8M,Cc8P
C72203	2.2uF	Cout_U10
C25764	200kΩ	R_fb1a,R_fb2a
C25767	220kΩ	R_vb1
C45783	22uF	C_5V1,Cout_U7,Cout_U8
C2762192	24MHz	Y1
C25778	330kΩ	R_vb2
C25105	33Ω	R_bck,R_lrck,R_mck1,R_mck2
C105871	4.7kΩ	R_scl,R_sda
C1538	4.7nF	C_bg
C25785	402kΩ	R_fb2b
C25895	44.2kΩ	R_fb1b
C25792	47kΩ	R_vbld
C96123	47uF	C_BEEP
C25905	5.1kΩ	R_cc1,R_cc2
C25130	680Ω	Rd
C20917	AO3400A	Q2
C15127	AO3401A	Q1
C5224055	AP61102Z6-7	U7,U8
C3716677	BLM21SP601SN1D	FB_BEEP,FB_u18,FB_u33,L_pll
C381116	DC-005-5A-2.0	J1
C136345	JFC1206-1200FS	F_IN
C2649901	MINISMDC050F-2	F1,F2,F3,F4,F5,F6,F7,F8
C232798	NC7NZ34K8X	U4
C181312	PCM1865DBTR	U2,U3
C9900035627	RJHSE-5384	J10,J3,J4,J5,J6,J7,J8,J9
C2909890	SHT40-AD1B-R2	U6
C87074	SMAJ5.0A	D1
C79924	TLV70018DDCR	U9
C1972959	TPD2E2U06DRLR	Dp1,Dp2,Dp3,Dp4,Dp5,Dp6,Dp7,Dp8
C90627	TPD4EUSB30DQAR	D_USB
C3020560	USB4105-GF-A	J2
C82317	W25Q16JVSSIQ	U5
C6035451	XC6227C331PR-G	U10
C6938291	XU316-1024-TQ128-I24	U1
