Comment,Designator,Footprint,MPN,LCSC
100k FET gate,R90,R_0402_1005Metric,,C25741
100k GP0_A,R60,R_0402_1005Metric,,C25741
100k GP0_B,R64,R_0402_1005Metric,,C25741
100k GP1_A,R61,R_0402_1005Metric,,C25741
100k GP1_B,R65,R_0402_1005Metric,,C25741
100k GP2_A,R62,R_0402_1005Metric,,C25741
100k GP2_B,R66,R_0402_1005Metric,,C25741
100k GP3_A,R63,R_0402_1005Metric,,C25741
100k GP3_B,R67,R_0402_1005Metric,,C25741
100k pd 1,R111,R_0402_1005Metric,,C25741
100k pd 2,R112,R_0402_1005Metric,,C25741
100k pd 3,R113,R_0402_1005Metric,,C25741
100k pd 4,R114,R_0402_1005Metric,,C25741
100k pd 5,R115,R_0402_1005Metric,,C25741
100k pd 6,R116,R_0402_1005Metric,,C25741
100k pd 7,R117,R_0402_1005Metric,,C25741
100k pd 8,R118,R_0402_1005Metric,,C25741
100n 1V8,"C138,C139",C_0402_1005Metric,,C1525
100n 3V3,"C130,C131,C132,C133,C134,C135",C_0402_1005Metric,,C1525
100n 3V3A,C20,C_0402_1005Metric,,C1525
100n AVDD_A,C51,C_0402_1005Metric,,C1525
100n AVDD_B,C61,C_0402_1005Metric,,C1525
100n DVDD_A,C53,C_0402_1005Metric,,C1525
100n DVDD_B,C63,C_0402_1005Metric,,C1525
100n IOV_A,C57,C_0402_1005Metric,,C1525
100n IOV_B,C67,C_0402_1005Metric,,C1525
100n LDO_A,C56,C_0402_1005Metric,,C1525
100n LDO_B,C66,C_0402_1005Metric,,C1525
100n SHT,C41,C_0402_1005Metric,,C1525
100n USB18,C142,C_0402_1005Metric,,C1525
100n USB33,C141,C_0402_1005Metric,,C1525
100n VDD,"C101,C102,C103,C104,C105,C106,C107,C108,C109,C110,C111,C112",C_0402_1005Metric,,C1525
100n buf,C35,C_0402_1005Metric,,C1525
100n flash,C30,C_0402_1005Metric,,C1525
100p FF,C12,C_0402_1005Metric,,C1546
100u 5V bulk,C90,CP_Elec_4x5.4,,C48970904
10k CS pu,R30,R_0402_1005Metric,,C25744
10k FB2 hi,R13,R_0402_1005Metric,,C25744
10k PG1 pu,R12,R_0402_1005Metric,,C25744
10k PG2 pu,R15,R_0402_1005Metric,,C25744
10k RST pu,R50,R_0402_1005Metric,,C25744
10n RST,C40,C_0402_1005Metric,,C15195
10u 1V8,C140,C_0402_1005Metric,,C15525
10u 3V3,"C11,C136,C137",C_0402_1005Metric,,C15525
10u 3V3A,C19,C_0402_1005Metric,,C15525
10u VDD,"C121,C122",C_0402_1005Metric,,C15525
15k FB1 lo,R11,R_0402_1005Metric,,C25756
18p CL1,C25,C_0402_1005Metric,,C1549
