Comment,Designator,Footprint,MPN,LCSC
100R gate,"R10,R12,R14",R_0805_2012Metric,0805W8F1000T5E,C17408
100k gate pd,"R11,R13,R15",R_0805_2012Metric,0805W8F1003T5E,C149504
100n,"C10,C12,C5,C6,C7,C8,C9",C_0805_2012Metric,CC0805KRX7R9BB104,C49678
100u 5V bulk,C11,CP_Elec_6.3x5.4,RVT100UF16V67RV0016,C2887276
10k,"R23,R24,R25,R3,R32,R33,R34,R40,R41,R42",R_0805_2012Metric,0805W8F1002T5E,C17414
1k,"R20,R21,R22,R4,R43,R44,R45",R_0805_2012Metric,0805W8F1001T5E,C17513
1u EN,C1,C_0805_2012Metric,CL21B105KBFNNNE,C28323
2.7k div bot,"R26,R27,R28",R_0805_2012Metric,0805W8F2701T5E,C17530
22u,"C2,C3,C4",C_0805_2012Metric,CL21A226MAQNNNE,C45783
33k hyst,"R29,R30,R31",R_0805_2012Metric,0805W8F3302T5E,C17633
4.7k,"R50,R51",R_0805_2012Metric,0805W8F4701T5E,C17673
5.1k,"R1,R2",R_0805_2012Metric,0805W8F5101T5E,C27834
AMS1117-3.3,U2,SOT-223-3_TabPin2,AMS1117-3.3,C6186
AO3400A,"Q1,Q2,Q3",SOT-23,AO3400A,C20917
BUTTON 1 TERM,J10,TerminalBlock_3.5-2P_NoSilk,,
BUTTON 2 TERM,J11,TerminalBlock_3.5-2P_NoSilk,,
BUTTON 3 TERM,J12,TerminalBlock_3.5-2P_NoSilk,,
ESP32-S3-WROOM-1-N8R2,U1,ESP32-S3-WROOM-1,ESP32-S3-WROOM-1-N8R2,C2913204
LASER 1 TERM,J4,TerminalBlock_3.5-2P_NoSilk,,
LASER 2 TERM,J5,TerminalBlock_3.5-2P_NoSilk,,
LASER 3 TERM,J6,TerminalBlock_3.5-2P_NoSilk,,
LM339DT,U3,SOIC-14_3.9x8.7mm_P1.27mm,LM339DT,C71036
OLED HDR 1x4F,J2,PinSocket_1x04_P2.54mm_Vertical,,
PHOTODIODE 1 TERM,J7,TerminalBlock_3.5-2P_NoSilk,,
PHOTODIODE 2 TERM,J8,TerminalBlock_3.5-2P_NoSilk,,
PHOTODIODE 3 TERM,J9,TerminalBlock_3.5-2P_NoSilk,,
TS-1187A,"SW1,SW2",SW_Push_1P1T_XKB_TS-1187A,TS-1187A-B-A-B,C318884
TYPE-C-31-M-12,J1,USB_C_Receptacle_HRO_TYPE-C-31-M-12,TYPE-C-31-M-12,C165948
USBLC6-2SC6,D1,SOT-23-6,USBLC6-2SC6,C2687116
green PWR,D2,LED_0805_2012Metric,KT-0805G,C2297
