Comment,Designator,Footprint,LCSC,qty,status,code,type,stock,mpn,pkg,price
1.2nF,"CA10,CB10",C_0402_1005Metric,C107021,2,OK,C107021,expand,62995,CC0402KRX7R9BB122,0402,0.0023
100kΩ,R4,R_0402_1005Metric,C25741,1,OK,C25741,base,246319,0402WGF1003TCE,0402,0.0065
100nF,"C1,C15,C2,C20,C21,C22,CA3,CB3",C_0402_1005Metric,C131394,8,OK,C131394,expand,3854170,CC0402KRX7R9BB104,0402,0.0155
100uF,CE1,CP_Elec_8x10,C454289,1,OK,C454289,expand,17,EEHZA1V101P,"SMD,D8xL10.2mm",0.9213
10kΩ,"R19,R20",R_0402_1005Metric,C60490,2,OK,C60490,expand,7392423,RC0402FR-0710KL,0402,0.0058
10uF,"CA51,CA52,CA53,CB51,CB52,CB53",C_1210_3225Metric,C77102,6,OK,C77102,expand,266978,GRM32ER71H106KA12L,1210,0.3721
13kΩ,"RA5,RB5",R_0402_1005Metric,C25754,2,OK,C25754,expand,308885,0402WGF1302TCE,0402,0.0016
16.5kΩ,"R34,R5,RA1,RB1",R_0402_1005Metric,C226807,4,OK,C226807,expand,3434,AC0402FR-0716K5L,0402,0.0019
18pF,"CA4,CB4",C_0402_1005Metric,C1549,2,OK,C1549,base,1646532,0402CG180J500NT,0402,0.0079
1kΩ,"R22,R23",R_0402_1005Metric,C11702,2,OK,C11702,base,714057,0402WGF1001TCE,0402,0.008
2.2uF,"C16,CA2,CB2",C_0603_1608Metric,C23630,3,OK,C23630,base,4056854,CL10A225KO8NNNC,0603,0.0287
20kΩ,"R21,R33,RA3,RB3",R_0402_1005Metric,C25765,4,OK,C25765,base,523510,0402WGF2002TCE,0402,0.0305
220uF,"CA7,CB7",CP_Elec_6.3x5.9,C128504,2,OK,C128504,expand,2051,6SVPC220MV,"SMD,D6.3xL6mm",1.0067
22uF,"C30,C31,C32,C33,C34",C_1206_3216Metric,C12891,5,OK,C12891,base,673565,CL31A226KAHNNNE,1206,0.413
24.3kΩ,"R16,R17,R18",R_0402_1005Metric,C276264,3,OK,C276264,expand,10315,RC0402FR-0724K3L,0402,0.0014
3.74kΩ,"RA4,RB4",R_0402_1005Metric,C15172,2,OK,C15172,expand,32355,0402WGF3741TCE,0402,0.0013
348Ω,RA2,R_0402_1005Metric,C852731,1,OK,C852731,expand,19843,RT0402BRD07348RL,0402,0.0257
39pF,"CA9,CB9",C_0402_1005Metric,C106223,2,OK,C106223,expand,357685,CC0402JRNPO9BN390,0402,0.0099
4.64kΩ,"RA6,RB6",R_0402_1005Metric,C60154,2,OK,C60154,expand,5983,0402WGF4641TCE,0402,0.0006
432Ω,RB2,R_0402_1005Metric,C137981,1,OK,C137981,expand,10002,RC0402FR-07432RL,0402,0.0039
47nF,"C3,CA1,CB1",C_0402_1005Metric,C82219,3,OK,C82219,expand,455655,0402B473K500NT,0402,0.0126
47uF,"CA61,CA62,CA63,CA64,CB61,CB62,CB63,CB64",C_1210_3225Metric,C84494,8,OK,C84494,expand,46435,GRM32ER71A476KE15L,1210,1.1999
52.3kΩ,R2,R_0402_1005Metric,C26982,1,OK,C26982,expand,20661,0402WGF5232TCE,0402,0.0016
8.2nF,"CA8,CB8",C_0402_1005Metric,C45186,2,OK,C45186,expand,200599,0402B822K500NT,0402,0.0044
82.5kΩ,R3,R_0402_1005Metric,C453769,1,OK,C453769,expand,12433,RC-02K8252FT,0402,0.0009
887kΩ,R1,R_0402_1005Metric,C409935,1,OK,C409935,expand,11643,ERJ2RKF8873X,0402,0.0046
C113974,"D2,D3",D_SMB,C113974,2,OK,C113974,expand,240554,SMBJ5.0A,DO-214AA(SMB),0.058
C130056,"U4,U5,U6",VSON-8-1EP_3x3mm_P0.65mm_EP1.65x2.4mm,C130056,3,OK,C130056,expand,7748,TPS2557DRBR,SON-8(3x3),1.2112
C17700181,"LA1,LB1",L_Sunlord_MWSA1005S,C17700181,2,OK,C17700181,expand,303,MWSA1005S-3R3MT,"SMD,11.5x10mm",0.2946
C207061,F1,FuseHolder_ATO_FLR_EdgeTrim,C207061,1,OK,C207061,expand,449,178.6165.0002,Plugin,2.4788
C2297,"D4,D5",LED_0805_2012Metric,C2297,2,OK,C2297,base,3182464,KT-0805G,0805,0.0162
C3020560,J5,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,C3020560,1,OK,C3020560,expand,4107,USB4105-GF-A,SMD,1.0502
C3215600,U1,WSON-12_3x3_P0.5_LM74800DRR,C3215600,1,OK,C3215600,expand,1468,LM74800QDRRRQ1,SON-12(3x3),1.8136
C353386,D1,D_SMB,C353386,1,OK,C353386,expand,141785,SMBJ16A,SMB,0.0381
C485912,"U2,U3",VQFN-20_3.5x4.5_P0.5_LM5145RGY,C485912,2,OK,C485912,expand,526,LM5145RGYR,VQFN-20-EP(3.5x4.5),2.5528
C840100,"Q1,Q2,QA1,QA2,QB1,QB2",VSON-8_3.3x3.3mm_P0.65mm_NexFET,C840100,6,OK,C840100,expand,1304,CSD18543Q3A,VSONP-8(3.3x3.3),0.5702
C98732,J1,XT60PW-M_EdgeTrim,C98732,1,OK,C98732,expand,8094,XT60PW-M,-,0.5944
