Designator,Val,Package,Mid X,Mid Y,Layer,Rotation
C1,180uF,CP_Elec_6.3x5.8,46.5,-37.5,top,0.0
C10,100nF,C_0402_1005Metric,76.0,-45.8,top,180.0
C11,100nF,C_0402_1005Metric,76.0,-44.6,top,180.0
C12,330nF,C_0402_1005Metric,115.0,-45.8,top,180.0
C13,330nF,C_0402_1005Metric,115.0,-44.6,top,180.0
C14,100nF,C_0402_1005Metric,91.25,-45.96,top,0.0
C15,100nF,C_0402_1005Metric,99.15,-42.04,top,0.0
C16,10uF,C_0402_1005Metric,99.15,-47.0,top,0.0
C17,100nF,C_0402_1005Metric,110.0,-53.5,top,0.0
C18,100nF,C_0402_1005Metric,136.0,-55.0,top,0.0
C19,100nF,C_0402_1005Metric,119.0,-52.5,top,0.0
C2,180uF,CP_Elec_6.3x5.8,88.0,-27.0,top,0.0
C20,100nF,C_0402_1005Metric,134.3,-48.3,top,180.0
C21,150uF,CP_Elec_6.3x5.8,144.0,-52.0,top,0.0
C22,100nF,C_0402_1005Metric,76.0,-71.4,top,0.0
C23,100nF,C_0402_1005Metric,76.0,-70.2,top,0.0
C24,100nF,C_0402_1005Metric,115.0,-71.4,top,0.0
C25,100nF,C_0402_1005Metric,115.0,-70.2,top,0.0
C26,100nF,C_0402_1005Metric,76.0,-73.8,top,180.0
C27,100nF,C_0402_1005Metric,76.0,-72.6,top,180.0
C28,330nF,C_0402_1005Metric,115.0,-73.8,top,180.0
C29,330nF,C_0402_1005Metric,115.0,-72.6,top,180.0
C3,100nF,C_0402_1005Metric,95.0,-33.0,top,0.0
C30,100nF,C_0402_1005Metric,91.25,-73.96,top,0.0
C31,100nF,C_0402_1005Metric,99.15,-70.04,top,0.0
C32,10uF,C_0402_1005Metric,99.15,-75.0,top,0.0
C33,100nF,C_0402_1005Metric,110.0,-81.5,top,0.0
C34,100nF,C_0402_1005Metric,136.0,-83.0,top,0.0
C35,100nF,C_0402_1005Metric,119.0,-80.5,top,0.0
C36,100nF,C_0402_1005Metric,134.3,-76.3,top,180.0
C37,150uF,CP_Elec_6.3x5.8,144.0,-80.0,top,0.0
C38,100nF,C_0402_1005Metric,76.0,-99.4,top,0.0
C39,100nF,C_0402_1005Metric,76.0,-98.2,top,0.0
C4,1uF,C_0402_1005Metric,98.0,-33.0,top,0.0
C40,100nF,C_0402_1005Metric,115.0,-99.4,top,0.0
C41,100nF,C_0402_1005Metric,115.0,-98.2,top,0.0
C42,100nF,C_0402_1005Metric,76.0,-101.8,top,180.0
C43,100nF,C_0402_1005Metric,76.0,-100.6,top,180.0
C44,330nF,C_0402_1005Metric,115.0,-101.8,top,180.0
C45,330nF,C_0402_1005Metric,115.0,-100.6,top,180.0
C46,100nF,C_0402_1005Metric,91.25,-101.96,top,0.0
C47,100nF,C_0402_1005Metric,99.15,-98.04,top,0.0
C48,10uF,C_0402_1005Metric,99.15,-103.0,top,0.0
C49,100nF,C_0402_1005Metric,110.0,-109.5,top,0.0
C5,10uF,C_0402_1005Metric,101.0,-33.0,top,0.0
C50,100nF,C_0402_1005Metric,136.0,-111.0,top,0.0
C51,100nF,C_0402_1005Metric,119.0,-108.5,top,0.0
C52,100nF,C_0402_1005Metric,134.3,-104.3,top,180.0
C53,150uF,CP_Elec_6.3x5.8,144.0,-108.0,top,0.0
C54,100nF,C_0402_1005Metric,76.0,-127.4,top,0.0
C55,100nF,C_0402_1005Metric,76.0,-126.2,top,0.0
C56,100nF,C_0402_1005Metric,115.0,-127.4,top,0.0
C57,100nF,C_0402_1005Metric,115.0,-126.2,top,0.0
C58,100nF,C_0402_1005Metric,76.0,-129.8,top,180.0
C59,100nF,C_0402_1005Metric,76.0,-128.6,top,180.0
C6,100nF,C_0402_1005Metric,76.0,-43.4,top,0.0
C60,330nF,C_0402_1005Metric,115.0,-129.8,top,180.0
C61,330nF,C_0402_1005Metric,115.0,-128.6,top,180.0
C62,100nF,C_0402_1005Metric,91.25,-128.5,top,0.0
C63,100nF,C_0402_1005Metric,99.15,-126.04,top,0.0
C64,10uF,C_0402_1005Metric,99.15,-131.0,top,0.0
C65,100nF,C_0402_1005Metric,110.0,-137.5,top,0.0
C66,100nF,C_0402_1005Metric,136.0,-139.0,top,0.0
C67,100nF,C_0402_1005Metric,119.0,-136.5,top,0.0
C68,100nF,C_0402_1005Metric,134.3,-132.3,top,180.0
C69,150uF,CP_Elec_6.3x5.8,144.0,-136.0,top,0.0
C7,100nF,C_0402_1005Metric,76.0,-42.2,top,0.0
C8,100nF,C_0402_1005Metric,115.0,-43.4,top,0.0
C9,100nF,C_0402_1005Metric,115.0,-42.2,top,0.0
J1,C3819953,Phoenix_1935161_PT_1p5_2_5p0_H,34.5,-28.0,top,0.0
