LCSC,Ref,Status,Detail
C60491,R49,OK,fit=0.08mm jlc_offset=0 db=0.0 src=name-DB
C60491,R50,OK,fit=0.08mm jlc_offset=0 db=0.0 src=name-DB
C60491,R51,OK,fit=0.08mm jlc_offset=0 db=0.0 src=name-DB
C60491,R52,OK,fit=0.08mm jlc_offset=0 db=0.0 src=name-DB
C60491,R53,OK,fit=0.08mm jlc_offset=0 db=0.0 src=name-DB
C60491,R54,OK,fit=0.08mm jlc_offset=0 db=0.0 src=name-DB
C60491,R55,OK,fit=0.08mm jlc_offset=0 db=0.0 src=name-DB
C60491,R56,OK,fit=0.08mm jlc_offset=0 db=0.0 src=name-DB
C60491,R57,OK,fit=0.08mm jlc_offset=0 db=0.0 src=name-DB
C60491,R58,OK,fit=0.08mm jlc_offset=0 db=0.0 src=name-DB
C60491,R59,OK,fit=0.08mm jlc_offset=0 db=0.0 src=name-DB
C60491,R60,OK,fit=0.08mm jlc_offset=0 db=0.0 src=name-DB
C60491,R61,OK,fit=0.08mm jlc_offset=0 db=0.0 src=name-DB
C60491,R62,OK,fit=0.08mm jlc_offset=0 db=0.0 src=name-DB
C60491,R63,OK,fit=0.08mm jlc_offset=0 db=0.0 src=name-DB
C60491,R64,OK,fit=0.08mm jlc_offset=0 db=0.0 src=name-DB
C60491,R65,OK,fit=0.08mm jlc_offset=0 db=0.0 src=name-DB
C60491,R66,OK,fit=0.08mm jlc_offset=0 db=0.0 src=name-DB
C60491,R67,OK,fit=0.08mm jlc_offset=0 db=0.0 src=name-DB
C60491,R68,OK,fit=0.08mm jlc_offset=0 db=0.0 src=name-DB
C60491,R69,OK,fit=0.08mm jlc_offset=0 db=0.0 src=name-DB
C1525,C10,OK,fit=0.06mm jlc_offset=0 db=0.0 src=name-DB
C1525,C11,OK,fit=0.06mm jlc_offset=0 db=0.0 src=name-DB
C1525,C14,OK,fit=0.06mm jlc_offset=0 db=0.0 src=name-DB
C1525,C15,OK,fit=0.06mm jlc_offset=0 db=0.0 src=name-DB
C1525,C17,OK,fit=0.06mm jlc_offset=0 db=0.0 src=name-DB
C1525,C18,OK,fit=0.06mm jlc_offset=0 db=0.0 src=name-DB
C1525,C19,OK,fit=0.06mm jlc_offset=0 db=0.0 src=name-DB
C1525,C20,OK,fit=0.06mm jlc_offset=0 db=0.0 src=name-DB
C1525,C22,OK,fit=0.06mm jlc_offset=0 db=0.0 src=name-DB
C1525,C23,OK,fit=0.06mm jlc_offset=0 db=0.0 src=name-DB
C1525,C24,OK,fit=0.06mm jlc_offset=0 db=0.0 src=name-DB
C1525,C25,OK,fit=0.06mm jlc_offset=0 db=0.0 src=name-DB
C1525,C26,OK,fit=0.06mm jlc_offset=0 db=0.0 src=name-DB
C1525,C27,OK,fit=0.06mm jlc_offset=0 db=0.0 src=name-DB
C1525,C3,OK,fit=0.06mm jlc_offset=0 db=0.0 src=name-DB
C1525,C30,OK,fit=0.06mm jlc_offset=0 db=0.0 src=name-DB
C1525,C31,OK,fit=0.06mm jlc_offset=0 db=0.0 src=name-DB
C1525,C33,OK,fit=0.06mm jlc_offset=0 db=0.0 src=name-DB
C1525,C34,OK,fit=0.06mm jlc_offset=0 db=0.0 src=name-DB
C1525,C35,OK,fit=0.06mm jlc_offset=0 db=0.0 src=name-DB
C1525,C36,OK,fit=0.06mm jlc_offset=0 db=0.0 src=name-DB
C1525,C38,OK,fit=0.06mm jlc_offset=0 db=0.0 src=name-DB
C1525,C39,OK,fit=0.06mm jlc_offset=0 db=0.0 src=name-DB
C1525,C40,OK,fit=0.06mm jlc_offset=0 db=0.0 src=name-DB
C1525,C41,OK,fit=0.06mm jlc_offset=0 db=0.0 src=name-DB
C1525,C42,OK,fit=0.06mm jlc_offset=0 db=0.0 src=name-DB
C1525,C43,OK,fit=0.06mm jlc_offset=0 db=0.0 src=name-DB
C1525,C46,OK,fit=0.06mm jlc_offset=0 db=0.0 src=name-DB
C1525,C47,OK,fit=0.06mm jlc_offset=0 db=0.0 src=name-DB
C1525,C49,OK,fit=0.06mm jlc_offset=0 db=0.0 src=name-DB
C1525,C50,OK,fit=0.06mm jlc_offset=0 db=0.0 src=name-DB
C1525,C51,OK,fit=0.06mm jlc_offset=0 db=0.0 src=name-DB
C1525,C52,OK,fit=0.06mm jlc_offset=0 db=0.0 src=name-DB
C1525,C54,OK,fit=0.06mm jlc_offset=0 db=0.0 src=name-DB
C1525,C55,OK,fit=0.06mm jlc_offset=0 db=0.0 src=name-DB
C1525,C56,OK,fit=0.06mm jlc_offset=0 db=0.0 src=name-DB
C1525,C57,OK,fit=0.06mm jlc_offset=0 db=0.0 src=name-DB
C1525,C58,OK,fit=0.06mm jlc_offset=0 db=0.0 src=name-DB
C1525,C59,OK,fit=0.06mm jlc_offset=0 db=0.0 src=name-DB
C1525,C6,OK,fit=0.06mm jlc_offset=0 db=0.0 src=name-DB
C1525,C62,OK,fit=0.06mm jlc_offset=0 db=0.0 src=name-DB
C1525,C63,OK,fit=0.06mm jlc_offset=0 db=0.0 src=name-DB
C1525,C65,OK,fit=0.06mm jlc_offset=0 db=0.0 src=name-DB
