Comment,Designator,Footprint,MPN,LCSC
0Ω,"R108,R109,R2,R208,R209",R_0603_1608Metric,0603WAF0000T5E,C21189
1.21kΩ,"R103,R203",R_0603_1608Metric,FRC0603F1211TS,C5126242
100kΩ,"R107,R207,R32,R33,R410,R416,R420,R426,R430,R436,R440,R446",R_0603_1608Metric,0603WAF1003T5E,C25803
100nF,"C111,C211,C22,C32,C33,C34,C35,C38,C39,C412,C414,C415,C42,C422,C424,C425,C432,C434,C435,C44,C442,C444,C445,C45",C_0603_1608Metric,CC0603KRX7R9BB104,C14663
100nF,"C2,C3",C_1206_3216Metric,CL31B104KBCNNNC,C24497
100pF,"C103,C203",C_0603_1608Metric,CL10C101JB8NNNC,C14858
100uF,"C112,C113,C114,C115,C212,C213,C214,C215",C_1210_3225Metric,CL32A107MPVNNNE,C23742
10kΩ,"R36,R37,R412,R413,R419,R422,R423,R429,R432,R433,R439,R442,R443,R449",R_0603_1608Metric,0603WAF1002T5E,C25804
10mΩ,"RS1,RS2",R_2512_6332Metric,WSL2512R0100FEA,C844901
10nF,"C104,C204",C_0603_1608Metric,0603B103K500NT,C57112
10uF,C21,C_1206_3216Metric,CL31A106KBHNNNE,C13585
10uF,"C107,C108,C109,C110,C207,C208,C209,C210",C_1210_3225Metric,CL32B106KBJNNWE,C3844168
11.5kΩ,R5,R_0603_1608Metric,FRC0603F1152TS,C2930057
12.4kΩ,"R101,R201",R_0603_1608Metric,0603WAF1242T5E,C22865
12kΩ,R31,R_0603_1608Metric,0603WAF1202T5E,C22790
18kΩ,"R104,R204",R_0603_1608Metric,0603WAF1802T5E,C25810
18pF,"C30,C31",C_0603_1608Metric,CL10C180JB8NNNC,C1647
1935161,J1,TerminalBlock_KANGNEX_WJ126V_2P_P5.0,1935161,C3819953
1MΩ,R30,R_0603_1608Metric,0603WAF1004T5E,C22935
1N4148WS,"D2,D3",D_SOD-323,1N4148WS,C2128
1kΩ,"R415,R418,R425,R428,R435,R438,R445,R448",R_0603_1608Metric,0603WAF1001T5E,C21190
1nF,"C116,C216",C_0805_2012Metric,CC0805JRNPO9BN102,C62774
1uF,"C105,C106,C205,C206,C36,C37,C40,C41",C_0603_1608Metric,CL10A105KB8NNNC,C15849
2.2nF,"C411,C421,C431,C441",C_0603_1608Metric,0603B222K500NT,C1604
2.2Ω,"R110,R210",R_1206_3216Metric,RC1206FR-072R2L,C137327
220nF,C1,C_0603_1608Metric,CL10B224KA8NNNC,C21120
22uF,"C23,C24",C_1206_3216Metric,CL31A226KAHNNNE,C12891
22uF,"C413,C423,C433,C443",C_1210_3225Metric,CL32B226KAJNNNE,C309062
292304-1,J2,USB_B_TE_292304-1_Horizontal,292304-1,C86462
3.3nF,"C102,C202,C410,C420,C430,C440",C_0603_1608Metric,CL10B332KB8NNNC,C1613
