F-ECHO — JLC's RESOLVED BOM vs OURS. After uploading bom.csv,
save JLC's own resolved/matched part table out of their UI and run
  bom_legibility_check.py <this outdir>/bom.csv --echo SAVED.csv
A code JLC redirects is a SUBSTITUTION and is a FINDING, not a
convenience. C82317 -> C131025 happened on a shipped board and no
gate in this repo could have seen it.

C21189	0Ω	R108,R109,R2,R208,R209
C5126242	1.21kΩ	R103,R203
C25803	100kΩ	R107,R207,R32,R33,R410,R416,R420,R426,R430,R436,R440,R446
C14663	100nF	C111,C211,C22,C32,C33,C34,C35,C38,C39,C412,C414,C415,C42,C422,C424,C425,C432,C434,C435,C44,C442,C444,C445,C45
C24497	100nF	C2,C3
C14858	100pF	C103,C203
C23742	100uF	C112,C113,C114,C115,C212,C213,C214,C215
C25804	10kΩ	R36,R37,R412,R413,R419,R422,R423,R429,R432,R433,R439,R442,R443,R449
C844901	10mΩ	RS1,RS2
C57112	10nF	C104,C204
C13585	10uF	C21
C3844168	10uF	C107,C108,C109,C110,C207,C208,C209,C210
C2930057	11.5kΩ	R5
C22865	12.4kΩ	R101,R201
C22790	12kΩ	R31
C25810	18kΩ	R104,R204
C1647	18pF	C30,C31
C3819953	1935161	J1
C22935	1MΩ	R30
C2128	1N4148WS	D2,D3
C21190	1kΩ	R415,R418,R425,R428,R435,R438,R445,R448
C62774	1nF	C116,C216
C15849	1uF	C105,C106,C205,C206,C36,C37,C40,C41
C1604	2.2nF	C411,C421,C431,C441
C137327	2.2Ω	R110,R210
C21120	220nF	C1
C12891	22uF	C23,C24
C309062	22uF	C413,C423,C433,C443
C86462	292304-1	J2
C1613	3.3nF	C102,C202,C410,C420,C430,C440
C728591	3.92kΩ	R102,R202
C1664	330pF	C101,C201
C2930095	36.5kΩ	R411,R421,R431,R441
C25972	4.75kΩ	R3
C23162	4.7kΩ	R34,R35
C19666	4.7uF	C43
C23184	49.9kΩ	R105,R205
C23215	6.98kΩ	R106,R206
C23231	68kΩ	R417,R427,R437,R447
C6053	74LVC08APW,118	U8
C2999456	88.7kΩ	R1
C2930136	90.9kΩ	R4
C5126196	976Ω	R414,R424,R434,R444
C404363	AON6354	Q3,Q4,Q5,Q6
C5248536	AP63203QWU-7	U4
C85098	B340A-13-F	D4,D5,D6,D7
C454269	BSC016N06NS	Q1,Q2
C1985204	CX3225SB24000H0FLJCC	Y1
C11355	FSUSB42MUX	U13,U14,U15,U16
C19191796	FTSH-105-01-L-D-K	J7
C13755	LM5116MHX/NOPB	U2,U3
C3215601	LM74810QDRRRQ1	U1
C408523	MWSA1206S-6R8MT	L1,L2
C315992	SMBJ26A	D1
C2847904	STM32G0B1CBT6	U7
C3662799	TPS259470ARPWR	U10,U11,U12,U9
C478081	USB2517I-JZX	U6
C7519	USBLC6-2SC6	U17,U18,U19,U20,U5
C307880	VLS6045EX-4R7M	L3
