Comment,Designator,Footprint,LCSC,qty,status,code,type,stock,mpn,pkg,price
0Ω,"R108,R109,R2,R208,R209",R_0603_1608Metric,C21189,5,OK,C21189,base,13194533,0603WAF0000T5E,0603,0.0082
1.21kΩ,"R103,R203",R_0603_1608Metric,C5126242,2,OK,C5126242,expand,31623,FRC0603F1211TS,0603,0.0023
100kΩ,"R107,R207,R32,R33,R410,R416,R420,R426,R430,R436,R440,R446",R_0603_1608Metric,C25803,12,OK,C25803,base,9330222,0603WAF1003T5E,0603,0.0079
100nF,"C111,C211,C22,C32,C33,C34,C35,C38,C39,C412,C414,C415,C42,C422,C424,C425,C432,C434,C435,C44,C442,C444,C445,C45",C_0603_1608Metric,C14663,24,OK,C14663,base,33235169,CC0603KRX7R9BB104,0603,0.0241
100nF,"C2,C3",C_1206_3216Metric,C24497,2,OK,C24497,base,3162549,CL31B104KBCNNNC,1206,0.0251
100pF,"C103,C203",C_0603_1608Metric,C14858,2,OK,C14858,base,7126589,CL10C101JB8NNNC,0603,0.0145
100uF,"C112,C113,C114,C115,C212,C213,C214,C215",C_1210_3225Metric,C23742,8,OK,C23742,expand,78211,CL32A107MPVNNNE,1210,0.5003
10kΩ,"R36,R37,R412,R413,R419,R422,R423,R429,R432,R433,R439,R442,R443,R449",R_0603_1608Metric,C25804,14,OK,C25804,base,2118849,0603WAF1002T5E,0603,0.0021
10mΩ,"RS1,RS2",R_2512_6332Metric,C844901,2,OK,C844901,expand,13216,WSL2512R0100FEA,2512,0.3444
10nF,"C104,C204",C_0603_1608Metric,C57112,2,OK,C57112,base,11676780,0603B103K500NT,0603,0.0115
10uF,C21,C_1206_3216Metric,C13585,1,OK,C13585,base,4098407,CL31A106KBHNNNE,1206,0.2911
10uF,"C107,C108,C109,C110,C207,C208,C209,C210",C_1210_3225Metric,C3844168,8,OK,C3844168,expand,533,CL32B106KBJNNWE,1210,0.4961
11.5kΩ,R5,R_0603_1608Metric,C2930057,1,OK,C2930057,expand,77403,FRC0603F1152TS,0603,0.0025
12.4kΩ,"R101,R201",R_0603_1608Metric,C22865,2,OK,C22865,expand,1961,0603WAF1242T5E,0603,0.0028
12kΩ,R31,R_0603_1608Metric,C22790,1,OK,C22790,base,1620819,0603WAF1202T5E,0603,0.0086
18kΩ,"R104,R204",R_0603_1608Metric,C25810,2,OK,C25810,base,1331705,0603WAF1802T5E,0603,0.0076
18pF,"C30,C31",C_0603_1608Metric,C1647,2,OK,C1647,base,558823,CL10C180JB8NNNC,0603,0.0109
1935161,J1,TerminalBlock_KANGNEX_WJ126V_2P_P5.0,C3819953,1,OK,C3819953,expand,1127,1935161,"Plugin,P=5mm",0.6665
1MΩ,R30,R_0603_1608Metric,C22935,1,OK,C22935,base,2913791,0603WAF1004T5E,0603,0.0028
1N4148WS,"D2,D3",D_SOD-323,C2128,2,OK,C2128,base,820072,1N4148WS,SOD-323,0.0132
1kΩ,"R415,R418,R425,R428,R435,R438,R445,R448",R_0603_1608Metric,C21190,8,OK,C21190,base,17137574,0603WAF1001T5E,0603,0.0125
1nF,"C116,C216",C_0805_2012Metric,C62774,2,OK,C62774,expand,637376,CC0805JRNPO9BN102,0805,0.0197
1uF,"C105,C106,C205,C206,C36,C37,C40,C41",C_0603_1608Metric,C15849,8,OK,C15849,base,14255882,CL10A105KB8NNNC,0603,0.0154
2.2nF,"C411,C421,C431,C441",C_0603_1608Metric,C1604,4,OK,C1604,base,1790939,0603B222K500NT,0603,0.0159
2.2Ω,"R110,R210",R_1206_3216Metric,C137327,2,OK,C137327,expand,25659,RC1206FR-072R2L,1206,0.0262
220nF,C1,C_0603_1608Metric,C21120,1,OK,C21120,base,1446466,CL10B224KA8NNNC,0603,0.0167
22uF,"C23,C24",C_1206_3216Metric,C12891,2,OK,C12891,base,964788,CL31A226KAHNNNE,1206,0.3817
22uF,"C413,C423,C433,C443",C_1210_3225Metric,C309062,4,OK,C309062,expand,332461,CL32B226KAJNNNE,1210,0.3826
