Designator,Val,Package,Mid X,Mid Y,Layer,Rotation
C1,4.7u buck in,C_0805_2012Metric,140.0,-83.0,top,0.0
C10,100n MCU 3V3,C_0805_2012Metric,107.5,-110.0,top,90.0
C11,1u EN,C_0805_2012Metric,76.0,-107.0,top,0.0
C12,100n VCP,C_0805_2012Metric,154.0,-104.5,top,0.0
C13,4.7u 5VOUT,C_0805_2012Metric,154.0,-107.5,top,0.0
C14,100n VS,C_0805_2012Metric,153.5,-98.0,top,0.0
C15,100n VS,C_0805_2012Metric,166.5,-98.0,top,0.0
C16,100n VCC_IO,C_0805_2012Metric,154.0,-110.5,top,0.0
C17,100n endstop,C_0805_2012Metric,166.0,-110.0,top,0.0
C18,100n accel,C_0805_2012Metric,99.5,-82.0,top,0.0
C19,22u accel,C_0805_2012Metric,99.5,-86.0,top,90.0
C2,4.7u buck in,C_0805_2012Metric,140.0,-86.0,top,0.0
C25,100n 12V,C_0805_2012Metric,161.6,-80.8,top,0.0
C26,22n CP fly,C_0805_2012Metric,154.0,-101.5,top,0.0
C3,22u buck out,C_0805_2012Metric,140.0,-102.5,top,0.0
C30,100n MPR VDD,C_0805_2012Metric,61.0,-69.5,top,0.0
C31,100n VREG,C_0805_2012Metric,64.0,-72.0,top,0.0
C32,100n MPR VDD,C_0805_2012Metric,76.0,-69.5,top,0.0
C33,100n VREG,C_0805_2012Metric,79.0,-72.0,top,0.0
C34,100n MPR VDD,C_0805_2012Metric,100.5,-69.0,top,0.0
C35,100n VREG,C_0805_2012Metric,103.5,-71.5,top,0.0
C36,100n MPR VDD,C_0805_2012Metric,115.5,-69.0,top,0.0
C37,100n VREG,C_0805_2012Metric,118.5,-71.5,top,0.0
C4,22u buck out,C_0805_2012Metric,140.0,-105.5,top,0.0
C40,100u 12V bulk,CP_Elec_6.3x7.7,164.5,-90.0,top,180.0
C41,100u VS bulk,CP_Elec_6.3x7.7,169.0,-82.5,top,180.0
C5,100n BST,C_0805_2012Metric,152.0,-83.0,top,0.0
C6,4.7u LDO in,C_0805_2012Metric,121.5,-96.2,top,0.0
C7,22u LDO out,C_0805_2012Metric,121.5,-104.2,top,0.0
C8,100n VBUS,C_0805_2012Metric,62.0,-104.5,top,0.0
C9,22u MCU 3V3,C_0805_2012Metric,107.5,-106.0,top,90.0
D1,USBLC6-2SC6,SOT-23-6,64.0,-88.0,top,270.0
D2,green PWR,LED_0805_2012Metric,134.5,-108.5,top,0.0
D3,SMBJ16A,D_SMB,155.0,-63.0,top,0.0
D5,green STATUS,LED_0805_2012Metric,66.0,-80.5,top,0.0
F1,2A polyfuse 16V,Fuse_1812_4532Metric,162.5,-62.8,top,0.0
J1,DC-005C-20A 12V,DCJack_DC005_Horizontal,166.5,-70.0,top,0.0
J2,TYPE-C-31-M-12,USB_C_Receptacle_HRO_TYPE-C-31-M-12,54.2,-95.0,top,90.0
J3,ELECTRODES INNER,PinHeader_1x13_P2.54mm_Vertical,61.0,-54.5,top,90.0
J4,ELECTRODES OUTER,PinHeader_1x13_P2.54mm_Vertical,100.0,-54.5,top,90.0
J5,MOTOR NEMA17,JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,176.0,-91.0,top,270.0
J6,ENDSTOP TERM,TerminalBlock_3.5-2P_NoSilk,176.0,-113.0,top,90.0
J8,HOST 1x6,PinHeader_1x06_P2.54mm_Vertical,113.0,-121.0,top,90.0
L1,10uH SWPA6045S,L_Sunlord_SWPA6045S,146.0,-96.5,top,0.0
Q1,AOD4185 revpol,TO-252-2,160.0,-74.0,top,270.0
R1,100k gate pd,R_0805_2012Metric,151.5,-74.0,top,0.0
R10,10k endstop pu,R_0805_2012Metric,166.0,-107.0,top,0.0
R11,1k endstop ser,R_0805_2012Metric,166.0,-113.0,top,0.0
R12,4.7k SDA pu,R_0805_2012Metric,91.0,-76.0,top,0.0
R13,4.7k SCL pu,R_0805_2012Metric,91.0,-79.0,top,0.0
R20,75k REXT,R_0805_2012Metric,67.0,-74.5,top,0.0
R21,10k IRQ pu,R_0805_2012Metric,70.0,-72.0,top,0.0
R22,75k REXT,R_0805_2012Metric,82.0,-69.5,top,0.0
R23,10k IRQ pu,R_0805_2012Metric,85.0,-72.0,top,0.0
R24,75k REXT,R_0805_2012Metric,106.5,-69.0,top,0.0
R25,10k IRQ pu,R_0805_2012Metric,109.5,-71.5,top,0.0
R26,75k REXT,R_0805_2012Metric,121.5,-69.0,top,0.0
R27,10k IRQ pu,R_0805_2012Metric,124.5,-71.5,top,0.0
R3,1k LED,R_0805_2012Metric,130.0,-108.5,top,0.0
R30,0.15R sense A,R_1206_3216Metric,160.5,-96.0,top,0.0
R31,0.15R sense B,R_1206_3216Metric,160.5,-110.5,top,0.0
R4,5.1k CC1,R_0805_2012Metric,62.0,-99.5,top,0.0
R5,5.1k CC2,R_0805_2012Metric,62.0,-102.0,top,0.0
R6,10k EN,R_0805_2012Metric,76.0,-104.0,top,0.0
R7,1k status LED,R_0805_2012Metric,66.0,-84.0,top,0.0
R8,10k ENN pu,R_0805_2012Metric,153.5,-117.0,top,0.0
R9,1k TMC UART,R_0805_2012Metric,149.5,-108.0,top,90.0
SW1,TS-1187A BOOT,SW_Push_1P1T_XKB_TS-1187A,70.0,-112.0,top,0.0
SW2,TS-1187A RESET,SW_Push_1P1T_XKB_TS-1187A,70.0,-96.0,top,0.0
U1,ESP32-S3-WROOM-1-N8R2,ESP32-S3-WROOM-1,95.0,-119.05,top,180.0
U2,TMC2209-LA-T,QFN-28-1EP_5x5mm_P0.5mm_EP3.75x3.75mm,160.0,-103.0,top,270.0
U3,MPR121QR2 0x5A,UQFN-20_3x3mm_P0.4mm,66.5,-63.5,top,90.0
U4,MPR121QR2 0x5B,UQFN-20_3x3mm_P0.4mm,81.5,-63.5,top,90.0
U5,MPR121QR2 0x5C,UQFN-20_3x3mm_P0.4mm,106.0,-63.5,top,90.0
U6,MPR121QR2 0x5D,UQFN-20_3x3mm_P0.4mm,121.0,-63.5,top,90.0
U7,LIS2DH12TR,LGA-12_2x2mm_P0.5mm,95.0,-84.0,top,90.0
U8,AP63205WU-7,TSOT-23-6,146.0,-88.0,top,180.0
U9,AMS1117-3.3,SOT-223-3_TabPin2,128.0,-100.0,top,180.0
