LCSC,Ref,Status,Detail
C60491,R_SWAP1,OK,fit=0.08mm jlc_offset=0 db=0.0 src=lcsc
C60491,R_SWAP2,OK,fit=0.08mm jlc_offset=0 db=0.0 src=lcsc
C60491,R_SWAP3,OK,fit=0.08mm jlc_offset=0 db=0.0 src=lcsc
C60491,R_SWAP4,OK,fit=0.08mm jlc_offset=0 db=0.0 src=lcsc
C60491,R_SWAP5,OK,fit=0.08mm jlc_offset=0 db=0.0 src=lcsc
C60491,R_SWAP6,OK,fit=0.08mm jlc_offset=0 db=0.0 src=lcsc
C60491,R_SWAP7,OK,fit=0.08mm jlc_offset=0 db=0.0 src=lcsc
C60491,R_VBUS_BOT,OK,fit=0.08mm jlc_offset=0 db=0.0 src=lcsc
C60491,R_VBUS_TOP,OK,fit=0.08mm jlc_offset=0 db=0.0 src=lcsc
C1525,C_AGG_IN,OK,fit=0.06mm jlc_offset=0 db=0.0 src=lcsc
C1525,C_AND_DATA,OK,fit=0.06mm jlc_offset=0 db=0.0 src=lcsc
C1525,C_AND_PWR,OK,fit=0.06mm jlc_offset=0 db=0.0 src=lcsc
C1525,C_BST,OK,fit=0.06mm jlc_offset=0 db=0.0 src=lcsc
C1525,C_CTRL_VDD,OK,fit=0.06mm jlc_offset=0 db=0.0 src=lcsc
C1525,C_DATA1,OK,fit=0.06mm jlc_offset=0 db=0.0 src=lcsc
C1525,C_DATA2,OK,fit=0.06mm jlc_offset=0 db=0.0 src=lcsc
C1525,C_DATA3,OK,fit=0.06mm jlc_offset=0 db=0.0 src=lcsc
C1525,C_DATA4,OK,fit=0.06mm jlc_offset=0 db=0.0 src=lcsc
C1525,C_EXP_VDD,OK,fit=0.06mm jlc_offset=0 db=0.0 src=lcsc
C1525,C_HUB_A1,OK,fit=0.06mm jlc_offset=0 db=0.0 src=lcsc
C1525,C_HUB_A2,OK,fit=0.06mm jlc_offset=0 db=0.0 src=lcsc
C1525,C_HUB_A3,OK,fit=0.06mm jlc_offset=0 db=0.0 src=lcsc
C1525,C_HUB_A4,OK,fit=0.06mm jlc_offset=0 db=0.0 src=lcsc
C1525,C_HUB_CR_HF,OK,fit=0.06mm jlc_offset=0 db=0.0 src=lcsc
C1525,C_HUB_DD,OK,fit=0.06mm jlc_offset=0 db=0.0 src=lcsc
C1525,C_HUB_PLL,OK,fit=0.06mm jlc_offset=0 db=0.0 src=lcsc
C1525,C_PORT1_HF,OK,fit=0.06mm jlc_offset=0 db=0.0 src=lcsc
C1525,C_PORT2_HF,OK,fit=0.06mm jlc_offset=0 db=0.0 src=lcsc
C1525,C_PORT3_HF,OK,fit=0.06mm jlc_offset=0 db=0.0 src=lcsc
C1525,C_PORT4_HF,OK,fit=0.06mm jlc_offset=0 db=0.0 src=lcsc
C1525,C_PWR1_IN,OK,fit=0.06mm jlc_offset=0 db=0.0 src=lcsc
C1525,C_PWR2_IN,OK,fit=0.06mm jlc_offset=0 db=0.0 src=lcsc
C1525,C_PWR3_IN,OK,fit=0.06mm jlc_offset=0 db=0.0 src=lcsc
C1525,C_PWR4_IN,OK,fit=0.06mm jlc_offset=0 db=0.0 src=lcsc
C1525,C_PWR_CTRL_IN,OK,fit=0.06mm jlc_offset=0 db=0.0 src=lcsc
C1525,C_PWR_CTRL_OUT_HF,OK,fit=0.06mm jlc_offset=0 db=0.0 src=lcsc
C1525,C_TRUNK_HF,OK,fit=0.06mm jlc_offset=0 db=0.0 src=lcsc
C25804,R_AGG_UV_MID,OK,fit=0.08mm jlc_offset=0 db=0.0 src=lcsc
C60490,R_BOOST0,OK,fit=0.08mm jlc_offset=0 db=0.0 src=lcsc
C60490,R_BOOST1,OK,fit=0.08mm jlc_offset=0 db=0.0 src=lcsc
C60490,R_CFG0,OK,fit=0.08mm jlc_offset=0 db=0.0 src=lcsc
C60490,R_CFG1,OK,fit=0.08mm jlc_offset=0 db=0.0 src=lcsc
C60490,R_CFG2,OK,fit=0.08mm jlc_offset=0 db=0.0 src=lcsc
C60490,R_CTRL_RESET,OK,fit=0.08mm jlc_offset=0 db=0.0 src=lcsc
C60490,R_DATA_CMD1,OK,fit=0.08mm jlc_offset=0 db=0.0 src=lcsc
C60490,R_DATA_CMD2,OK,fit=0.08mm jlc_offset=0 db=0.0 src=lcsc
C60490,R_DATA_CMD3,OK,fit=0.08mm jlc_offset=0 db=0.0 src=lcsc
C60490,R_DATA_CMD4,OK,fit=0.08mm jlc_offset=0 db=0.0 src=lcsc
C60490,R_DATA_OE1,OK,fit=0.08mm jlc_offset=0 db=0.0 src=lcsc
C60490,R_DATA_OE2,OK,fit=0.08mm jlc_offset=0 db=0.0 src=lcsc
C60490,R_DATA_OE3,OK,fit=0.08mm jlc_offset=0 db=0.0 src=lcsc
C60490,R_DATA_OE4,OK,fit=0.08mm jlc_offset=0 db=0.0 src=lcsc
C60490,R_DATA_OK1,OK,fit=0.08mm jlc_offset=0 db=0.0 src=lcsc
C60490,R_DATA_OK2,OK,fit=0.08mm jlc_offset=0 db=0.0 src=lcsc
C60490,R_DATA_OK3,OK,fit=0.08mm jlc_offset=0 db=0.0 src=lcsc
C60490,R_DATA_OK4,OK,fit=0.08mm jlc_offset=0 db=0.0 src=lcsc
C60490,R_DIS6N,OK,fit=0.08mm jlc_offset=0 db=0.0 src=lcsc
C60490,R_DIS6P,OK,fit=0.08mm jlc_offset=0 db=0.0 src=lcsc
C60490,R_DIS7N,OK,fit=0.08mm jlc_offset=0 db=0.0 src=lcsc
C60490,R_DIS7P,OK,fit=0.08mm jlc_offset=0 db=0.0 src=lcsc
C60490,R_EXP_RESET,OK,fit=0.08mm jlc_offset=0 db=0.0 src=lcsc
C60490,R_GANG,OK,fit=0.08mm jlc_offset=0 db=0.0 src=lcsc
C60490,R_HUB_RESET,OK,fit=0.08mm jlc_offset=0 db=0.0 src=lcsc
C60490,R_NONREM0,OK,fit=0.08mm jlc_offset=0 db=0.0 src=lcsc
C60490,R_NONREM1,OK,fit=0.08mm jlc_offset=0 db=0.0 src=lcsc
C60490,R_PWR_CMD1,OK,fit=0.08mm jlc_offset=0 db=0.0 src=lcsc
