Comment,Designator,Footprint,LCSC,qty,status,code,type,stock,mpn,manufacturer,pkg,price
0466003.NRHF,F_PD,Fuse_1206_3216Metric,C14165,1,OK,C14165,expand,33615,0466003.NRHF,Littelfuse,1206,0.0745
100kΩ,"R_SWAP1,R_SWAP2,R_SWAP3,R_SWAP4,R_SWAP5,R_SWAP6,R_SWAP7,R_VBUS_BOT",R_0402_1005Metric,C25741,8,OK,C25741,base,14184496,0402WGF1003TCE,UNI-ROYAL(Uniroyal Elec),0402,0.0049
100nF,C_PD_IN_HF,C_0402_1005Metric,C131394,1,OK,C131394,expand,7893879,CC0402KRX7R9BB104,YAGEO,0402,0.0114
100nF,"C_AGG_IN,C_AND_DATA,C_AND_PWR,C_BST,C_CTRL_VDD,C_DATA1,C_DATA2,C_DATA3,C_DATA4,C_EXP_VDD,C_HUB_A1,C_HUB_A2,C_HUB_A3,C_HUB_A4,C_HUB_CR_HF,C_HUB_DD,C_HUB_PLL,C_PD_BOOT,C_PORT1_HF,C_PORT2_HF,C_PORT3_HF,C_PORT4_HF,C_PWR1_IN,C_PWR2_IN,C_PWR3_IN,C_PWR4_IN,C_PWR_CTRL_IN,C_PWR_CTRL_OUT_HF,C_TRUNK_HF",C_0402_1005Metric,C60474,29,OK,C60474,expand,7198744,CC0402KRX7R7BB104,YAGEO,0402,0.0056
100pF,C_PD_FF,C_0402_1005Metric,C1546,1,OK,C1546,base,5419387,0402CG101J500NT,FH (Guangdong Fenghua Advanced Tech),0402,0.0055
10kΩ,R_PD_FB_BOT,R_0402_1005Metric,C190095,1,OK,C190095,expand,499882,RT0402BRD0710KL,YAGEO,0402,0.0271
10kΩ,"R_BOOST0,R_BOOST1,R_CFG0,R_CFG1,R_CFG2,R_CTRL_RESET,R_DATA_CMD1,R_DATA_CMD2,R_DATA_CMD3,R_DATA_CMD4,R_DATA_OE1,R_DATA_OE2,R_DATA_OE3,R_DATA_OE4,R_DATA_OK1,R_DATA_OK2,R_DATA_OK3,R_DATA_OK4,R_DIS6N,R_DIS6P,R_DIS7N,R_DIS7P,R_EXP_RESET,R_GANG,R_HUB_RESET,R_NONREM0,R_NONREM1,R_PD_VBUS,R_PWR_CMD1,R_PWR_CMD2,R_PWR_CMD3,R_PWR_CMD4,R_PWR_EN1,R_PWR_EN2,R_PWR_EN3,R_PWR_EN4",R_0402_1005Metric,C25744,36,OK,C25744,base,5221980,0402WGF1002TCE,UNI-ROYAL(Uniroyal Elec),0402,0.002
10kΩ,R_AGG_UV_MID,R_0603_1608Metric,C25804,1,OK,C25804,base,7047602,0603WAF1002T5E,UNI-ROYAL(Uniroyal Elec),0603,0.0084
10uF,C_BUCK_IN,C_0603_1608Metric,C19702,1,OK,C19702,base,14735970,CL10A106KP8NNNC,Samsung Electro-Mechanics,0603,0.0387
10uF,"C_PD_IN1,C_PD_IN2",C_1206_3216Metric,C5449000,2,OK,C5449000,expand,173185,TCC1206X7R106K500HT,CCTC,1206,0.2966
12kΩ,R_RBIAS,R_0402_1005Metric,C114760,1,OK,C114760,expand,1173367,RC0402FR-0712KL,YAGEO,0402,0.0053
150kΩ,R_AGG_UV_TOP,R_0603_1608Metric,C22807,1,OK,C22807,base,1101169,0603WAF1503T5E,UNI-ROYAL(Uniroyal Elec),0603,0.0068
165kΩ,"R_ILIM1,R_ILIM2,R_ILIM3,R_ILIM4,R_ILIM_CTRL",R_0402_1005Metric,C2076721,5,OK,C2076721,expand,21550,ERJ2RKF1653X,PANASONIC,0402,0.0047
180uF,C_TRUNK_USB,Panasonic_C6_6.3x5.9,C136277,1,OK,C136277,expand,864,16SVPF180M,PANASONIC,"SMD,D6.3xL5.9mm",1.2637
18pF,"C_XTAL1,C_XTAL2",C_0402_1005Metric,C1549,2,OK,C1549,base,1315301,0402CG180J500NT,FH (Guangdong Fenghua Advanced Tech),0402,0.0048
1MΩ,R_XTAL,R_0402_1005Metric,C138033,1,OK,C138033,expand,1892958,RC0402FR-071ML,YAGEO,0402,0.0055
1kΩ,R_AGG_ILIM,R_0603_1608Metric,C110776,1,OK,C110776,expand,865280,RT0603BRD071KL,YAGEO,0603,0.0326
1kΩ,R_PD_VDD,R_0402_1005Metric,C11702,1,OK,C11702,base,16192528,0402WGF1001TCE,UNI-ROYAL(Uniroyal Elec),0402,0.0067
1uF,"C_HUB_18,C_HUB_18PLL,C_HUB_A_BULK,C_HUB_CR_BULK,C_HUB_RESET,C_PD_VDD,C_PWR_CTRL_OUT",C_0402_1005Metric,C52923,7,OK,C52923,base,14510320,CL05A105KA5NQNC,Samsung Electro-Mechanics,0402,0.012
200kΩ,R_PD_UV_TOP,R_0402_1005Metric,C25764,1,OK,C25764,base,1480509,0402WGF2003TCE,UNI-ROYAL(Uniroyal Elec),0402,0.0032
20kΩ,R_PD_FF,R_0402_1005Metric,C25765,1,OK,C25765,base,2870034,0402WGF2002TCE,UNI-ROYAL(Uniroyal Elec),0402,0.0048
22uF,"C_BUCK_OUT1,C_BUCK_OUT2,C_PD_OUT1,C_PD_OUT2,C_PD_OUT3,C_PORT1_BULK,C_PORT2_BULK,C_PORT3_BULK,C_PORT4_BULK,C_TRUNK_BULK",C_1210_3225Metric,C21397,10,OK,C21397,expand,100637,GRM32ER71E226KE15L,Murata Electronics,1210,0.6845
27.4kΩ,R_PD_UV_BOT,R_0402_1005Metric,C26971,1,OK,C26971,expand,11636,0402WGF2742TCE,UNI-ROYAL(Uniroyal Elec),0402,0.0011
2N7002K-7,"Q_DATA1,Q_DATA2,Q_DATA3,Q_DATA4",Diodes_SOT23_2N7002K,C85047,4,OK,C85047,expand,19283,2N7002K-7,Diodes Incorporated,SOT-23,0.1203
3.3nF,"C_AGG_DVDT,C_AGG_TIMER",C_0603_1608Metric,C107048,2,OK,C107048,expand,57717,CC0603JRNPO9BN332,YAGEO,0603,0.0292
3.3uH,L_MAIN,Sunlord_SWPA4030S,C15269,1,OK,C15269,expand,19395,SWPA4030S3R3MT,Sunlord,"SMD,4x4mm",0.0842
330nF,C_CTRL_VUSB,C_0402_1005Metric,C19271634,1,OK,C19271634,expand,31045,GRM155R61H334KE01D,Murata Electronics,0402,0.0303
4.7kΩ,"R_I2C_SCL,R_I2C_SDA",R_0402_1005Metric,C25900,2,OK,C25900,base,22500878,0402WGF4701TCE,UNI-ROYAL(Uniroyal Elec),0402,0.0049
43.2kΩ,R_AGG_OV_BOT,R_0603_1608Metric,C861404,1,OK,C861404,expand,4708,RT0603BRD0743K2L,YAGEO,0603,0.0356
47kΩ,R_VBUS_TOP,R_0402_1005Metric,C25792,1,OK,C25792,base,6999537,0402WGF4702TCE,UNI-ROYAL(Uniroyal Elec),0402,0.0046
499Ω,R_PD_FB_B,R_0402_1005Metric,C852807,1,OK,C852807,expand,85417,RT0402BRD07499RL,YAGEO,0402,0.028
5.1kΩ,"R_CC1,R_CC2",R_0402_1005Metric,C25905,2,OK,C25905,base,9457848,0402WGF5101TCE,UNI-ROYAL(Uniroyal Elec),0402,0.0043
"74LVC08APW,118","U_AND_DATA,U_AND_PWR",TSSOP-14_4.4x5mm_P0.65mm,C6053,2,OK,C6053,expand,1958,"74LVC08APW,118",Nexperia,TSSOP-14,0.1377
75kΩ,R_PD_FB_A,R_0402_1005Metric,C319478,1,OK,C319478,expand,9319,AR02BTD7502,Viking Tech,0402,0.0319
AP63203QWU-7,U_BUCK,TSOT-23-6,C5248536,1,OK,C5248536,expand,2369,AP63203QWU-7,Diodes Incorporated,TSOT-23-6,2.0048
CH224K,U_PD,WCH_CH224K_ESSOP10_EP,C970725,1,OK,C970725,expand,7521,CH224K,WCH(Jiangsu Qin Heng),ESSOP-10-150mil-1mm,0.4871
CX3225SB24000H0FLJCC,Y_HUB,Crystal_SMD_3225-4Pin_3.2x2.5mm,C1985204,1,OK,C1985204,expand,8,CX3225SB24000H0FLJCC,--,SMD3225-4P,0.8738
FSUSB42MUX,"U_DATA1,U_DATA2,U_DATA3,U_DATA4",MSOP-10_3x3mm_P0.5mm,C11355,4,OK,C11355,expand,52618,FSUSB42MUX,onsemi,MSOP-10,0.3165
