Comment,Designator,Footprint,MPN,LCSC
0466003.NRHF,F_PD,Fuse_1206_3216Metric,0466003.NRHF,C14165
100kΩ,"R_SWAP1,R_SWAP2,R_SWAP3,R_SWAP4,R_SWAP5,R_SWAP6,R_SWAP7,R_VBUS_BOT",R_0402_1005Metric,0402WGF1003TCE,C25741
100nF,C_PD_IN_HF,C_0402_1005Metric,CC0402KRX7R9BB104,C131394
100nF,"C_AGG_IN,C_AND_DATA,C_AND_PWR,C_BST,C_CTRL_VDD,C_DATA1,C_DATA2,C_DATA3,C_DATA4,C_EXP_VDD,C_HUB_A1,C_HUB_A2,C_HUB_A3,C_HUB_A4,C_HUB_CR_HF,C_HUB_DD,C_HUB_PLL,C_PD_BOOT,C_PORT1_HF,C_PORT2_HF,C_PORT3_HF,C_PORT4_HF,C_PWR1_IN,C_PWR2_IN,C_PWR3_IN,C_PWR4_IN,C_PWR_CTRL_IN,C_PWR_CTRL_OUT_HF,C_TRUNK_HF",C_0402_1005Metric,CC0402KRX7R7BB104,C60474
100pF,C_PD_FF,C_0402_1005Metric,0402CG101J500NT,C1546
10kΩ,R_PD_FB_BOT,R_0402_1005Metric,RT0402BRD0710KL,C190095
10kΩ,"R_BOOST0,R_BOOST1,R_CFG0,R_CFG1,R_CFG2,R_CTRL_RESET,R_DATA_CMD1,R_DATA_CMD2,R_DATA_CMD3,R_DATA_CMD4,R_DATA_OE1,R_DATA_OE2,R_DATA_OE3,R_DATA_OE4,R_DATA_OK1,R_DATA_OK2,R_DATA_OK3,R_DATA_OK4,R_DIS6N,R_DIS6P,R_DIS7N,R_DIS7P,R_EXP_RESET,R_GANG,R_HUB_RESET,R_NONREM0,R_NONREM1,R_PD_VBUS,R_PWR_CMD1,R_PWR_CMD2,R_PWR_CMD3,R_PWR_CMD4,R_PWR_EN1,R_PWR_EN2,R_PWR_EN3,R_PWR_EN4",R_0402_1005Metric,0402WGF1002TCE,C25744
10kΩ,R_AGG_UV_MID,R_0603_1608Metric,0603WAF1002T5E,C25804
10uF,C_BUCK_IN,C_0603_1608Metric,CL10A106KP8NNNC,C19702
10uF,"C_PD_IN1,C_PD_IN2",C_1206_3216Metric,TCC1206X7R106K500HT,C5449000
12kΩ,R_RBIAS,R_0402_1005Metric,RC0402FR-0712KL,C114760
150kΩ,R_AGG_UV_TOP,R_0603_1608Metric,0603WAF1503T5E,C22807
180uF,C_TRUNK_USB,Panasonic_C6_6.3x5.9,16SVPF180M,C136277
187kΩ,R_ILIM_CTRL,R_0402_1005Metric,RC0402FR-07187KL,C163486
18pF,"C_XTAL1,C_XTAL2",C_0402_1005Metric,0402CG180J500NT,C1549
1MΩ,R_XTAL,R_0402_1005Metric,RC0402FR-071ML,C138033
1kΩ,"R_AGG_ILIM,R_PD_IN_ILIM",R_0603_1608Metric,RT0603BRD071KL,C110776
1kΩ,R_PD_FB_B,R_0402_1005Metric,0402WGF1001TCE,C11702
1kΩ,R_PD_VDD,R_1210_3225Metric,1210W2F1001T5E,C52444
