Comment,Designator,Footprint,LCSC,qty,status,code,type,stock,mpn,manufacturer,pkg,price
C107048 prelayout exact-code probe,"C_AGG_DVDT,C_PD_IN_DVDT",,C107048,2,OK,C107048,expand,57657,CC0603JRNPO9BN332,YAGEO,0603,0.0292
C110776 prelayout exact-code probe,R_PD_IN_ILIM,,C110776,1,OK,C110776,expand,855640,RT0603BRD071KL,YAGEO,0603,0.0326
C11355 prelayout exact-code probe,"U_DATA1,U_DATA2,U_DATA3,U_DATA4",,C11355,4,OK,C11355,expand,50003,FSUSB42MUX,onsemi,MSOP-10,0.3165
C114760 prelayout exact-code probe,R_RBIAS,,C114760,1,OK,C114760,expand,1165497,RC0402FR-0712KL,YAGEO,0402,0.0053
C130056 prelayout exact-code probe,U_PWR_CTRL,,C130056,1,OK,C130056,expand,2485,TPS2557DRBR,Texas Instruments,SON-8(3x3),1.2411
C136277 prelayout exact-code probe,C_TRUNK_USB,,C136277,1,OK,C136277,expand,864,16SVPF180M,PANASONIC,"SMD,D6.3xL5.9mm",1.2637
C138033 prelayout exact-code probe,R_XTAL,,C138033,1,OK,C138033,expand,1861081,RC0402FR-071ML,YAGEO,0402,0.0055
C14165 prelayout exact-code probe,F_PD,,C14165,1,OK,C14165,expand,33533,0466003.NRHF,Littelfuse,1206,0.0745
C15269 prelayout exact-code probe,L_MAIN,,C15269,1,OK,C15269,expand,19048,SWPA4030S3R3MT,Sunlord,"SMD,4x4mm",0.0842
C1546 prelayout exact-code probe,C_PD_FF,,C1546,1,OK,C1546,base,5342038,0402CG101J500NT,FH (Guangdong Fenghua Advanced Tech),0402,0.0055
C1549 prelayout exact-code probe,"C_XTAL1,C_XTAL2",,C1549,2,OK,C1549,base,1303404,0402CG180J500NT,FH (Guangdong Fenghua Advanced Tech),0402,0.0048
C162241 prelayout exact-code probe,C_AGG_TIMER,,C162241,1,OK,C162241,expand,120966,GRM1885C1H682JA01D,Murata Electronics,0603,0.0324
