Designator,Val,Package,Mid X,Mid Y,Layer,Rotation
C1,C2982822,CP_Elec_6.3x7.7,47.0,-72.5,top,0.0
C10,100uF,C_1210_3225Metric,89.1,-23.1,top,0.0
C11,100uF,C_1210_3225Metric,95.2,-24.5,top,0.0
C12,100uF,C_1210_3225Metric,100.2,-26.6,top,0.0
C13,100uF,C_1210_3225Metric,94.2,-33.0,top,0.0
C14,330pF,C_0603_1608Metric,49.5,-36.0,top,0.0
C15,3.3nF,C_0603_1608Metric,45.6,-40.3,top,0.0
C16,100pF,C_0603_1608Metric,45.6,-42.5,top,0.0
C17,10nF,C_0603_1608Metric,49.5,-38.0,top,0.0
C18,1uF,C_0603_1608Metric,61.6,-32.7,top,0.0
C19,1uF,C_0603_1608Metric,62.0,-38.0,top,0.0
C2,C2982822,CP_Elec_6.3x7.7,47.5,-80.5,top,0.0
C20,1uF,C_0603_1608Metric,79.5,-64.0,top,0.0
C21,100nF,C_0603_1608Metric,74.65,-69.6,top,90.0
C22,100nF,C_0603_1608Metric,57.7,-69.3,top,0.0
C23,1nF,C_0603_1608Metric,80.6,-70.2,top,0.0
C24,1nF,C_0603_1608Metric,59.7,-66.7,top,0.0
C25,1uF,C_0603_1608Metric,62.5,-71.5,top,0.0
C26,C46550465,CP_Elec_6.3x7.7,45.0,-90.0,top,0.0
C27,100nF,C_0603_1608Metric,47.5,-94.7,top,0.0
C28,10uF,C_1210_3225Metric,92.6,-103.5,top,0.0
C29,10uF,C_1210_3225Metric,98.2,-106.9,top,0.0
C3,10uF,C_1210_3225Metric,90.0,-62.0,top,0.0
C30,2.2uF,C_0603_1608Metric,74.0,-60.0,top,0.0
C31,2.2uF,C_0603_1608Metric,74.0,-58.0,top,0.0
C32,1uF,C_0603_1608Metric,97.5,-84.0,top,0.0
C33,100nF,C_0603_1608Metric,97.0,-29.5,top,0.0
C34,100nF,C_0603_1608Metric,97.0,-47.5,top,0.0
C35,100nF,C_0603_1608Metric,97.0,-65.5,top,0.0
C36,22uF,C_0805_2012Metric,104.5,-31.0,top,0.0
C37,22uF,C_0805_2012Metric,104.5,-49.0,top,0.0
C38,22uF,C_0805_2012Metric,104.5,-67.0,top,0.0
C39,100nF,C_0603_1608Metric,104.0,-33.4,top,0.0
C4,100nF,C_0603_1608Metric,90.0,-65.0,top,0.0
C40,100nF,C_0603_1608Metric,104.0,-51.4,top,0.0
C41,100nF,C_0603_1608Metric,104.0,-69.4,top,0.0
C42,100nF,C_0603_1608Metric,93.7,-46.3,top,0.0
C43,100nF,C_0603_1608Metric,93.7,-65.3,top,0.0
C5,10uF,C_1210_3225Metric,56.1,-26.7,top,0.0
C6,10uF,C_1210_3225Metric,59.5,-23.0,top,0.0
C7,10uF,C_1210_3225Metric,62.5,-26.7,top,0.0
C8,10uF,C_1210_3225Metric,75.1,-23.3,top,0.0
C9,100nF,C_0603_1608Metric,69.5,-24.2,top,0.0
D1,C83846,D_SMB,36.6,-85.2,top,0.0
D2,C14996,D_SMA,92.0,-84.0,top,0.0
D3,C148222,D_SMA,100.5,-103.2,top,0.0
D4,C2128,D_SOD-323,62.0,-34.7,top,0.0
D5,C173429,D_SOD-123,51.8,-67.5,top,0.0
D6,C148230,D_SMA,76.8,-79.5,top,0.0
D7,C148230,D_SMA,58.5,-79.5,top,0.0
D8,C5246195,D_SOD-523,116.8,-100.5,top,0.0
D9,C5246195,D_SOD-523,116.8,-98.0,top,0.0
J1,C98732,XT60PW-M_EdgeTrim,28.0,-56.0,top,90.0
J2,C503996,KH-AF90DIP-112_Horizontal,118.2,-38.5,top,90.0
J3,C503996,KH-AF90DIP-112_Horizontal,118.2,-56.5,top,90.0
J4,C503996,KH-AF90DIP-112_Horizontal,118.2,-74.5,top,90.0
J5,C5337088,TYPE-C-31-M-12_EdgeTrim,114.0,-107.0,top,0.0
L1,C5240401,L_Sunlord_MWSA1707S,67.0,-97.0,top,180.0
L2,C408523,L_Sunlord_MWSA1206S-6R8,84.0,-32.0,top,0.0
Q1,C2760089,PowerPAK_SO-8_Single,39.0,-80.0,top,180.0
Q10,C8545,SOT-23,109.8,-91.7,top,0.0
Q11,C15127,SOT-23,106.5,-99.5,top,180.0
Q12,C8545,SOT-23,102.2,-94.5,top,0.0
Q2,C404363,PowerPAK_SO-8_Single,72.0,-28.0,top,180.0
Q3,C404363,PowerPAK_SO-8_Single,72.0,-36.0,top,0.0
Q4,C404363,PowerPAK_SO-8_Single,79.5,-74.0,top,0.0
Q5,C404363,PowerPAK_SO-8_Single,68.6,-84.0,top,0.0
Q6,C404363,PowerPAK_SO-8_Single,55.5,-74.0,top,180.0
Q7,C404363,PowerPAK_SO-8_Single,60.5,-84.0,top,180.0
Q8,C404363,PowerPAK_SO-8_Single,53.0,-96.0,top,90.0
Q9,C15127,SOT-23,109.8,-95.4,top,0.0
R1,12.4kΩ,R_0603_1608Metric,51.5,-33.3,top,0.0
R10,36.5kΩ,R_0603_1608Metric,97.0,-37.0,top,0.0
R11,36.5kΩ,R_0603_1608Metric,97.0,-55.0,top,0.0
R12,36.5kΩ,R_0603_1608Metric,97.5,-73.9,top,0.0
R13,100kΩ,R_0603_1608Metric,40.5,-76.0,top,0.0
R14,10Ω,R_0603_1608Metric,76.0,-63.0,top,0.0
R15,10Ω,R_0603_1608Metric,80.9,-68.2,top,0.0
R16,2Ω,R_0603_1608Metric,77.2,-70.0,top,0.0
R17,2Ω,R_0603_1608Metric,60.9,-69.6,top,0.0
R18,10Ω,R_0603_1608Metric,66.25,-69.7,top,-90.0
R19,10Ω,R_0603_1608Metric,63.0,-66.6,top,-90.0
R2,3.74kΩ,R_0603_1608Metric,49.0,-40.0,top,0.0
R20,10Ω,R_0603_1608Metric,47.0,-99.0,top,0.0
R21,10kΩ,R_0603_1608Metric,95.5,-70.0,top,0.0
R22,10kΩ,R_0603_1608Metric,95.5,-72.0,top,0.0
R23,10kΩ,R_0603_1608Metric,106.0,-96.0,top,0.0
R24,10kΩ,R_0603_1608Metric,106.0,-93.0,top,0.0
R26,10kΩ,R_0603_1608Metric,102.5,-99.8,top,0.0
R27,10kΩ,R_0603_1608Metric,101.5,-97.5,top,0.0
R3,1.21kΩ,R_0603_1608Metric,49.0,-42.2,top,0.0
R4,18kΩ,R_0603_1608Metric,49.3,-46.4,top,0.0
R5,49.9kΩ,R_0603_1608Metric,47.5,-44.4,top,0.0
R6,6.98kΩ,R_0603_1608Metric,44.2,-44.4,top,0.0
R7,0Ω,R_0603_1608Metric,63.0,-41.0,top,0.0
R8,0Ω,R_0603_1608Metric,63.0,-42.8,top,0.0
R9,100kΩ,R_0603_1608Metric,51.5,-44.4,top,0.0
RS1,10mΩ,R_2512_6332Metric,68.0,-43.0,top,-90.0
RS2,5mΩ,R_2512_6332Metric,86.0,-68.0,top,-90.0
RS3,5mΩ,R_2512_6332Metric,52.5,-88.0,top,-90.0
