Comment,Designator,Footprint,MPN,LCSC
100R shield bond,R7,R_0603_1608Metric,,C22775
100n,"C2,C3,C5,C7",C_0603_1608Metric,,C14663
10u,"C1,C4,C6",C_0805_2012Metric,,C15850
20k 1% AVDD-VFB,R1,R_0603_1608Metric,,C4184
8.2k 1% VFB-GND,R2,R_0603_1608Metric,,C25981
FULL BRIDGE ALT / TO HUB J6,"J5,J6",JST_XH_B5B-XH-A_1x05_P2.50mm_Vertical,B5B-XH-A(LF)(SN),C157991
HX711,U1,SOIC-16_3.9x9.9mm_P1.27mm,,C43656
PESD5V0S1BA,"D1,D2",D_SOD-323,PESD5V0S1BA,C5158048
RATE 1-2=10SPS 2-3=80,JP1,PinHeader_1x03_P2.54mm_Vertical,,
S8550,Q1,SOT-23,SS8550,C8542
SENSOR,"J1,J2,J3,J4",JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical,,C144394
