Designator,Val,Package,Mid X,Mid Y,Layer,Rotation
C10,4u7 VIN,C_0402_1005Metric,46.8,-103.3,top,0.0
C101,100n VDD,C_0402_1005Metric,119.0,-100.0,top,0.0
C102,100n VDD,C_0402_1005Metric,118.788,-102.534,top,0.0
C103,100n VDD,C_0402_1005Metric,118.156,-105.011,top,0.0
C104,100n VDD,C_0402_1005Metric,117.118,-107.376,top,0.0
C105,100n VDD,C_0402_1005Metric,115.699,-109.576,top,0.0
C106,100n VDD,C_0402_1005Metric,113.928,-111.563,top,0.0
C107,100n VDD,C_0402_1005Metric,111.846,-113.291,top,0.0
C108,100n VDD,C_0402_1005Metric,109.5,-114.722,top,0.0
C109,100n VDD,C_0402_1005Metric,106.941,-115.825,top,0.0
C11,10u 3V3,C_0402_1005Metric,45.2,-100.7,top,0.0
C110,100n VDD,C_0402_1005Metric,104.228,-116.574,top,0.0
C111,100n VDD,C_0402_1005Metric,101.0,-115.5,top,0.0
C112,100n VDD,C_0402_1005Metric,98.58,-116.952,top,0.0
C12,100p FF,C_0402_1005Metric,44.6,-103.4,top,0.0
C121,10u VDD,C_0402_1005Metric,81.212,-102.534,top,0.0
C122,10u VDD,C_0402_1005Metric,81.0,-100.0,top,0.0
C123,1u PLL,C_0402_1005Metric,106.8,-89.3,top,0.0
C13,4u7 VIN,C_0402_1005Metric,52.5,-128.0,top,0.0
C130,100n 3V3,C_0402_1005Metric,93.059,-84.175,top,0.0
C131,100n 3V3,C_0402_1005Metric,95.772,-83.426,top,0.0
C132,100n 3V3,C_0402_1005Metric,98.58,-83.048,top,0.0
C133,100n 3V3,C_0402_1005Metric,101.42,-83.048,top,0.0
C134,100n 3V3,C_0402_1005Metric,104.228,-83.426,top,0.0
C135,100n 3V3,C_0402_1005Metric,106.941,-84.175,top,0.0
C136,10u 3V3,C_0402_1005Metric,109.5,-85.278,top,0.0
C137,10u 3V3,C_0402_1005Metric,111.846,-86.709,top,0.0
C138,100n 1V8,C_0402_1005Metric,113.928,-88.437,top,0.0
C139,100n 1V8,C_0402_1005Metric,115.699,-90.424,top,0.0
C14,22u 0V9,C_0402_1005Metric,51.2,-130.2,top,0.0
C140,10u 1V8,C_0402_1005Metric,117.118,-92.624,top,0.0
C141,100n USB33,C_0402_1005Metric,118.156,-94.989,top,0.0
C142,100n USB18,C_0402_1005Metric,118.788,-97.466,top,0.0
C15,560p FF,C_0402_1005Metric,48.8,-130.2,top,0.0
C16,1u VIN,C_0402_1005Metric,68.8,-123.3,top,0.0
C17,1u 1V8,C_0402_1005Metric,68.0,-122.0,top,0.0
C18,4u7 VIN,C_0402_1005Metric,92.8,-51.3,top,0.0
C19,10u 3V3A,C_0402_1005Metric,91.2,-48.7,top,0.0
C20,100n 3V3A,C_0402_1005Metric,90.6,-51.4,top,0.0
C210,1u cpl P1,C_0402_1005Metric,68.6,-57.4,top,0.0
C211,1u cpl N1,C_0402_1005Metric,68.2,-54.7,top,0.0
C212,1n diff 1,C_0402_1005Metric,70.4,-54.6,top,0.0
C220,1u cpl P2,C_0402_1005Metric,71.2,-56.7,top,0.0
C221,1u cpl N2,C_0402_1005Metric,73.4,-56.6,top,0.0
C222,1n diff 2,C_0402_1005Metric,72.8,-55.1,top,0.0
C230,1u cpl P3,C_0402_1005Metric,75.9,-56.6,top,0.0
C231,1u cpl N3,C_0402_1005Metric,79.5,-60.0,top,0.0
C232,1n diff 3,C_0402_1005Metric,78.2,-56.8,top,0.0
C240,1u cpl P4,C_0402_1005Metric,79.4,-63.4,top,0.0
