Comment,Designator,Footprint,MPN,LCSC
100kΩ,R3,R_0603_1608Metric,0603WAF1003T5E,C25803
100nF,"C10,C7",C_0603_1608Metric,CC0603KRX7R9BB104,C14663
100uF,C1,C_1210_3225Metric,CL32A107MQVNNNE,C49066
100Ω,"R1,R10,R11",R_0603_1608Metric,0603WAF1000T5E,C22775
10kΩ,"R6,R8,R9",R_0603_1608Metric,0603WAF1002T5E,C25804
10uF,"C3,C4,C5,C6,C8,C9",C_0805_2012Metric,CL21A106KAYNNNE,C15850
1uF,C2,C_0603_1608Metric,CL10A105KB8NNNC,C15849
20kΩ,R7,R_0603_1608Metric,0603WAF2002T5E,C4184
22kΩ,"R4,R5",R_0603_1608Metric,0603WAF2202T5E,C31850
3.9kΩ,R2,R_0603_1608Metric,0603WAF3901T5E,C23018
CMT-8504-100-SMT-TR,LS1,CMT-8504-100-SMT-TR,CMT-8504-100-SMT-TR,C22359707
OPA1678IDR,U1,SOIC-8_3.9x4.9mm_P1.27mm,OPA1678IDR,C192421
SMAJ6.0A,D3,D_SMA,SMAJ6.0A,C559105
SS14,D2,D_SMA,SS14,C2480
TPD2E2U06DRLR,D1,SOT-553,TPD2E2U06DRLR,C1972959
