Designator,Val,Package,Mid X,Mid Y,Layer,Rotation
CL1,12pF,C_0402_1005Metric,70.5,-117.0,top,0.0
CL2,12pF,C_0402_1005Metric,69.5,-111.0,top,0.0
C_5V1,22uF,C_0805_2012Metric,40.6,-105.4,top,0.0
C_5V2,100nF,C_0402_1005Metric,38.5,-99.4,top,0.0
C_5V3,100nF,C_0402_1005Metric,41.5,-99.4,top,0.0
C_BEEP,47uF,C_1206_3216Metric,171.4,-49.4,top,0.0
C_VINR,100nF,C_0402_1005Metric,43.5,-102.0,top,0.0
C_avdd2a,10uF,C_0805_2012Metric,68.0,-62.0,top,0.0
C_avdd2b,100nF,C_0402_1005Metric,67.2,-63.9,top,0.0
C_avdd3a,10uF,C_0805_2012Metric,134.0,-62.0,top,0.0
C_avdd3b,100nF,C_0402_1005Metric,133.2,-63.9,top,0.0
C_b0v9,10uF,C_0805_2012Metric,91.85,-116.05,top,0.0
C_b1v8,10uF,C_0805_2012Metric,88.2,-91.7,top,0.0
C_b3v3,10uF,C_0805_2012Metric,101.0,-102.0,top,0.0
C_bg,4.7nF,C_0402_1005Metric,170.5,-43.4,top,0.0
C_c1,100nF,C_0402_1005Metric,88.3,-111.8,top,0.0
C_c10,100nF,C_0402_1005Metric,79.6,-95.5,top,270.0
C_c11,100nF,C_0402_1005Metric,90.5,-112.15,top,270.0
C_c12,100nF,C_0402_1005Metric,100.49,-97.18,top,0.0
C_c13,100nF,C_0402_1005Metric,92.4,-112.15,top,270.0
C_c2,100nF,C_0402_1005Metric,80.0,-102.0,top,0.0
C_c3,100nF,C_0402_1005Metric,91.7,-92.2,top,0.0
C_c4,100nF,C_0402_1005Metric,100.3,-105.8,top,0.0
C_c5,100nF,C_0402_1005Metric,79.7,-105.8,top,0.0
C_c6,100nF,C_0402_1005Metric,79.7,-98.2,top,0.0
C_c7,100nF,C_0402_1005Metric,100.3,-98.2,top,0.0
C_c8,100nF,C_0402_1005Metric,95.8,-112.0,top,0.0
C_c9,100nF,C_0402_1005Metric,80.34,-100.4,top,180.0
C_d1,100nF,C_0402_1005Metric,88.0,-113.3,top,0.0
C_d2,100nF,C_0402_1005Metric,84.2,-112.0,top,0.0
C_d3,100nF,C_0402_1005Metric,84.2,-92.0,top,0.0
C_d4,100nF,C_0402_1005Metric,92.0,-90.7,top,0.0
C_d5,100nF,C_0402_1005Metric,95.8,-92.0,top,0.0
C_d6,100nF,C_0402_1005Metric,92.2,-114.3,top,0.0
C_dvdd2,100nF,C_0402_1005Metric,63.0,-67.4,top,0.0
C_dvdd3,100nF,C_0402_1005Metric,129.0,-67.4,top,0.0
C_e1,100nF,C_0402_1005Metric,77.5,-102.0,top,0.0
C_e2,100nF,C_0402_1005Metric,87.8,-89.7,top,0.0
C_flash,100nF,C_0402_1005Metric,112.7,-117.9,top,0.0
C_iovdd2,100nF,C_0402_1005Metric,56.8,-63.9,top,0.0
C_iovdd3,100nF,C_0402_1005Metric,122.8,-63.9,top,0.0
C_ldo2,1uF,C_0402_1005Metric,56.5,-62.0,top,0.0
C_ldo3,1uF,C_0402_1005Metric,122.5,-62.0,top,0.0
C_micb2,1uF,C_0402_1005Metric,56.8,-60.1,top,0.0
C_micb3,1uF,C_0402_1005Metric,122.8,-60.1,top,0.0
C_pll1,1uF,C_0402_1005Metric,100.0,-110.4,top,0.0
C_pll2,100nF,C_0402_1005Metric,87.7,-114.8,top,0.0
