Comment,Designator,Footprint,LCSC,qty,status,code,type,stock,mpn,pkg,price
100kΩ,"R_bg2,R_pg",R_0402_1005Metric,C25741,2,OK,C25741,base,281738,0402WGF1003TCE,0402,0.0036
100nF,"C_5V2,C_5V3,C_VINR,C_avdd2b,C_avdd3b,C_c1,C_c10,C_c11,C_c12,C_c13,C_c2,C_c3,C_c4,C_c5,C_c6,C_c7,C_c8,C_c9,C_d1,C_d2,C_d3,C_d4,C_d5,C_d6,C_dvdd2,C_dvdd3,C_e1,C_e2,C_flash,C_iovdd2,C_iovdd3,C_pll2,C_rst,C_sht,C_u18b,C_u33b,C_u4,C_vref2b,C_vref3b,Cinh_U7,Cinh_U8,Couth_U10,Couth_U7,Couth_U8",C_0402_1005Metric,C1525,44,OK,C1525,base,47640996,CL05B104KO5NNNC,0402,0.0053
100Ω,"Rs1M,Rs1P,Rs2M,Rs2P,Rs3M,Rs3P,Rs4M,Rs4P,Rs5M,Rs5P,Rs6M,Rs6P,Rs7M,Rs7P,Rs8M,Rs8P",R_0402_1005Metric,C25076,16,OK,C25076,base,986188,0402WGF1000TCE,0402,0.0018
10kΩ,"RG1,R_cs,R_rst",R_0402_1005Metric,C60490,3,OK,C60490,expand,8344644,RC0402FR-0710KL,0402,0.0058
10uF,"C_avdd2a,C_avdd3a,C_b0v9,C_b1v8,C_b3v3,C_vref2a,C_vref3a,Cin_U7,Cin_U8",C_0805_2012Metric,C15850,9,OK,C15850,base,11078998,CL21A106KAYNNNE,0805,0.119
12pF,"CL1,CL2",C_0402_1005Metric,C1547,2,OK,C1547,base,2596543,0402CG120J500NT,0402,0.0136
1MΩ,Rf,R_0402_1005Metric,C26083,1,OK,C26083,base,912406,0402WGF1004TCE,0402,0.0069
1kΩ,"R_bg1,R_inj1,R_inj2",R_0402_1005Metric,C11702,3,OK,C11702,base,1398633,0402WGF1001TCE,0402,0.008
1nF,"Cd1,Cd2,Cd3,Cd4,Cd5,Cd6,Cd7,Cd8",C_0402_1005Metric,C1523,8,OK,C1523,base,5817729,0402B102K500NT,0402,0.0119
1uF,"C_ldo2,C_ldo3,C_micb2,C_micb3,C_pll1,C_u18a,C_u33a,Cin_U10,Cin_U9,Cout_U9",C_0402_1005Metric,C52923,10,OK,C52923,base,14404868,CL05A105KA5NQNC,0402,0.0265
2.2uF,"C_vb,Cc1M,Cc1P,Cc2M,Cc2P,Cc3M,Cc3P,Cc4M,Cc4P,Cc5M,Cc5P,Cc6M,Cc6P,Cc7M,Cc7P,Cc8M,Cc8P",C_0805_2012Metric,C377773,17,OK,C377773,base,970820,CL21A225KBQNNNE,0805,0.1129
2.2uF,Cout_U10,C_0402_1005Metric,C72203,1,OK,C72203,expand,21137,GRM155R61E225ME15D,0402,0.0474
200kΩ,"R_fb1a,R_fb2a",R_0402_1005Metric,C25764,2,OK,C25764,base,1800730,0402WGF2003TCE,0402,0.0018
220kΩ,R_vb1,R_0402_1005Metric,C25767,1,OK,C25767,expand,1991,0402WGF2203TCE,0402,0.0013
22uF,"C_5V1,Cout_U7,Cout_U8",C_0805_2012Metric,C45783,3,OK,C45783,base,3928385,CL21A226MAQNNNE,0805,0.5568
330kΩ,R_vb2,R_0402_1005Metric,C25778,1,OK,C25778,expand,93065,0402WGF3303TCE,0402,0.0016
33Ω,"R_bck,R_lrck,R_mck1,R_mck2",R_0402_1005Metric,C25105,4,OK,C25105,base,282294,0402WGF330JTCE,0402,0.0067
4.7kΩ,"R_scl,R_sda",R_0402_1005Metric,C105871,2,OK,C105871,expand,3922199,RC0402FR-074K7L,0402,0.0047
4.7nF,C_bg,C_0402_1005Metric,C1538,1,OK,C1538,base,800146,0402B472K500NT,0402,0.0116
402kΩ,R_fb2b,R_0402_1005Metric,C25785,1,OK,C25785,expand,53932,0402WGF4023TCE,0402,0.0018
44.2kΩ,R_fb1b,R_0402_1005Metric,C25895,1,OK,C25895,expand,106659,0402WGF4422TCE,0402,0.0037
47kΩ,R_vbld,R_0402_1005Metric,C25792,1,OK,C25792,base,1584018,0402WGF4702TCE,0402,0.0065
47uF,C_BEEP,C_1206_3216Metric,C96123,1,OK,C96123,base,808854,CL31A476MPHNNNE,1206,0.3855
5.1kΩ,"R_cc1,R_cc2",R_0402_1005Metric,C25905,2,OK,C25905,base,2078411,0402WGF5101TCE,0402,0.0067
680Ω,Rd,R_0402_1005Metric,C25130,1,OK,C25130,expand,13967,0402WGF6800TCE,0402,0.0099
C136345,F_IN,Fuse_1206_3216Metric,C136345,1,OK,C136345,expand,9265,JFC1206-1200FS,1206,0.0603
C15127,Q1,SOT-23,C15127,1,OK,C15127,base,569828,AO3401A,SOT-23,0.099
C181312,"U2,U3",TSSOP-30_4.4x7.8mm_P0.5mm,C181312,2,OK,C181312,expand,1654,PCM1865DBTR,TSSOP-30,7.454
