Comment,Designator,Footprint,LCSC,qty,status,code,type,stock,mpn,pkg,price
100k FET gate,R90,R_0402_1005Metric,C25741,1,OK,C25741,base,94116,0402WGF1003TCE,0402,0.0065
100k GP0_A,R60,R_0402_1005Metric,C25741,1,OK,C25741,base,94116,0402WGF1003TCE,0402,0.0065
100k GP0_B,R64,R_0402_1005Metric,C25741,1,OK,C25741,base,94116,0402WGF1003TCE,0402,0.0065
100k GP1_A,R61,R_0402_1005Metric,C25741,1,OK,C25741,base,94116,0402WGF1003TCE,0402,0.0065
100k GP1_B,R65,R_0402_1005Metric,C25741,1,OK,C25741,base,94116,0402WGF1003TCE,0402,0.0065
100k GP2_A,R62,R_0402_1005Metric,C25741,1,OK,C25741,base,94116,0402WGF1003TCE,0402,0.0065
100k GP2_B,R66,R_0402_1005Metric,C25741,1,OK,C25741,base,94116,0402WGF1003TCE,0402,0.0065
100k GP3_A,R63,R_0402_1005Metric,C25741,1,OK,C25741,base,94116,0402WGF1003TCE,0402,0.0065
100k GP3_B,R67,R_0402_1005Metric,C25741,1,OK,C25741,base,94116,0402WGF1003TCE,0402,0.0065
100k pd 1,R111,R_0402_1005Metric,C25741,1,OK,C25741,base,94116,0402WGF1003TCE,0402,0.0065
100k pd 2,R112,R_0402_1005Metric,C25741,1,OK,C25741,base,94116,0402WGF1003TCE,0402,0.0065
100k pd 3,R113,R_0402_1005Metric,C25741,1,OK,C25741,base,94116,0402WGF1003TCE,0402,0.0065
100k pd 4,R114,R_0402_1005Metric,C25741,1,OK,C25741,base,94116,0402WGF1003TCE,0402,0.0065
100k pd 5,R115,R_0402_1005Metric,C25741,1,OK,C25741,base,94116,0402WGF1003TCE,0402,0.0065
100k pd 6,R116,R_0402_1005Metric,C25741,1,OK,C25741,base,94116,0402WGF1003TCE,0402,0.0065
100k pd 7,R117,R_0402_1005Metric,C25741,1,OK,C25741,base,94116,0402WGF1003TCE,0402,0.0065
100k pd 8,R118,R_0402_1005Metric,C25741,1,OK,C25741,base,94116,0402WGF1003TCE,0402,0.0065
100n 1V8,"C138,C139",C_0402_1005Metric,C1525,2,OK,C1525,base,47723034,CL05B104KO5NNNC,0402,0.0053
100n 3V3,"C130,C131,C132,C133,C134,C135",C_0402_1005Metric,C1525,6,OK,C1525,base,47723034,CL05B104KO5NNNC,0402,0.0053
100n 3V3A,C20,C_0402_1005Metric,C1525,1,OK,C1525,base,47723034,CL05B104KO5NNNC,0402,0.0053
100n AVDD_A,C51,C_0402_1005Metric,C1525,1,OK,C1525,base,47723034,CL05B104KO5NNNC,0402,0.0053
100n AVDD_B,C61,C_0402_1005Metric,C1525,1,OK,C1525,base,47723034,CL05B104KO5NNNC,0402,0.0053
100n DVDD_A,C53,C_0402_1005Metric,C1525,1,OK,C1525,base,47723034,CL05B104KO5NNNC,0402,0.0053
100n DVDD_B,C63,C_0402_1005Metric,C1525,1,OK,C1525,base,47723034,CL05B104KO5NNNC,0402,0.0053
100n IOV_A,C57,C_0402_1005Metric,C1525,1,OK,C1525,base,47723034,CL05B104KO5NNNC,0402,0.0053
100n IOV_B,C67,C_0402_1005Metric,C1525,1,OK,C1525,base,47723034,CL05B104KO5NNNC,0402,0.0053
100n LDO_A,C56,C_0402_1005Metric,C1525,1,OK,C1525,base,47723034,CL05B104KO5NNNC,0402,0.0053
100n LDO_B,C66,C_0402_1005Metric,C1525,1,OK,C1525,base,47723034,CL05B104KO5NNNC,0402,0.0053
100n SHT,C41,C_0402_1005Metric,C1525,1,OK,C1525,base,47723034,CL05B104KO5NNNC,0402,0.0053
100n USB18,C142,C_0402_1005Metric,C1525,1,OK,C1525,base,47723034,CL05B104KO5NNNC,0402,0.0053
100n USB33,C141,C_0402_1005Metric,C1525,1,OK,C1525,base,47723034,CL05B104KO5NNNC,0402,0.0053
100n VDD,"C101,C102,C103,C104,C105,C106,C107,C108,C109,C110,C111,C112",C_0402_1005Metric,C1525,12,OK,C1525,base,47723034,CL05B104KO5NNNC,0402,0.0053
100n buf,C35,C_0402_1005Metric,C1525,1,OK,C1525,base,47723034,CL05B104KO5NNNC,0402,0.0053
100n flash,C30,C_0402_1005Metric,C1525,1,OK,C1525,base,47723034,CL05B104KO5NNNC,0402,0.0053
100p FF,C12,C_0402_1005Metric,C1546,1,OK,C1546,base,6644084,0402CG101J500NT,0402,0.0096
100u 5V bulk,C90,CP_Elec_4x5.4,C48970904,1,OK,C48970904,expand,1740,RYVP6.3V100UF4*5,"SMD,D4xL5.4mm",0.3292
10k CS pu,R30,R_0402_1005Metric,C25744,1,LOW_STOCK(0),C25744,base,0,0402WGF1002TCE,0402,0.0076
10k FB2 hi,R13,R_0402_1005Metric,C25744,1,LOW_STOCK(0),C25744,base,0,0402WGF1002TCE,0402,0.0076
10k PG1 pu,R12,R_0402_1005Metric,C25744,1,LOW_STOCK(0),C25744,base,0,0402WGF1002TCE,0402,0.0076
10k PG2 pu,R15,R_0402_1005Metric,C25744,1,LOW_STOCK(0),C25744,base,0,0402WGF1002TCE,0402,0.0076
10k RST pu,R50,R_0402_1005Metric,C25744,1,LOW_STOCK(0),C25744,base,0,0402WGF1002TCE,0402,0.0076
10n RST,C40,C_0402_1005Metric,C15195,1,OK,C15195,base,6768295,CL05B103KB5NNNC,0402,0.0064
10u 1V8,C140,C_0402_1005Metric,C15525,1,OK,C15525,base,7546308,CL05A106MQ5NUNC,0402,0.0409
10u 3V3,"C11,C136,C137",C_0402_1005Metric,C15525,3,OK,C15525,base,7546308,CL05A106MQ5NUNC,0402,0.0409
10u 3V3A,C19,C_0402_1005Metric,C15525,1,OK,C15525,base,7546308,CL05A106MQ5NUNC,0402,0.0409
10u VDD,"C121,C122",C_0402_1005Metric,C15525,2,OK,C15525,base,7546308,CL05A106MQ5NUNC,0402,0.0409
15k FB1 lo,R11,R_0402_1005Metric,C25756,1,OK,C25756,base,1491586,0402WGF1502TCE,0402,0.0058
18p CL1,C25,C_0402_1005Metric,C1549,1,OK,C1549,base,1646196,0402CG180J500NT,0402,0.0079
18p CL2,C26,C_0402_1005Metric,C1549,1,OK,C1549,base,1646196,0402CG180J500NT,0402,0.0079
1M Rf,R21,R_0402_1005Metric,C26083,1,OK,C26083,base,1003414,0402WGF1004TCE,0402,0.0069
1k gate 1,R101,R_0402_1005Metric,C11702,1,OK,C11702,base,402664,0402WGF1001TCE,0402,0.008
1k gate 2,R102,R_0402_1005Metric,C11702,1,OK,C11702,base,402664,0402WGF1001TCE,0402,0.008
1k gate 3,R103,R_0402_1005Metric,C11702,1,OK,C11702,base,402664,0402WGF1001TCE,0402,0.008
1k gate 4,R104,R_0402_1005Metric,C11702,1,OK,C11702,base,402664,0402WGF1001TCE,0402,0.008
1k gate 5,R105,R_0402_1005Metric,C11702,1,OK,C11702,base,402664,0402WGF1001TCE,0402,0.008
1k gate 6,R106,R_0402_1005Metric,C11702,1,OK,C11702,base,402664,0402WGF1001TCE,0402,0.008
1k gate 7,R107,R_0402_1005Metric,C11702,1,OK,C11702,base,402664,0402WGF1001TCE,0402,0.008
1k gate 8,R108,R_0402_1005Metric,C11702,1,OK,C11702,base,402664,0402WGF1001TCE,0402,0.008
1k inj ch4,R80,R_0402_1005Metric,C11702,1,OK,C11702,base,402664,0402WGF1001TCE,0402,0.008
1k inj ch8,R81,R_0402_1005Metric,C11702,1,OK,C11702,base,402664,0402WGF1001TCE,0402,0.008
1n diff 1,C212,C_0402_1005Metric,C1523,1,OK,C1523,base,3440628,0402B102K500NT,0402,0.0186
1n diff 2,C222,C_0402_1005Metric,C1523,1,OK,C1523,base,3440628,0402B102K500NT,0402,0.0186
1n diff 3,C232,C_0402_1005Metric,C1523,1,OK,C1523,base,3440628,0402B102K500NT,0402,0.0186
1n diff 4,C242,C_0402_1005Metric,C1523,1,OK,C1523,base,3440628,0402B102K500NT,0402,0.0186
1n diff 5,C252,C_0402_1005Metric,C1523,1,OK,C1523,base,3440628,0402B102K500NT,0402,0.0186
1n diff 6,C262,C_0402_1005Metric,C1523,1,OK,C1523,base,3440628,0402B102K500NT,0402,0.0186
1n diff 7,C272,C_0402_1005Metric,C1523,1,OK,C1523,base,3440628,0402B102K500NT,0402,0.0186
1n diff 8,C282,C_0402_1005Metric,C1523,1,OK,C1523,base,3440628,0402B102K500NT,0402,0.0186
1u 1V8,C17,C_0402_1005Metric,C52923,1,OK,C52923,base,13972990,CL05A105KA5NQNC,0402,0.0265
1u PLL,C123,C_0402_1005Metric,C52923,1,OK,C52923,base,13972990,CL05A105KA5NQNC,0402,0.0265
1u VBUS,C31,C_0402_1005Metric,C52923,1,OK,C52923,base,13972990,CL05A105KA5NQNC,0402,0.0265
1u VIN,C16,C_0402_1005Metric,C52923,1,OK,C52923,base,13972990,CL05A105KA5NQNC,0402,0.0265
