LCSC,Ref,Status,Detail
C22775,R13,OK,fit=0.08mm jlc_offset=0 db=0.0
C22775,R14,OK,fit=0.08mm jlc_offset=0 db=0.0
C22775,R9,OK,fit=0.08mm jlc_offset=0 db=0.0
C25803,R10,OK,fit=0.08mm jlc_offset=0 db=0.0
C14663,C13,OK,fit=0.07mm jlc_offset=0 db=0.0
C14663,C16,OK,fit=0.08mm jlc_offset=0 db=0.0
C14663,C18,OK,fit=0.08mm jlc_offset=0 db=0.0
C98220,R16,OK,fit=0.08mm jlc_offset=0 db=0.0
C19702,C1,OK,fit=0.08mm jlc_offset=0 db=0.0
C19702,C12,OK,fit=0.07mm jlc_offset=0 db=0.0
C19702,C15,OK,fit=0.08mm jlc_offset=0 db=0.0
C19702,C17,OK,fit=0.08mm jlc_offset=0 db=0.0
C19702,C2,OK,fit=0.08mm jlc_offset=0 db=0.0
C19702,C20,OK,fit=0.08mm jlc_offset=0 db=0.0
C9002,Y1,OK,fit=0.00mm jlc_offset=0 db=0.0
C22935,R6,OK,fit=0.08mm jlc_offset=0 db=0.0
C21190,R12,OK,fit=0.08mm jlc_offset=0 db=0.0
C21190,R17,OK,fit=0.08mm jlc_offset=0 db=0.0
C22843,R3,OK,fit=0.08mm jlc_offset=0 db=0.0
C1588,C21,OK,fit=0.08mm jlc_offset=0 db=0.0
C15849,C10,OK,fit=0.08mm jlc_offset=0 db=0.0
C15849,C11,OK,fit=0.08mm jlc_offset=0 db=0.0
C15849,C14,OK,fit=0.07mm jlc_offset=0 db=0.0
C15849,C19,OK,fit=0.08mm jlc_offset=0 db=0.0
C15849,C3,OK,fit=0.08mm jlc_offset=0 db=0.0
C15849,C4,OK,fit=0.08mm jlc_offset=0 db=0.0
C15849,C7,OK,fit=0.08mm jlc_offset=0 db=0.0
C15849,C8,OK,fit=0.08mm jlc_offset=0 db=0.0
C15849,C9,OK,fit=0.08mm jlc_offset=0 db=0.0
C23345,R1,OK,fit=0.08mm jlc_offset=0 db=0.0
C23345,R2,OK,fit=0.08mm jlc_offset=0 db=0.0
C31850,R15,OK,fit=0.08mm jlc_offset=0 db=0.0
C22356360,R7,OK,fit=0.08mm jlc_offset=0 db=0.0
C4190,R18,OK,fit=0.08mm jlc_offset=0 db=0.0
C4190,R8,OK,fit=0.08mm jlc_offset=0 db=0.0
C1663,C5,OK,fit=0.08mm jlc_offset=0 db=0.0
C1663,C6,OK,fit=0.08mm jlc_offset=0 db=0.0
