Comment,Designator,Footprint,LCSC,qty,status,code,type,stock,mpn,pkg,price
100R gate,"R10,R12,R14",R_0805_2012Metric,C17408,3,OK,C17408,base,4810274,0805W8F1000T5E,0805,0.0115
100k gate pd,"R11,R13,R15",R_0805_2012Metric,C149504,3,OK,C149504,base,4175470,0805W8F1003T5E,0805,0.0152
100n,"C10,C12,C5,C6,C7,C8,C9",C_0805_2012Metric,C49678,7,OK,C49678,base,23654561,CC0805KRX7R9BB104,0805,0.0337
100u 5V bulk,C11,CP_Elec_6.3x5.4,C2887276,1,OK,C2887276,expand,622117,RVT100UF16V67RV0016,"SMD,D6.3xL5.4mm",0.032
10k,"R23,R24,R25,R3,R32,R33,R34,R40,R41,R42",R_0805_2012Metric,C17414,10,OK,C17414,base,12700287,0805W8F1002T5E,0805,0.0133
1k,"R20,R21,R22,R4,R43,R44,R45",R_0805_2012Metric,C17513,7,OK,C17513,base,6853259,0805W8F1001T5E,0805,0.0129
1u EN,C1,C_0805_2012Metric,C28323,1,OK,C28323,base,5716610,CL21B105KBFNNNE,0805,0.0866
2.7k div bot,"R26,R27,R28",R_0805_2012Metric,C17530,3,OK,C17530,base,1636992,0805W8F2701T5E,0805,0.0114
22u,"C2,C3,C4",C_0805_2012Metric,C45783,3,OK,C45783,base,2034642,CL21A226MAQNNNE,0805,0.3976
33k hyst,"R29,R30,R31",R_0805_2012Metric,C17633,3,OK,C17633,base,623862,0805W8F3302T5E,0805,0.0043
4.7k,"R50,R51",R_0805_2012Metric,C17673,2,OK,C17673,base,5027968,0805W8F4701T5E,0805,0.0109
5.1k,"R1,R2",R_0805_2012Metric,C27834,2,OK,C27834,base,4467891,0805W8F5101T5E,0805,0.0142
AMS1117-3.3,U2,SOT-223-3_TabPin2,C6186,1,OK,C6186,base,1490778,AMS1117-3.3,SOT-223,0.1984
AO3400A,"Q1,Q2,Q3",SOT-23,C20917,3,OK,C20917,base,1278837,AO3400A,SOT-23,0.0839
ESP32-S3-WROOM-1-N8R2,U1,ESP32-S3-WROOM-1,C2913204,1,OK,C2913204,expand,19576,ESP32-S3-WROOM-1-N8R2,"SMD,25.5x18mm",5.3862
LM339DT,U3,SOIC-14_3.9x8.7mm_P1.27mm,C71036,1,OK,C71036,expand,45813,LM339DT,SOIC-14,0.1404
TS-1187A,"SW1,SW2",SW_Push_1P1T_XKB_TS-1187A,C318884,2,OK,C318884,base,1440399,TS-1187A-B-A-B,"SMD-4P,5.1x5.1mm",0.02
TYPE-C-31-M-12,J1,USB_C_Receptacle_HRO_TYPE-C-31-M-12,C165948,1,OK,C165948,expand,326486,TYPE-C-31-M-12,SMD,0.1841
USBLC6-2SC6,D1,SOT-23-6,C2687116,1,OK,C2687116,expand,90882,USBLC6-2SC6,SOT-23-6,0.0513
green PWR,D2,LED_0805_2012Metric,C2297,1,OK,C2297,base,3229318,KT-0805G,0805,0.0162
