Comment,Designator,Footprint,MPN,LCSC
1.2nF,"CA10,CB10",C_0402_1005Metric,CC0402KRX7R9BB122,C107021
1001-011-01101,"J2,J3,J4",USB_A_CNCTech_1001-011-01101_Horizontal,1001-011-01101,
100kΩ,R4,R_0402_1005Metric,0402WGF1003TCE,C25741
100nF,"C1,C15,C2,C20,C21,C22,CA3,CB3",C_0402_1005Metric,CC0402KRX7R9BB104,C131394
100uF,CE1,CP_Elec_8x10,EEHZA1V101P,C454289
10kΩ,"R19,R20",R_0402_1005Metric,RC0402FR-0710KL,C60490
10uF,"CA51,CA52,CA53,CB51,CB52,CB53",C_1210_3225Metric,GRM32ER71H106KA12L,C77102
13kΩ,"RA5,RB5",R_0402_1005Metric,0402WGF1302TCE,C25754
16.5kΩ,"R34,R5,RA1,RB1",R_0402_1005Metric,AC0402FR-0716K5L,C226807
18pF,"CA4,CB4",C_0402_1005Metric,0402CG180J500NT,C1549
1kΩ,"R22,R23",R_0402_1005Metric,0402WGF1001TCE,C11702
2.2uF,"C16,CA2,CB2",C_0603_1608Metric,CL10A225KO8NNNC,C23630
20kΩ,"R21,R33,RA3,RB3",R_0402_1005Metric,0402WGF2002TCE,C25765
220uF,"CA7,CB7",CP_Elec_6.3x5.9,6SVPC220MV,C128504
22uF,"C30,C31,C32,C33,C34",C_1206_3216Metric,CL31A226KAHNNNE,C12891
24.3kΩ,"R16,R17,R18",R_0402_1005Metric,RC0402FR-0724K3L,C276264
3.74kΩ,"RA4,RB4",R_0402_1005Metric,0402WGF3741TCE,C15172
348Ω,RA2,R_0402_1005Metric,RT0402BRD07348RL,C852731
39pF,"CA9,CB9",C_0402_1005Metric,CC0402JRNPO9BN390,C106223
4.64kΩ,"RA6,RB6",R_0402_1005Metric,0402WGF4641TCE,C60154
432Ω,RB2,R_0402_1005Metric,RC0402FR-07432RL,C137981
47nF,"C3,CA1,CB1",C_0402_1005Metric,0402B473K500NT,C82219
47uF,"CA61,CA62,CA63,CA64,CB61,CB62,CB63,CB64",C_1210_3225Metric,GRM32ER71A476KE15L,C84494
52.3kΩ,R2,R_0402_1005Metric,0402WGF5232TCE,C26982
8.2nF,"CA8,CB8",C_0402_1005Metric,0402B822K500NT,C45186
82.5kΩ,R3,R_0402_1005Metric,RC-02K8252FT,C453769
887kΩ,R1,R_0402_1005Metric,ERJ2RKF8873X,C409935
C113974,"D2,D3",D_SMB,SMBJ5.0A,C113974
C130056,"U4,U5,U6",VSON-8-1EP_3x3mm_P0.65mm_EP1.65x2.4mm,TPS2557DRBR,C130056
C17700181,"LA1,LB1",L_Sunlord_MWSA1005S,MWSA1005S-3R3MT,C17700181
C207061,F1,FuseHolder_ATO_FLR_EdgeTrim,178.6165.0002,C207061
C2297,"D4,D5",LED_0805_2012Metric,KT-0805G,C2297
C3020560,J5,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,USB4105-GF-A,C3020560
C3215600,U1,WSON-12_3x3_P0.5_LM74800DRR,LM74800QDRRRQ1,C3215600
C353386,D1,D_SMB,SMBJ16A,C353386
C485912,"U2,U3",VQFN-20_3.5x4.5_P0.5_LM5145RGY,LM5145RGYR,C485912
C840100,"Q1,Q2,QA1,QA2,QB1,QB2",VSON-8_3.3x3.3mm_P0.65mm_NexFET,CSD18543Q3A,C840100
C98732,J1,XT60PW-M_EdgeTrim,XT60PW-M,C98732
