Comment,Designator,Footprint,MPN,LCSC
1.2nF,"CA10,CB10",C_0402_1005Metric,,C107021
1001-011-01101,"J2,J3,J4",USB_A_CNCTech_1001-011-01101_Horizontal,,
100kΩ,R4,R_0402_1005Metric,,C25741
100nF,"C1,C15,C2,C20,C21,C22,CA3,CB3",C_0402_1005Metric,,C131394
100uF,CE1,CP_Elec_8x10,,C454289
10kΩ,"R19,R20",R_0402_1005Metric,,C60490
10uF,"CA51,CA52,CA53,CB51,CB52,CB53",C_1210_3225Metric,,C77102
13kΩ,"RA5,RB5",R_0402_1005Metric,,C25754
16.5kΩ,"R34,R5,RA1,RB1",R_0402_1005Metric,,C226807
18pF,"CA4,CB4",C_0402_1005Metric,,C1549
1kΩ,"R22,R23",R_0402_1005Metric,,C11702
2.2uF,"C16,CA2,CB2",C_0603_1608Metric,,C23630
20kΩ,"R21,R33,RA3,RB3",R_0402_1005Metric,,C25765
220uF,"CA7,CB7",CP_Elec_6.3x5.9,,C128504
22uF,"C30,C31,C32,C33,C34",C_1206_3216Metric,,C12891
24.3kΩ,"R16,R17,R18",R_0402_1005Metric,,C276264
3.74kΩ,"RA4,RB4",R_0402_1005Metric,,C15172
348Ω,RA2,R_0402_1005Metric,,C852731
39pF,"CA9,CB9",C_0402_1005Metric,,C106223
4.64kΩ,"RA6,RB6",R_0402_1005Metric,,C60154
432Ω,RB2,R_0402_1005Metric,,C137981
47nF,"C3,CA1,CB1",C_0402_1005Metric,,C82219
47uF,"CA61,CA62,CA63,CA64,CB61,CB62,CB63,CB64",C_1210_3225Metric,,C84494
52.3kΩ,R2,R_0402_1005Metric,,C26982
8.2nF,"CA8,CB8",C_0402_1005Metric,,C45186
82.5kΩ,R3,R_0402_1005Metric,,C453769
887kΩ,R1,R_0402_1005Metric,,C409935
C113974,"D2,D3",D_SMB,,C113974
C130056,"U4,U5,U6",VSON-8-1EP_3x3mm_P0.65mm_EP1.65x2.4mm,,C130056
C17700181,"LA1,LB1",L_Sunlord_MWSA1005S,,C17700181
C207061,F1,FuseHolder_ATO_FLR_EdgeTrim,,C207061
C2297,"D4,D5",LED_0805_2012Metric,,C2297
C3020560,J5,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,,C3020560
C3215600,U1,WSON-12_3x3_P0.5_LM74800DRR,,C3215600
C353386,D1,D_SMB,,C353386
C485912,"U2,U3",VQFN-20_3.5x4.5_P0.5_LM5145RGY,,C485912
C840100,"Q1,Q2,QA1,QA2,QB1,QB2",VSON-8_3.3x3.3mm_P0.65mm_NexFET,,C840100
C98732,J1,XT60PW-M_EdgeTrim,,C98732
