Comment,Designator,Footprint,LCSC
1935161,J1,pi_usb_port_switch:Phoenix_1935161_PT_1p5_2_5p0_H,C3819953
029707.5WXNV,USER-FIT,,
3568,F1,pi_usb_port_switch:Keystone_3568_Mini_Blade_Fuse_Holder,C5249699
DMP3007SPS-13,Q1,pi_usb_port_switch:PowerDI5060-8,C397981
TLV76133DCYR,U1,Package_TO_SOT_SMD:SOT-223-3_TabPin2,C7527500
61304021121,J2,Connector_PinHeader_2.54mm:PinHeader_2x20_P2.54mm_Vertical,C5364405
692221030100,"J3,J5,J7,J9",pi_usb_port_switch:Wurth_692221030100_USB3_B,
692121030100,"J4,J6,J8,J10",pi_usb_port_switch:Wurth_692121030100_USB3_A,
TUSB522PIRGER,"U2,U8,U14,U20",pi_usb_port_switch:TUSB522P_RGE24_4x4_P0.5,C2675181
TS3USB221ERSER,"U3,U9,U15,U21",pi_usb_port_switch:TS3USB221E_RSE10_2x1.5_P0.4,C129313
TPS2557DRBR,"U4,U10,U16,U22",Package_SON:VSON-8-1EP_3x3mm_P0.65mm_EP1.65x2.4mm_ThermalVias,C130056
TPD6E05U06RVZR,"U5,U6,U11,U12,U17,U18,U23,U24",pi_usb_port_switch:TPD6E05U06_RVZ14_3.5x1.35_P0.5,C962978
SN74LVC1G08DCKR,"U7,U13,U19,U25",Package_TO_SOT_SMD:SC-70-5,C7832
2N7002-7-F,"Q2,Q3,Q4,Q5",Package_TO_SOT_SMD:SOT-23,C85049
RC0402FR-072R2L,"R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,R23,R24,R25,R26,R27,R28,R29,R30,R31,R32",Resistor_SMD:R_0402_1005Metric,C327251
RC0402FR-07220KL,"R33,R34,R35,R36,R37,R38,R39,R40",Resistor_SMD:R_0402_1005Metric,C138030
RC0402FR-071KL,"R41,R42,R43,R44,R45,R46,R47,R48",Resistor_SMD:R_0402_1005Metric,C106235
RC0402FR-07100KL,"R49,R50,R51,R52,R53,R54,R55,R56,R57,R58,R59,R60,R61,R62,R63,R64,R65,R66,R67,R68,R69",Resistor_SMD:R_0402_1005Metric,C60491
RC0402FR-071ML,R70,Resistor_SMD:R_0402_1005Metric,C138033
RC0402FR-0710KL,"R71,R72,R73,R74",Resistor_SMD:R_0402_1005Metric,C60490
RC0402FR-074K7L,"R75,R76,R77,R78,R79,R80",Resistor_SMD:R_0402_1005Metric,C105871
CL05B104KO5NNNC,"C3,C6,C7,C8,C9,C10,C11,C14,C15,C17,C18,C19,C20,C22,C23,C24,C25,C26,C27,C30,C31,C33,C34,C35,C36,C38,C39,C40,C41,C42,C43,C46,C47,C49,C50,C51,C52,C54,C55,C56,C57,C58,C59,C62,C63,C65,C66,C67,C68",Capacitor_SMD:C_0402_1005Metric,C1525
CL05A105KA5NQNC,C4,Capacitor_SMD:C_0402_1005Metric,C52923
CL05A106MQ5NUNC,"C5,C16,C32,C48,C64",Capacitor_SMD:C_0402_1005Metric,C15525
GRM155R61H334KE01D,"C12,C13,C28,C29,C44,C45,C60,C61",Capacitor_SMD:C_0402_1005Metric,C19271634
16SVPF180M,"C1,C2",Capacitor_SMD:CP_Elec_6.3x5.8,C136277
EEEFK1A151P,"C21,C37,C53,C69",Capacitor_SMD:CP_Elec_6.3x5.8,C264054
