Comment,Designator,Footprint,MPN,LCSC
100kΩ,"R49,R50,R51,R52,R53,R54,R55,R56,R57,R58,R59,R60,R61,R62,R63,R64,R65,R66,R67,R68,R69",R_0402_1005Metric,RC0402FR-07100KL,C60491
100nF,"C10,C11,C14,C15,C17,C18,C19,C20,C22,C23,C24,C25,C26,C27,C3,C30,C31,C33,C34,C35,C36,C38,C39,C40,C41,C42,C43,C46,C47,C49,C50,C51,C52,C54,C55,C56,C57,C58,C59,C6,C62,C63,C65,C66,C67,C68,C7,C8,C9",C_0402_1005Metric,CL05B104KO5NNNC,C1525
10kΩ,"R71,R72,R73,R74",R_0402_1005Metric,RC0402FR-0710KL,C60490
10uF,"C16,C32,C48,C5,C64",C_0402_1005Metric,CL05A106MQ5NUNC,C15525
150uF,"C21,C37,C53,C69",CP_Elec_6.3x5.8,EEEFK1A151P,C264054
180uF,"C1,C2",CP_Elec_6.3x5.8,16SVPF180M,C136277
1935161,J1,Phoenix_1935161_PT_1p5_2_5p0_H,1935161,C3819953
1MΩ,R70,R_0402_1005Metric,RC0402FR-071ML,C138033
1kΩ,"R41,R42,R43,R44,R45,R46,R47,R48",R_0402_1005Metric,RC0402FR-071KL,C106235
1uF,C4,C_0402_1005Metric,CL05A105KA5NQNC,C52923
2.2Ω,"R1,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R2,R20,R21,R22,R23,R24,R25,R26,R27,R28,R29,R3,R30,R31,R32,R4,R5,R6,R7,R8,R9",R_0402_1005Metric,RC0402FR-072R2L,C327251
220kΩ,"R33,R34,R35,R36,R37,R38,R39,R40",R_0402_1005Metric,RC0402FR-07220KL,C138030
2N7002-7-F,"Q2,Q3,Q4,Q5",SOT-23,2N7002-7-F,C85049
330nF,"C12,C13,C28,C29,C44,C45,C60,C61",C_0402_1005Metric,GRM155R61H334KE01D,C19271634
3568,F1,Keystone_3568_Mini_Blade_Fuse_Holder,3568,C5249699
4.7kΩ,"R75,R76,R77,R78,R79,R80",R_0402_1005Metric,RC0402FR-074K7L,C105871
61304021121,J2,PinHeader_2x20_P2.54mm_Vertical,61304021121,C5364405
692121030100,"J10,J4,J6,J8",Wurth_692121030100_USB3_A,,
692221030100,"J3,J5,J7,J9",Wurth_692221030100_USB3_B,692221030100,C5334230
DMP3007SPS-13,Q1,PowerDI5060-8,DMP3007SPS-13,C397981
SN74LVC1G08DCKR,"U13,U19,U25,U7",SC-70-5,SN74LVC1G08DCKR,C7832
TLV76133DCYR,U1,SOT-223-3_TabPin2,TLV76133DCYR,C7527500
TPD6E05U06RVZR,"U11,U12,U17,U18,U23,U24,U5,U6",TPD6E05U06_RVZ14_3.5x1.35_P0.5,TPD6E05U06RVZR,C962978
TPS2557DRBR,"U10,U16,U22,U4",VSON-8-1EP_3x3mm_P0.65mm_EP1.65x2.4mm_ThermalVias,TPS2557DRBR,C130056
TS3USB221ERSER,"U15,U21,U3,U9",TS3USB221E_RSE10_2x1.5_P0.4,TS3USB221ERSER,C129313
TUSB522PIRGER,"U14,U2,U20,U8",TUSB522P_RGE24_4x4_P0.5,TUSB522PIRGER,C2675181
