Comment,Designator,Footprint,LCSC,qty,status,code,type,stock,mpn,manufacturer,pkg,price
100kΩ,"R49,R50,R51,R52,R53,R54,R55,R56,R57,R58,R59,R60,R61,R62,R63,R64,R65,R66,R67,R68,R69",R_0402_1005Metric,C60491,21,OK,C60491,expand,6498144,RC0402FR-07100KL,YAGEO,0402,0.0044
100nF,"C10,C11,C14,C15,C17,C18,C19,C20,C22,C23,C24,C25,C26,C27,C3,C30,C31,C33,C34,C35,C36,C38,C39,C40,C41,C42,C43,C46,C47,C49,C50,C51,C52,C54,C55,C56,C57,C58,C59,C6,C62,C63,C65,C66,C67,C68,C7,C8,C9",C_0402_1005Metric,C1525,49,OK,C1525,base,37706204,CL05B104KO5NNNC,Samsung Electro-Mechanics,0402,0.0054
10kΩ,"R71,R72,R73,R74",R_0402_1005Metric,C60490,4,OK,C60490,expand,10203252,RC0402FR-0710KL,YAGEO,0402,0.0037
10uF,"C16,C32,C48,C5,C64",C_0402_1005Metric,C15525,5,OK,C15525,base,10314266,CL05A106MQ5NUNC,Samsung Electro-Mechanics,0402,0.0255
150uF,"C21,C37,C53,C69",CP_Elec_6.3x5.8,C264054,4,OK,C264054,expand,1796,EEEFK1A151P,PANASONIC,"SMD,D6.3xL5.8mm",0.1843
180uF,"C1,C2",CP_Elec_6.3x5.8,C136277,2,OK,C136277,expand,1049,16SVPF180M,PANASONIC,"SMD,D6.3xL5.9mm",1.2637
1935161,J1,Phoenix_1935161_PT_1p5_2_5p0_H,C3819953,1,OK,C3819953,expand,1050,1935161,Phoenix Contact,"Plugin,P=5mm",0.6683
1MΩ,R70,R_0402_1005Metric,C138033,1,OK,C138033,expand,1942590,RC0402FR-071ML,YAGEO,0402,0.0055
1kΩ,"R41,R42,R43,R44,R45,R46,R47,R48",R_0402_1005Metric,C106235,8,OK,C106235,expand,4752107,RC0402FR-071KL,YAGEO,0402,0.0041
1uF,C4,C_0402_1005Metric,C52923,1,OK,C52923,base,11836548,CL05A105KA5NQNC,Samsung Electro-Mechanics,0402,0.0125
2.2Ω,"R1,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R2,R20,R21,R22,R23,R24,R25,R26,R27,R28,R29,R3,R30,R31,R32,R4,R5,R6,R7,R8,R9",R_0402_1005Metric,C327251,32,OK,C327251,expand,196494,RC0402FR-072R2L,YAGEO,0402,0.0038
220kΩ,"R33,R34,R35,R36,R37,R38,R39,R40",R_0402_1005Metric,C138030,8,OK,C138030,expand,625299,RC0402FR-07220KL,YAGEO,0402,0.005
2N7002-7-F,"Q2,Q3,Q4,Q5",SOT-23,C85049,4,OK,C85049,expand,423753,2N7002-7-F,Diodes Incorporated,SOT-23,0.042
330nF,"C12,C13,C28,C29,C44,C45,C60,C61",C_0402_1005Metric,C19271634,8,OK,C19271634,expand,41444,GRM155R61H334KE01D,Murata Electronics,0402,0.0303
3568,F1,Keystone_3568_Mini_Blade_Fuse_Holder,C5249699,1,OK,C5249699,expand,196,3568,Keystone,Plugin,1.5048
4.7kΩ,"R75,R76,R77,R78,R79,R80",R_0402_1005Metric,C105871,6,OK,C105871,expand,7466060,RC0402FR-074K7L,YAGEO,0402,0.0042
61304021121,J2,PinHeader_2x20_P2.54mm_Vertical,C5364405,1,OK,C5364405,expand,591,61304021121,Wurth Elektronik,"Plugin,P=2.54mm",1.5259
692221030100,"J3,J5,J7,J9",Wurth_692221030100_USB3_B,C5334230,4,OK,C5334230,expand,47,692221030100,Wurth Elektronik,Plugin,5.2878
DMP3007SPS-13,Q1,PowerDI5060-8,C397981,1,OK,C397981,expand,1402,DMP3007SPS-13,Diodes Incorporated,PowerDI5060-8,0.7088
SN74LVC1G08DCKR,"U13,U19,U25,U7",SC-70-5,C7832,4,OK,C7832,expand,89820,SN74LVC1G08DCKR,Texas Instruments,SC-70-5,0.0601
TLV76133DCYR,U1,SOT-223-3_TabPin2,C7527500,1,OK,C7527500,expand,18715,TLV76133DCYR,Texas Instruments,SOT-223,0.2196
TPD6E05U06RVZR,"U11,U12,U17,U18,U23,U24,U5,U6",TPD6E05U06_RVZ14_3.5x1.35_P0.5,C962978,8,OK,C962978,expand,3794,TPD6E05U06RVZR,Texas Instruments,USON-14(1.4x3.5),0.5809
TPS2557DRBR,"U10,U16,U22,U4",VSON-8-1EP_3x3mm_P0.65mm_EP1.65x2.4mm_ThermalVias,C130056,4,OK,C130056,expand,2642,TPS2557DRBR,Texas Instruments,SON-8(3x3),1.2411
TS3USB221ERSER,"U15,U21,U3,U9",TS3USB221E_RSE10_2x1.5_P0.4,C129313,4,OK,C129313,expand,517,TS3USB221ERSER,Texas Instruments,UQFN-10-EP(1.5x2),0.3396
TUSB522PIRGER,"U14,U2,U20,U8",TUSB522P_RGE24_4x4_P0.5,C2675181,4,OK,C2675181,expand,2418,TUSB522PIRGER,Texas Instruments,HVQFN-24-EP(4x4),0.7622
