Comment,Designator,Footprint,MPN,LCSC
100nF,C_SW1,C_0402_1005Metric,CL05B104KO5NNNC,C1525
100Ω,"R_S1,R_S2,R_S3,R_S4",R_0402_1005Metric,0402WGF1000TCE,C25076
10kΩ,"R_PD1,R_PD2,R_PD3,R_PD4",R_0402_1005Metric,RC0402FR-0710KL,C60490
1uF,C_SW2,C_0603_1608Metric,CL10A105KB8NNNC,C15849
220Ω,"R_T1,R_T2",R_0402_1005Metric,0402WGF2200TCE,C25091
4.7uF,C_BULK,C_0805_2012Metric,CL21A475KAQNNNE,C1779
680Ω,R_LED,R_0402_1005Metric,RC0402FR-07680RL,C137948
BLM21SP601SN1D,FB_3V3,L_0805_2012Metric,BLM21SP601SN1D,C3716677
KH-SMA-KE-Z,"J_ANT1,J_ANT2,J_ANT3,J_ANT4,J_ANT5,J_ANT6,J_ANT7,J_ANT8,J_RX1,J_RX2",SMA_Vertical_5.08sq_D1.4,KH-SMA-KE-Z,C504007
KT-0603R,LED_ST,LED_0603_1608Metric,KT-0603R,C2286
PE42482A-X,U_SW,QFN-24_4x4_P0.5_EP2.7_PE42482,PE42482A-X,C5121458
