Designator,Val,Package,Mid X,Mid Y,Layer,Rotation
C1,4.7uF,C_0603_1608Metric,85.4,-74.64,top,180.0
C2,4.7uF,C_0603_1608Metric,85.4,-72.36,top,180.0
C3,4.7uF,C_0603_1608Metric,70.5,-60.0,top,180.0
C4,100nF,C_0402_1005Metric,64.25,-51.6,top,270.0
C5,100nF,C_0402_1005Metric,67.5,-59.8,top,90.0
C6,100nF,C_0402_1005Metric,61.5,-59.8,top,90.0
D1,C83270,D_SMB,77.5,-74.5,top,0.0
F1,C207010,Fuse_0603_1608Metric,72.0,-74.5,top,90.0
J1,C5184243,GCT_USB4105_GF_A_120,65.0,-80.022,top,0.0
J10,C429844,Amphenol_901_143_6RFX,80.0,-31.6,top,180.0
J11,C2932107,Samtec_FTSH_105_01_L_DV_K_P_TR,44.0,-76.0,top,0.0
J2,C429844,Amphenol_901_143_6RFX,65.0,-31.6,top,180.0
J3,C429844,Amphenol_901_143_6RFX,50.0,-31.6,top,180.0
J4,C429844,Amphenol_901_143_6RFX,35.0,-31.6,top,180.0
J5,C429844,Amphenol_901_143_6RFX,31.6,-48.0,top,270.0
J6,C429844,Amphenol_901_143_6RFX,31.6,-66.0,top,270.0
J7,C429844,Amphenol_901_143_6RFX,98.4,-66.0,top,90.0
J8,C429844,Amphenol_901_143_6RFX,98.4,-48.0,top,90.0
J9,C429844,Amphenol_901_143_6RFX,95.0,-31.6,top,180.0
R1,5.1kΩ,R_0402_1005Metric,61.0,-70.5,top,0.0
R2,5.1kΩ,R_0402_1005Metric,68.5,-70.5,top,0.0
R3,10kΩ,R_0402_1005Metric,68.0,-56.5,top,90.0
R4,10kΩ,R_0402_1005Metric,60.5,-56.5,top,270.0
R5,10kΩ,R_0402_1005Metric,63.0,-57.0,top,270.0
R6,10kΩ,R_0402_1005Metric,65.5,-57.0,top,270.0
U1,C5121458,Psemi_PE42482_QFN24_4x4_P0.5,65.0,-48.0,top,0.0
U2,C5452432,TSSOP-20_4.4x6.5mm_P0.65mm,65.0,-65.0,top,180.0
U3,C2866134,SOT-23-5,89.0,-73.5,top,270.0
U4,C1972959,SOT-553,65.0,-75.3,top,0.0
