Comment,Designator,Footprint,LCSC,qty,status,code,type,stock,mpn,manufacturer,pkg,price
0603L010YR,F1,Fuse_0603_1608Metric,C207010,1,OK,C207010,expand,13425,0603L010YR,Littelfuse,0603,0.1094
100nF,"C4,C5,C6",C_0402_1005Metric,C1525,3,OK,C1525,base,37408658,CL05B104KO5NNNC,Samsung Electro-Mechanics,0402,0.0054
10kΩ,"R3,R4,R5,R6",R_0402_1005Metric,C60490,4,OK,C60490,expand,9322327,RC0402FR-0710KL,YAGEO,0402,0.0037
4.7uF,"C1,C2,C3",C_0603_1608Metric,C19666,3,OK,C19666,base,5754873,CL10A475KO8NNNC,Samsung Electro-Mechanics,0603,0.0332
5.1kΩ,"R1,R2",R_0402_1005Metric,C105872,2,OK,C105872,expand,2337297,RC0402FR-075K1L,YAGEO,0402,0.0053
901-143-6RFX,"J10,J2,J3,J4,J5,J6,J7,J8,J9",Amphenol_901_143_6RFX,C429844,9,OK,C429844,expand,630,901-143-6RFX,Amphenol ICC,Plugin,6.7554
FTSH-105-01-L-DV-K-P-TR,J11,Samtec_FTSH_105_01_L_DV_K_P_TR,C2932107,1,OK,C2932107,expand,12070,FTSH-105-01-L-DV-K-P-TR,Samtec,"SMD,P=1.27mm",1.2751
PE42482A-X,U1,Psemi_PE42482_QFN24_4x4_P0.5,C5121458,1,OK,C5121458,expand,1199,PE42482A-X,pSemi,QFN-24,6.105
SMBJ6.0A,D1,D_SMB,C83270,1,OK,C83270,expand,9071,SMBJ6.0A,Littelfuse,DO-214AA,0.1206
STM32C011F4P6,U2,TSSOP-20_4.4x6.5mm_P0.65mm,C5452432,1,OK,C5452432,expand,1392,STM32C011F4P6,STMicroelectronics,TSSOP-20,1.2945
TPD2E2U06DRLR,U4,SOT-553,C1972959,1,OK,C1972959,expand,10694,TPD2E2U06DRLR,Texas Instruments,SOT-553-5,0.3041
TPS7A2433DBVR,U3,SOT-23-5,C2866134,1,OK,C2866134,expand,19940,TPS7A2433DBVR,Texas Instruments,SOT-23-5,0.3683
USB4105-GF-A-120,J1,GCT_USB4105_GF_A_120,C5184243,1,OK,C5184243,expand,3618,USB4105-GF-A-120,Global Connector Technology,SMD,0.932
