Comment,Designator,Footprint,MPN,LCSC
0603L010YR,F1,Fuse_0603_1608Metric,0603L010YR,C207010
100nF,"C4,C5,C6",C_0402_1005Metric,CL05B104KO5NNNC,C1525
10kΩ,"R3,R4,R5,R6",R_0402_1005Metric,RC0402FR-0710KL,C60490
4.7uF,"C1,C2,C3",C_0603_1608Metric,CL10A475KO8NNNC,C19666
5.1kΩ,"R1,R2",R_0402_1005Metric,RC0402FR-075K1L,C105872
901-143-6RFX,"J10,J2,J3,J4,J5,J6,J7,J8,J9",Amphenol_901_143_6RFX,901-143-6RFX,C429844
FTSH-105-01-L-DV-K-P-TR,J11,Samtec_FTSH_105_01_L_DV_K_P_TR,FTSH-105-01-L-DV-K-P-TR,C2932107
PE42482A-X,U1,Psemi_PE42482_QFN24_4x4_P0.5,PE42482A-X,C5121458
SMBJ6.0A,D1,D_SMB,SMBJ6.0A,C83270
STM32C011F4P6,U2,TSSOP-20_4.4x6.5mm_P0.65mm,STM32C011F4P6,C5452432
TPD2E2U06DRLR,U4,SOT-553,TPD2E2U06DRLR,C1972959
TPS7A2433DBVR,U3,SOT-23-5,TPS7A2433DBVR,C2866134
USB4105-GF-A-120,J1,GCT_USB4105_GF_A_120,USB4105-GF-A-120,C5184243
