Designator,Val,Package,Mid X,Mid Y,Layer,Rotation
C1,220nF,C_0603_1608Metric,63.5,-90.2,top,0.0
C101,330pF,C_0603_1608Metric,98.0,-96.0,top,0.0
C102,3.3nF,C_0603_1608Metric,94.0,-96.0,top,0.0
C103,100pF,C_0603_1608Metric,97.0,-98.4,top,0.0
C104,10nF,C_0603_1608Metric,94.8,-85.6,top,0.0
C105,1uF,C_0603_1608Metric,97.5,-100.9,top,0.0
C106,1uF,C_0603_1608Metric,94.4,-83.1,top,0.0
C107,10uF,C_1210_3225Metric,102.0,-102.9,top,0.0
C108,10uF,C_1210_3225Metric,89.8,-81.7,top,0.0
C109,10uF,C_1210_3225Metric,98.3,-79.7,top,0.0
C110,10uF,C_1210_3225Metric,93.5,-106.8,top,0.0
C111,100nF,C_0603_1608Metric,94.1,-103.3,top,0.0
C112,100uF,C_1210_3225Metric,107.5,-102.1,top,0.0
C113,100uF,C_1210_3225Metric,81.0,-92.5,top,0.0
C114,100uF,C_1210_3225Metric,81.2,-97.8,top,0.0
C115,100uF,C_1210_3225Metric,103.8,-79.1,top,0.0
C116,1nF,C_0805_2012Metric,98.4,-106.3,top,0.0
C2,100nF,C_1206_3216Metric,49.0,-90.0,top,0.0
C201,330pF,C_0603_1608Metric,132.0,-96.0,top,0.0
C202,3.3nF,C_0603_1608Metric,122.4,-91.5,top,0.0
C203,100pF,C_0603_1608Metric,128.0,-96.0,top,0.0
C204,10nF,C_0603_1608Metric,134.2,-89.0,top,0.0
C205,1uF,C_0603_1608Metric,133.5,-98.6,top,0.0
C206,1uF,C_0603_1608Metric,133.8,-86.0,top,0.0
C207,10uF,C_1210_3225Metric,131.7,-102.3,top,0.0
C208,10uF,C_1210_3225Metric,128.1,-81.7,top,0.0
C209,10uF,C_1210_3225Metric,140.0,-100.9,top,0.0
C21,10uF,C_1206_3216Metric,67.0,-85.2,top,0.0
C210,10uF,C_1210_3225Metric,136.8,-80.8,top,0.0
C211,100nF,C_0603_1608Metric,123.5,-81.2,top,0.0
C212,100uF,C_1210_3225Metric,132.4,-106.3,top,0.0
C213,100uF,C_1210_3225Metric,127.4,-77.7,top,0.0
C214,100uF,C_1210_3225Metric,137.8,-105.9,top,0.0
