Comment,Designator,Footprint,LCSC,qty,status,code,type,stock,mpn,pkg,price
0.15R,"R30,R31",R_1206_3216Metric,C37936,2,OK,C37936,expand,29988,1206W4F150LT5E,1206,0.0117
100k gate pd,R1,R_0805_2012Metric,C149504,1,OK,C149504,base,4161666,0805W8F1003T5E,0805,0.0152
100n,"C10,C12,C14,C15,C16,C17,C18,C25,C30,C31,C32,C33,C34,C35,C36,C37,C5,C8",C_0805_2012Metric,C49678,18,OK,C49678,base,23514120,CC0805KRX7R9BB104,0805,0.0337
100u,"C40,C41",CP_Elec_6.3x7.7,C2836443,2,OK,C2836443,expand,27487,RVT100UF25V67RV0011,"SMD,D6.3xL7.7mm",0.0402
10k,"R10,R21,R23,R25,R27,R6,R8",R_0805_2012Metric,C17414,7,OK,C17414,base,12620698,0805W8F1002T5E,0805,0.0133
10uH SWPA6045S,L1,L_Sunlord_SWPA6045S,C79272,1,OK,C79272,expand,33848,SWPA6045S100MT,"SMD,6x6mm",0.089
1k,"R11,R3,R7,R9",R_0805_2012Metric,C17513,4,OK,C17513,base,6797108,0805W8F1001T5E,0805,0.0129
1u EN,C11,C_0805_2012Metric,C28323,1,OK,C28323,base,5860717,CL21B105KBFNNNE,0805,0.0865
22n CP fly,C26,C_0805_2012Metric,C1729,1,OK,C1729,base,309213,CL21B223KBANNNC,0805,0.0097
22u,"C19,C3,C4,C7,C9",C_0805_2012Metric,C45783,5,OK,C45783,base,2016801,CL21A226MAQNNNE,0805,0.3974
2A polyfuse 16V,F1,Fuse_1812_4532Metric,C20812,1,OK,C20812,expand,33087,SMD1812P200TF16,1812,0.1128
4.7k,"R12,R13",R_0805_2012Metric,C17673,2,OK,C17673,base,4932034,0805W8F4701T5E,0805,0.0109
4.7u,"C1,C13,C2,C6",C_0805_2012Metric,C1779,4,OK,C1779,base,2749131,CL21A475KAQNNNE,0805,0.0501
5.1k,"R4,R5",R_0805_2012Metric,C27834,2,OK,C27834,base,5352098,0805W8F5101T5E,0805,0.0136
75k REXT,"R20,R22,R24,R26",R_0805_2012Metric,C17819,4,OK,C17819,expand,838325,0805W8F7502T5E,0805,0.0163
AMS1117-3.3,U9,SOT-223-3_TabPin2,C6186,1,OK,C6186,base,1485311,AMS1117-3.3,SOT-223,0.1983
AOD4185 revpol,Q1,TO-252-2,C400894,1,OK,C400894,expand,91184,AOD4185,TO-252(DPAK),0.4285
AP63205WU-7,U8,TSOT-23-6,C2071056,1,OK,C2071056,expand,32088,AP63205WU-7,TSOT-23-6,0.4365
ESP32-S3-WROOM-1-N8R2,U1,ESP32-S3-WROOM-1,C2913204,1,OK,C2913204,expand,19561,ESP32-S3-WROOM-1-N8R2,"SMD,25.5x18mm",5.3826
LIS2DH12TR,U7,LGA-12_2x2mm_P0.5mm,C110926,1,OK,C110926,expand,9464,LIS2DH12TR,LGA-12(2x2),0.9261
MPR121QR2,"U3,U4,U5,U6",UQFN-20_3x3mm_P0.4mm,C91322,4,OK,C91322,expand,1189,MPR121QR2,QFN-20(3x3),2.6672
SMBJ16A,D3,D_SMB,C10211,1,OK,C10211,expand,2866,SMBJ16A,DO-214AA(SMB),0.0849
TMC2209-LA-T,U2,QFN-28-1EP_5x5mm_P0.5mm_EP3.75x3.75mm,C2150710,1,OK,C2150710,expand,10575,TMC2209-LA-T,QFN-28-EP(5x5),2.6366
TS-1187A,"SW1,SW2",SW_Push_1P1T_XKB_TS-1187A,C318884,2,OK,C318884,base,1436997,TS-1187A-B-A-B,"SMD-4P,5.1x5.1mm",0.02
TYPE-C-31-M-12,J2,USB_C_Receptacle_HRO_TYPE-C-31-M-12,C165948,1,OK,C165948,expand,323549,TYPE-C-31-M-12,SMD,0.184
USBLC6-2SC6,D1,SOT-23-6,C2687116,1,OK,C2687116,expand,90095,USBLC6-2SC6,SOT-23-6,0.0513
green,"D2,D5",LED_0805_2012Metric,C2297,2,OK,C2297,base,3206093,KT-0805G,0805,0.0162
