Comment,Designator,Footprint,MPN,LCSC
0Ω,"R_KEY,R_STOP",R_1206_3216Metric,,C17888
0Ω,R_SHIELD,R_0603_1608Metric,,C21189
1.2kΩ,R_ILM,R_0402_1005Metric,,C25862
100kΩ,"R_COILENPD,R_DECDPD,R_DECUPD,R_HSG,R_MR,R_OVT,R_PG,R_SWPUA,R_SWPUB,R_SWPURHA,R_SWPURHE",R_0402_1005Metric,,C25741
100nF,"C_3V3,C_3V3A2,C_IN2,C_ULNA,C_ULNB",C_0603_1608Metric,,C14663
100nF,"C_ADCV2,C_AND1,C_AND2,C_AND3,C_COMP,C_DECD,C_DECU,C_EXP,C_FAULTAND,C_FLT0,C_FLT1,C_FLT2,C_FLT3,C_FLT4,C_FLT5,C_FLT6,C_FLT7,C_LATCHA,C_LATCHB,C_MR,C_OENAND,C_OSV,C_SCHM,C_SR1,C_SR2,C_TCAV,C_TCD,C_TCDV,C_WD",C_0402_1005Metric,,C1525
100Ω,"R_TCN,R_TCP",R_0402_1005Metric,,C25076
10kΩ,"R_BID0,R_BID1,R_DOORPU,R_ESTOPPD,R_EXPRST,R_MODEPD,R_OE,R_REF0,R_REF1,R_REF2,R_REF3,R_REF4,R_REF5,R_REF6,R_REF7,R_TEMPOK,R_TH1,R_TH2",R_0402_1005Metric,,C25744
10nF,"C_TCNA,C_TCPA",C_0402_1005Metric,,C15195
10uF,"C_3V3A1,C_IN1,C_KR,C_LDOIN",C_0805_2012Metric,,C15850
15kΩ,R_OVB,R_0402_1005Metric,,C25756
1MΩ,"R_HYS1,R_HYS2",R_0402_1005Metric,,C26083
1kΩ,"R_SER0,R_SER1,R_SER2,R_SER3,R_SER4,R_SER5,R_SER6,R_SER7",R_0402_1005Metric,,C11702
1nF,C_DVDT,C_0402_1005Metric,,C1523
1uF,"C_ADCV,C_OS,C_SWA,C_SWB,C_SWRHA,C_SWRHE",C_0603_1608Metric,,C15849
2.2kΩ,"R_SCLA,R_SCLB,R_SCLRHA,R_SCLRHE,R_SDAA,R_SDAB,R_SDARHA,R_SDARHE",R_0402_1005Metric,,C25879
220uF,CE1,CP_Elec_6.3x7.7,,C2887273
22uF,C_LDOOUT,C_0805_2012Metric,,C45783
330Ω,R_OPTOLED,R_0603_1608Metric,,C23138
33Ω,"R_LCCLK,R_LCDAT",R_0402_1005Metric,,C25105
390kΩ,R_OS,R_0402_1005Metric,,C25782
C10092,"U_SR1,U_SR2",SOIC-16_3.9x9.9mm_P1.27mm,,C10092
C1017,FB1,L_0805_2012Metric,,C1017
C113974,D_TVS,D_SMB,,C113974
C123302,U_ONESHOT,SSOP-8_2.95x2.8mm_P0.65mm,,C123302
C125121,U_OPTO,SMDIP-4_W9.53mm,,C125121
C15127,"Q_COIL,Q_REV,Q_SWA,Q_SWB,Q_SWRHA,Q_SWRHE",SOT-23,,C15127
C157991,J_LOADCELL,JST_XH_B5B-XH-A_1x05_P2.50mm_Vertical,,C157991
C16939,U_ADC,SOIC-16_3.9x9.9mm_P1.27mm,,C16939
C189896,"J_DOOR,J_ESTOP,J_MODE,J_RH_AMBIENT,J_RH_EXHAUST",JST_GH_SM05B-GHS-TB_1x05-1MP_P1.25mm_Horizontal,,C189896
C22046,"U_AND1,U_AND2,U_AND3,U_FAULTAND",SOT-23-6,,C22046
C265111,"J_THERM_A,J_THERM_B",JST_GH_SM08B-GHS-TB_1x08-1MP_P1.25mm_Horizontal,,C265111
C2653162,U_TC,TSSOP-14_4.4x5mm_P0.65mm,,C2653162
C2653844,U_EFUSE,Texas_DSG0008A_WSON-8-1EP_2x2mm_P0.5mm_EP0.9x1.6mm,,C2653844
C2683602,J_KEY_MATRIX,JST_GH_SM10B-GHS-TB_1x10-1MP_P1.25mm_Horizontal,,C2683602
C35165,J_PI,PinSocket_2x20_P2.54mm_Vertical,,C35165
C474892,J_CONTACTOR,TerminalBlock_KF350_2P,,C474892
C506653,U_EXP,SSOP-28_5.3x10.2mm_P0.65mm,,C506653
C5158048,"D_DOOR,D_ESD_IN,D_ESTOP,D_LCCLK,D_LCDAT",D_SOD-323,,C5158048
C5620,"U_DECD,U_DECU",SOIC-16_3.9x9.9mm_P1.27mm,,C5620
C587657,J_PWR,Molex_Micro-Fit_3.0_43650-0224_1x02-1MP_P3.00mm_Vertical,,C587657
C6186,U_LDO,SOT-223,,C6186
C67470,U_COMP,SOIC-8_3.9x4.9mm_P1.27mm,,C67470
C6820,U_SCHM,SOIC-14_3.9x8.7mm_P1.27mm,,C6820
C7719,U_WD,SOT-23-5,,C7719
C8185,"U_LATCHA,U_LATCHB,U_OENAND",SOT-353_SC-70-5,,C8185
C8545,"Q_COILDRV,Q_SWDRVA,Q_SWDRVB,Q_SWDRVRHA,Q_SWDRVRHE",SOT-23,,C8545
C8678,D_REVCLAMP,D_SMA,,C8678
C89650,F1,Fuse_1812_4532Metric,,C89650
C9683,"U_ULNA,U_ULNB",SOIC-18W_7.5x11.6mm_P1.27mm,,C9683
DIP05-1A72-12L,"K_D1,K_D2,K_D3,K_D4,K_PRESS,K_STOP,K_U1,K_U2,K_U3,K_U4,K_U5,K_U6",Relay_StandexDIP_1A_pinout12,,
PCC-SMP-K,J_TC,Omega_PCC-SMP-K_TypeK_PCpin,,
