Designator,Val,Package,Mid X,Mid Y,Layer,Rotation
CE1,220uF,CP_Elec_6.3x7.7,50.0,-66.0,top,0.0
C_3V3,100nF,C_0603_1608Metric,22.9,-74.9,top,0.0
C_3V3A1,10uF,C_0805_2012Metric,40.0,-68.0,top,0.0
C_3V3A2,100nF,C_0603_1608Metric,47.8,-71.2,top,0.0
C_ADCV,1uF,C_0603_1608Metric,48.0,-76.0,top,0.0
C_ADCV2,100nF,C_0402_1005Metric,37.0,-76.0,top,0.0
C_AND1,100nF,C_0402_1005Metric,159.5,-70.6,top,0.0
C_AND2,100nF,C_0402_1005Metric,171.5,-70.6,top,0.0
C_AND3,100nF,C_0402_1005Metric,183.5,-70.6,top,0.0
C_CAND1,100nF,C_0402_1005Metric,172.6,-84.3,top,0.0
C_CAND2,100nF,C_0402_1005Metric,176.5,-87.3,top,0.0
C_COMP,100nF,C_0402_1005Metric,26.2,-76.1,top,0.0
C_COMP2,100nF,C_0402_1005Metric,24.7,-90.4,top,0.0
C_DECD,100nF,C_0402_1005Metric,114.8,-67.9,top,0.0
C_DECDEN,100nF,C_0402_1005Metric,129.5,-68.5,top,0.0
C_DECU,100nF,C_0402_1005Metric,79.5,-66.0,top,0.0
C_DECUEN,100nF,C_0402_1005Metric,83.5,-63.0,top,0.0
C_DVDT,1nF,C_0402_1005Metric,57.0,-60.0,top,0.0
C_EXP,100nF,C_0402_1005Metric,146.5,-82.0,top,0.0
C_FAULTAND,100nF,C_0402_1005Metric,159.5,-76.6,top,0.0
C_FLT0,100nF,C_0402_1005Metric,56.2,-89.2,top,0.0
C_FLT1,100nF,C_0402_1005Metric,53.8,-89.2,top,0.0
C_FLT2,100nF,C_0402_1005Metric,53.8,-84.8,top,0.0
C_FLT3,100nF,C_0402_1005Metric,56.2,-84.8,top,0.0
C_FLT4,100nF,C_0402_1005Metric,58.0,-87.0,top,0.0
C_FLT5,100nF,C_0402_1005Metric,52.0,-87.0,top,0.0
C_FLT6,100nF,C_0402_1005Metric,58.8,-88.4,top,0.0
C_FLT7,100nF,C_0402_1005Metric,57.0,-90.5,top,0.0
C_IN1,10uF,C_0805_2012Metric,56.8,-53.7,top,0.0
C_IN2,100nF,C_0603_1608Metric,53.0,-55.0,top,0.0
C_KR,10uF,C_0805_2012Metric,182.6,-83.4,top,0.0
C_LATCHA,100nF,C_0402_1005Metric,171.2,-76.2,top,0.0
C_LATCHB,100nF,C_0402_1005Metric,183.2,-76.2,top,0.0
C_LATCHG,100nF,C_0402_1005Metric,105.5,-71.0,top,0.0
C_LDOIN,10uF,C_0805_2012Metric,19.0,-75.2,top,0.0
C_LDOOUT,22uF,C_0805_2012Metric,29.0,-70.0,top,0.0
C_MR,100nF,C_0402_1005Metric,153.5,-82.6,top,0.0
C_OENAND,100nF,C_0402_1005Metric,161.2,-82.2,top,0.0
C_OS,1uF,C_0603_1608Metric,156.0,-62.0,top,0.0
C_OSCLR,100nF,C_0402_1005Metric,149.4,-68.3,top,0.0
C_OSV,100nF,C_0402_1005Metric,155.2,-63.9,top,0.0
C_SCHM,100nF,C_0402_1005Metric,168.8,-61.9,top,0.0
C_SR1,100nF,C_0402_1005Metric,95.0,-81.5,top,0.0
C_STOPINV,100nF,C_0402_1005Metric,129.0,-73.0,top,0.0
C_STOPR,10uF,C_0805_2012Metric,188.0,-71.5,top,0.0
C_SWA,1uF,C_0603_1608Metric,30.5,-91.0,top,0.0
C_SWB,1uF,C_0603_1608Metric,45.5,-87.0,top,0.0
C_SWRHA,1uF,C_0603_1608Metric,163.5,-87.0,top,0.0
C_SWRHE,1uF,C_0603_1608Metric,176.5,-93.0,top,0.0
C_TCAV,100nF,C_0402_1005Metric,63.7,-80.9,top,0.0
C_TCD,100nF,C_0402_1005Metric,62.3,-73.1,top,0.0
C_TCDV,100nF,C_0402_1005Metric,60.8,-80.9,top,0.0
C_TCNA,10nF,C_0402_1005Metric,65.2,-73.1,top,0.0
C_TCPA,10nF,C_0402_1005Metric,70.5,-84.0,top,0.0
C_ULNA,100nF,C_0603_1608Metric,96.3,-66.4,top,0.0
C_ULNB,100nF,C_0603_1608Metric,186.0,-67.5,top,0.0
C_WD,100nF,C_0402_1005Metric,153.9,-75.8,top,0.0
D_DOOR,C5158048,D_SOD-323,191.5,-81.8,top,0.0
D_ESD_IN,C5158048,D_SOD-323,33.0,-55.0,top,0.0
D_ESTOP,C5158048,D_SOD-323,191.4,-68.8,top,0.0
