Comment,Designator,Footprint,LCSC,qty,status,code,type,stock,mpn,pkg,price
0Ω,"R_KEY,R_STOP",R_1206_3216Metric,C17888,2,OK,C17888,base,3427030,1206W4F0000T5E,1206,0.0218
0Ω,"R_SHIELD,R_STOPRAIL",R_0603_1608Metric,C21189,2,OK,C21189,base,9302300,0603WAF0000T5E,0603,0.0027
1.2kΩ,R_ILM,R_0402_1005Metric,C138040,1,OK,C138040,expand,472208,RC0402FR-071K2L,0402,0.0055
100kΩ,"R_COILENPD,R_CTRREQPD,R_DECDPD,R_DECUPD,R_HOSTAUTHPD,R_HSG,R_KRSTPD,R_MCUENPD,R_MR,R_OPENB,R_OVT,R_PG,R_RAENAPD,R_RAENBPD,R_RAENRHAPD,R_RAENRHEPD,R_REARMPU,R_STOPPD,R_SWPUA,R_SWPUB,R_SWPURHA,R_SWPURHE",R_0402_1005Metric,C25741,22,OK,C25741,base,674954,0402WGF1003TCE,0402,0.0036
100nF,"C_3V3,C_3V3A2,C_IN2,C_ULNA,C_ULNB",C_0603_1608Metric,C14663,5,OK,C14663,base,106356403,CC0603KRX7R9BB104,0603,0.0241
100nF,"C_ADCV2,C_AND1,C_AND2,C_AND3,C_CAND1,C_CAND2,C_COMP,C_COMP2,C_DECD,C_DECDEN,C_DECU,C_DECUEN,C_EXP,C_FAULTAND,C_FLT0,C_FLT1,C_FLT2,C_FLT3,C_FLT4,C_FLT5,C_FLT6,C_FLT7,C_LATCHA,C_LATCHB,C_LATCHG,C_MR,C_OENAND,C_OSCLR,C_OSV,C_SCHM,C_SR1,C_STOPINV,C_TCAV,C_TCD,C_TCDV,C_WD",C_0402_1005Metric,C1525,36,OK,C1525,base,47155369,CL05B104KO5NNNC,0402,0.0053
100Ω,"R_TCN,R_TCP",R_0402_1005Metric,C25076,2,OK,C25076,base,877642,0402WGF1000TCE,0402,0.0018
10kΩ,R_TH2,R_1206_3216Metric,C17902,1,OK,C17902,base,3234167,1206W4F1002T5E,1206,0.0202
10kΩ,"R_BID0,R_BID1,R_DOORPD,R_ESTOPPD,R_EXPRST,R_MODEPD,R_OE,R_OS2,R_REF0,R_REF1,R_REF2,R_REF3,R_REF4,R_REF5,R_REF6,R_REF7,R_TEMPOK",R_0402_1005Metric,C60490,17,OK,C60490,expand,8391861,RC0402FR-0710KL,0402,0.0058
10nF,"C_TCNA,C_TCPA",C_0402_1005Metric,C15195,2,OK,C15195,base,11033621,CL05B103KB5NNNC,0402,0.0064
10uF,"C_3V3A1,C_IN1,C_KR,C_LDOIN,C_STOPR",C_0805_2012Metric,C15850,5,OK,C15850,base,10896706,CL21A106KAYNNNE,0805,0.1191
15kΩ,R_OVB,R_0402_1005Metric,C25756,1,OK,C25756,base,1406868,0402WGF1502TCE,0402,0.0058
1MΩ,"R_HYS1,R_HYS2",R_0402_1005Metric,C26083,2,OK,C26083,base,1112685,0402WGF1004TCE,0402,0.0069
1kΩ,"R_SER0,R_SER1,R_SER2,R_SER3,R_SER4,R_SER5,R_SER6,R_SER7,R_WDPETPD",R_0402_1005Metric,C11702,9,OK,C11702,base,1184679,0402WGF1001TCE,0402,0.008
1nF,C_DVDT,C_0402_1005Metric,C1523,1,OK,C1523,base,5768693,0402B102K500NT,0402,0.012
1uF,"C_ADCV,C_OS,C_SWA,C_SWB,C_SWRHA,C_SWRHE",C_0603_1608Metric,C15849,6,OK,C15849,base,14982437,CL10A105KB8NNNC,0603,0.0966
2.2kΩ,"R_SCLA,R_SCLB,R_SDAA,R_SDAB",R_0402_1005Metric,C25879,4,OK,C25879,base,1312232,0402WGF2201TCE,0402,0.0018
2.54-2*20PPC104,J_PI,PinSocket_2x20_P2.54mm_Vertical,C35165,1,OK,C35165,expand,5345,2.54-2*20PFemale longPC104,"Plugin,P=2.54mm",1.0345
220uF,CE1,CP_Elec_6.3x7.7,C2887273,1,OK,C2887273,expand,145399,RVT220UF16V67RV0015,"SMD,D6.3xL7.7mm",0.0407
22kΩ,"R_CLMPA,R_CLMPB",R_0402_1005Metric,C25768,2,OK,C25768,base,1490969,0402WGF2202TCE,0402,0.0075
22uF,C_LDOOUT,C_0805_2012Metric,C45783,1,OK,C45783,base,3953408,CL21A226MAQNNNE,0805,0.5574
2N7002,"Q_COILDRV,Q_STOPDRV,Q_SWDRVA,Q_SWDRVB,Q_SWDRVRHA,Q_SWDRVRHE",SOT-23,C8545,6,OK,C8545,base,307224,2N7002,SOT-23,0.0176
330Ω,R_OPTOLED,R_0603_1608Metric,C23138,1,OK,C23138,base,2168624,0603WAF3300T5E,0603,0.0139
33Ω,"R_LCCLK,R_LCDAT",R_0402_1005Metric,C25105,2,OK,C25105,base,214884,0402WGF330JTCE,0402,0.0017
43650-0224,J_PWR,Molex_Micro-Fit_3.0_43650-0224_1x02-1MP_P3.00mm_Vertical,C587657,1,OK,C587657,expand,172,436500224,"SMD,P=3mm",0.8005
510kΩ,R_OS,R_0402_1005Metric,C137961,1,OK,C137961,expand,452463,RC0402FR-07510KL,0402,0.0044
