Comment,Designator,Footprint,MPN,LCSC
0Ω,"R_KEY,R_STOP",R_1206_3216Metric,1206W4F0000T5E,C17888
0Ω,"R_SHIELD,R_STOPRAIL",R_0603_1608Metric,0603WAF0000T5E,C21189
1.2kΩ,R_ILM,R_0402_1005Metric,RC0402FR-071K2L,C138040
100kΩ,"R_AND1PD,R_AND2PD,R_CTRREQPD,R_CTRSAFEPD,R_DECDPD,R_DECUPD,R_ESTOPOKPD,R_FAULTPU,R_FLCPD,R_FSETNPD,R_HOSTAUTHPD,R_HSG,R_KRSTPD,R_MCUENPD,R_MODEHWPD,R_MR,R_OPENB,R_PG,R_RAENAPD,R_RAENBPD,R_RAENRHAPD,R_RAENRHEPD,R_REARMPU,R_STOPPD,R_STOPREQNPD,R_SWPUA,R_SWPUB,R_SWPURHA,R_SWPURHE,R_WDOKPD",R_0402_1005Metric,0402WGF1003TCE,C25741
100kΩ,R_OVT,R_0402_1005Metric,0402WGD1003TCE,C270658
100nF,"C_3V3,C_3V3A2,C_IN2,C_ULNA,C_ULNB",C_0603_1608Metric,CC0603KRX7R9BB104,C14663
100nF,"C_ADCV2,C_AND1,C_AND2,C_AND3,C_CAND1,C_CAND2,C_COMP,C_COMP2,C_DECD,C_DECDEN,C_DECU,C_DECUEN,C_EFIN,C_EXP,C_FAULTAND,C_FLT0,C_FLT1,C_FLT2,C_FLT3,C_FLT4,C_FLT5,C_FLT6,C_FLT7,C_LATCHA,C_LATCHB,C_LATCHG,C_MR,C_OENAND,C_OSCLR,C_OSV,C_SCHM,C_SR1,C_STOPINV,C_TCAV,C_TCD,C_TCDV,C_WD",C_0402_1005Metric,CL05B104KO5NNNC,C1525
100Ω,"R_TCN,R_TCP",R_0402_1005Metric,0402WGF1000TCE,C25076
10kΩ,R_TH2,R_1206_3216Metric,1206W4F1002T5E,C17902
10kΩ,"R_BID0,R_BID1,R_ESTOPOKSER,R_FAULTSER,R_GPB3PD,R_MODEHWSER,R_MODEPD,R_OE,R_OS2,R_REF0,R_REF1,R_REF2,R_REF3,R_REF4,R_REF5,R_REF6,R_REF7,R_TEMPOK,R_TEMPOKSER,R_WDOKSER",R_0402_1005Metric,RC0402FR-0710KL,C60490
10nF,"C_TCNA,C_TCPA",C_0402_1005Metric,CL05B103KB5NNNC,C15195
10uF,"C_3V3A1,C_IN1,C_KR,C_LDOIN,C_STOPR",C_0805_2012Metric,CL21A106KAYNNNE,C15850
1MΩ,"R_HYS1,R_HYS2",R_0402_1005Metric,0402WGF1004TCE,C26083
1kΩ,"R_SER0,R_SER1,R_SER2,R_SER3,R_SER4,R_SER5,R_SER6,R_SER7,R_WDPETPD",R_0402_1005Metric,0402WGF1001TCE,C11702
1nF,C_DVDT,C_0402_1005Metric,0402B102K500NT,C1523
1uF,"C_ADCV,C_OS,C_OS2,C_SWA,C_SWB,C_SWRHA,C_SWRHE",C_0603_1608Metric,CL10A105KB8NNNC,C15849
2.2kΩ,"R_SCLA,R_SCLB,R_SDAA,R_SDAB",R_0402_1005Metric,0402WGF2201TCE,C25879
2.54-2*20PPC104,J_PI,PinSocket_2x20_P2.54mm_Vertical,2.54-2*20PPC104,C35165
220uF,CE1,CP_Elec_6.3x7.7,RVT220UF16V67RV0015,C2887273
22kΩ,"R_CLMPA,R_CLMPB",R_0402_1005Metric,0402WGF2202TCE,C25768
22uF,C_LDOOUT,C_0805_2012Metric,CL21A226MAQNNNE,C45783
26.1kΩ,R_OVB,R_0402_1005Metric,0402WGD2612TCE,C407739
2N7002,"Q_COILDRV,Q_STOPDRV,Q_SWDRVA,Q_SWDRVB,Q_SWDRVRHA,Q_SWDRVRHE",SOT-23,2N7002,C8545
330Ω,R_OPTOLED,R_0603_1608Metric,0603WAF3300T5E,C23138
33Ω,"R_LCCLK,R_LCDAT",R_0402_1005Metric,0402WGF330JTCE,C25105
43650-0224,J_PWR,Molex_Micro-Fit_3.0_43650-0224_1x02-1MP_P3.00mm_Vertical,43650-0224,C587657
470Ω,R_ESTOPPD,R_0402_1005Metric,0402WGF4700TCE,C25117
510kΩ,R_OS,R_0402_1005Metric,RC0402FR-07510KL,C137961
62kΩ,R_OPENT,R_0402_1005Metric,0402WGF6202TCE,C37825
680Ω,"R_COILENPD,R_COILENS,R_ESTOPS",R_0402_1005Metric,RC0402FR-07680RL,C137948
68kΩ,R_TH1,R_1206_3216Metric,1206W4F6802T5E,C25834
AMS1117-3.3,U_LDO,SOT-223,AMS1117-3.3,C6186
AO3401A,"Q_COIL,Q_REV,Q_SWA,Q_SWB,Q_SWRHA,Q_SWRHE",SOT-23,AO3401A,C15127
B5B-XH-A(LF)(SN),J_LOADCELL,JST_XH_B5B-XH-A_1x05_P2.50mm_Vertical,B5B-XH-A(LF)(SN),C157991
CD74HC221M96,U_ONESHOT,SOIC-16_3.9x9.9mm_P1.27mm,CD74HC221M96,C133954
DIP05-1A72-13L,"K_D1,K_D2,K_D3,K_D4,K_PRESS,K_STOP,K_U1,K_U2,K_U3,K_U4,K_U5,K_U6",Relay_StandexDIP_1A_pinout13,,
GZ2012D601TF,FB1,L_0805_2012Metric,GZ2012D601TF,C1017
KF350-3.5-4P,J_ISOLOOP,TerminalBlock_KF350_4P,,
LMV393IDR,"U_COMP,U_COMP2",SOIC-8_3.9x4.9mm_P1.27mm,LMV393IDR,C7984
LTV-817S-TA1,U_OPTO,SMDIP-4_W9.53mm,LTV-817S-TA1,C125121
MAX31856MUD+T,U_TC,TSSOP-14_4.4x5mm_P0.65mm,MAX31856MUD+T,C2653162
MCP23017-E/SS,U_EXP,SSOP-28_5.3x10.2mm_P0.65mm,MCP23017-E/SS,C558584
MCP3208-CI-SL,U_ADC,SOIC-16_3.9x9.9mm_P1.27mm,MCP3208-CI-SL,C16939
MF-MSMF200L-2,F1,Fuse_1812_4532Metric,MF-MSMF200L-2,C89650
PCC-SMP-K,J_TC,Omega_PCC-SMP-K_TypeK_PCpin,,
