Comment,Designator,Footprint,MPN,LCSC
0466003.NRHF,F_PD,Fuse_1206_3216Metric,0466003.NRHF,C14165
1.4kΩ,"R_ILIM1,R_ILIM2,R_ILIM3,R_ILIM4",R_0603_1608Metric,RCT031K4FLF,C178086
100kΩ,"R_SWAP1,R_SWAP2,R_SWAP3,R_SWAP4,R_SWAP5,R_SWAP6,R_SWAP7,R_VBUS_BOT",R_0402_1005Metric,0402WGF1003TCE,C25741
100nF,"C_AGG_A_IN,C_AGG_B_IN,C_AND_DATA,C_AND_PWR,C_BANK_A_HF,C_BANK_B_HF,C_BST,C_BST_A,C_BST_B,C_CTRL_VDD,C_DATA1,C_DATA2,C_DATA3,C_DATA4,C_EXP_VDD,C_HUB_A1,C_HUB_A2,C_HUB_A3,C_HUB_A4,C_HUB_CR_HF,C_HUB_DD,C_HUB_PLL,C_PORT1_HF,C_PORT2_HF,C_PORT3_HF,C_PORT4_HF,C_PWR1_IN,C_PWR2_IN,C_PWR3_IN,C_PWR4_IN,C_PWR_CTRL_IN,C_PWR_CTRL_OUT_HF",C_0402_1005Metric,CC0402KRX7R7BB104,C60474
10kΩ,"R_FB_A_BOT,R_FB_B_BOT",R_0402_1005Metric,RT0402BRD0710KL,C190095
10kΩ,"R_BOOST0,R_BOOST1,R_CFG0,R_CFG1,R_CFG2,R_CTRL_RESET,R_DATA_CMD1,R_DATA_CMD2,R_DATA_CMD3,R_DATA_CMD4,R_DATA_OE1,R_DATA_OE2,R_DATA_OE3,R_DATA_OE4,R_DATA_OK1,R_DATA_OK2,R_DATA_OK3,R_DATA_OK4,R_DIS6N,R_DIS6P,R_DIS7N,R_DIS7P,R_EXP_RESET,R_GANG,R_HUB_RESET,R_NONREM0,R_NONREM1,R_PD_VBUS,R_PWR_CMD1,R_PWR_CMD2,R_PWR_CMD3,R_PWR_CMD4,R_PWR_EN1,R_PWR_EN2,R_PWR_EN3,R_PWR_EN4",R_0402_1005Metric,0402WGF1002TCE,C25744
10uF,"C_BUCK_A_IN1,C_BUCK_A_IN2,C_BUCK_B_IN1,C_BUCK_B_IN2,C_MAIN_IN,C_PD_IN1,C_PD_IN2",C_1206_3216Metric,TCC1206X7R106K500HT,C5449000
12kΩ,R_RBIAS,R_0402_1005Metric,RC0402FR-0712KL,C114760
180uF,"C_BANK_A_POLY,C_BANK_B_POLY",Panasonic_C6_6.3x5.9,16SVPF180M,C136277
187kΩ,R_ILIM_CTRL,R_0402_1005Metric,RC0402FR-07187KL,C163486
18pF,"C_XTAL1,C_XTAL2",C_0402_1005Metric,0402CG180J500NT,C1549
1MΩ,R_XTAL,R_0402_1005Metric,RC0402FR-071ML,C138033
1kΩ,R_PD_VDD,R_1210_3225Metric,1210W2F1001T5E,C52444
1uF,"C_HUB_18,C_HUB_18PLL,C_HUB_A_BULK,C_HUB_CR_BULK,C_HUB_RESET,C_PD_VDD,C_PWR_CTRL_OUT",C_0402_1005Metric,CL05A105KA5NQNC,C52923
1uF,C_PD_IN_HF,C_0603_1608Metric,TCC0603X7R105K500CT,C5360793
200kΩ,"R_BUCK_A_EN_TOP,R_BUCK_B_EN_TOP",R_0402_1005Metric,0402WGF2003TCE,C25764
20kΩ,R_PD_UV_MID,R_0402_1005Metric,0402WGF2002TCE,C25765
22kΩ,R_PD_UV_TOP_LO,R_0402_1005Metric,0402WGF2202TCE,C25768
22uF,"C_BANK_A_BULK,C_BANK_B_BULK,C_BUCK_A_OUT1,C_BUCK_A_OUT2,C_BUCK_B_OUT1,C_BUCK_B_OUT2,C_MAIN_OUT1,C_MAIN_OUT2,C_PORT1_BULK,C_PORT2_BULK,C_PORT3_BULK,C_PORT4_BULK",C_1210_3225Metric,GRM32ER71E226KE15L,C21397
27.4kΩ,"R_BUCK_A_EN_BOT,R_BUCK_B_EN_BOT",R_0402_1005Metric,0402WGF2742TCE,C26971
2N7002K-7,"Q_DATA1,Q_DATA2,Q_DATA3,Q_DATA4",Diodes_SOT23_2N7002K,2N7002K-7,C85047
3.3nF,"C_AGG_A_DVDT,C_AGG_B_DVDT,C_PD_IN_DVDT",C_0603_1608Metric,CC0603JRNPO9BN332,C107048
3.3uH,L_MAIN,Sunlord_SWPA4030S,SWPA4030S3R3MT,C15269
300Ω,"R_AGG_A_ILIM,R_AGG_B_ILIM",R_0603_1608Metric,0603WAF3000T5E,C23025
330nF,C_CTRL_VUSB,C_0402_1005Metric,GRM155R61H334KE01D,C19271634
4.7kΩ,"R_I2C_SCL,R_I2C_SDA",R_0402_1005Metric,0402WGF4701TCE,C25900
47kΩ,R_VBUS_TOP,R_0402_1005Metric,0402WGF4702TCE,C25792
5.1kΩ,"R_CC1,R_CC2",R_0402_1005Metric,0402WGF5101TCE,C25905
5.9kΩ,R_PD_IN_ILIM,R_0603_1608Metric,0603WAF5901T5E,C23071
51kΩ,R_PD_OV_BOT,R_0402_1005Metric,RC0402FR-0751KL,C107229
6.8nF,"C_AGG_A_TIMER,C_AGG_B_TIMER",C_0603_1608Metric,GRM1885C1H682JA01D,C162241
"74LVC08APW,118","U_AND_DATA,U_AND_PWR",TSSOP-14_4.4x5mm_P0.65mm,"74LVC08APW,118",C6053
75kΩ,"R_FB_A_TOP,R_FB_B_TOP",R_0402_1005Metric,AR02BTD7502,C319478
910kΩ,R_PD_UV_TOP_HI,R_0402_1005Metric,0402WGF9103TCE,C25800
AP63203QWU-7,U_MAIN,TSOT-23-6,AP63203QWU-7,C5248536
CH224K,U_PD,WCH_CH224K_ESSOP10_EP,CH224K,C970725
FSUSB42MUX,"U_DATA1,U_DATA2,U_DATA3,U_DATA4",MSOP-10_3x3mm_P0.5mm,FSUSB42MUX,C11355
MCP2221A-I/ST,U_CTRL,TSSOP-14_4.4x5mm_P0.65mm,MCP2221A-I/ST,C130462
MCP23017T-E/SS,U_EXP,SSOP-28_5.3x10.2mm_P0.65mm,MCP23017T-E/SS,C558584
MWSA0804S-3R3MT,"L_BUCK_A,L_BUCK_B",Sunlord_MWSA0804S,MWSA0804S-3R3MT,C17700166
PESD2USB5UX-TR,"U_ESD1,U_ESD2,U_ESD3,U_ESD4,U_ESD_UP",SOT-23,PESD2USB5UX-TR,C3709087
TPS16630PWPR,U_PD_IN,Texas_PWP0020A,TPS16630PWPR,C1849461
TPS2557DRBR,U_PWR_CTRL,VSON-8-1EP_3x3mm_P0.65mm_EP1.65x2.4mm_ThermalVias,TPS2557DRBR,C130056
TPS259470ARPWR,"U_PWR1,U_PWR2,U_PWR3,U_PWR4",TI_RPW0010A_VQFN-HR-10_2x2mm_P0.45mm,TPS259470ARPWR,C3662799
TPS259827ONRGET,"U_AGG_A,U_AGG_B",TI_TPS25982_RGE0024_SplitPad_ThermalVias,TPS259827ONRGET,C2155765
TPS56637RPAR,"U_BUCK_A,U_BUCK_B",TI_RPA0010A_VQFN-HR-10_3x3mm,TPS56637RPAR,C841386
