F-ECHO — JLC's RESOLVED BOM vs OURS. After uploading bom.csv,
save JLC's own resolved/matched part table out of their UI and run
  bom_legibility_check.py <this outdir>/bom.csv --echo SAVED.csv
A code JLC redirects is a SUBSTITUTION and is a FINDING, not a
convenience. C82317 -> C131025 happened on a shipped board and no
gate in this repo could have seen it.

C14165	0466003.NRHF	F_PD
C178086	1.4kΩ	R_ILIM1,R_ILIM2,R_ILIM3,R_ILIM4
C25741	100kΩ	R_SWAP1,R_SWAP2,R_SWAP3,R_SWAP4,R_SWAP5,R_SWAP6,R_SWAP7,R_VBUS_BOT
C60474	100nF	C_AGG_A_IN,C_AGG_B_IN,C_AND_DATA,C_AND_PWR,C_BANK_A_HF,C_BANK_B_HF,C_BST,C_BST_A,C_BST_B,C_CTRL_VDD,C_DATA1,C_DATA2,C_DATA3,C_DATA4,C_EXP_VDD,C_HUB_A1,C_HUB_A2,C_HUB_A3,C_HUB_A4,C_HUB_CR_HF,C_HUB_DD,C_HUB_PLL,C_PORT1_HF,C_PORT2_HF,C_PORT3_HF,C_PORT4_HF,C_PWR1_IN,C_PWR2_IN,C_PWR3_IN,C_PWR4_IN,C_PWR_CTRL_IN,C_PWR_CTRL_OUT_HF
C190095	10kΩ	R_FB_A_BOT,R_FB_B_BOT
C25744	10kΩ	R_BOOST0,R_BOOST1,R_CFG0,R_CFG1,R_CFG2,R_CTRL_RESET,R_DATA_CMD1,R_DATA_CMD2,R_DATA_CMD3,R_DATA_CMD4,R_DATA_OE1,R_DATA_OE2,R_DATA_OE3,R_DATA_OE4,R_DATA_OK1,R_DATA_OK2,R_DATA_OK3,R_DATA_OK4,R_DIS6N,R_DIS6P,R_DIS7N,R_DIS7P,R_EXP_RESET,R_GANG,R_HUB_RESET,R_NONREM0,R_NONREM1,R_PD_VBUS,R_PWR_CMD1,R_PWR_CMD2,R_PWR_CMD3,R_PWR_CMD4,R_PWR_EN1,R_PWR_EN2,R_PWR_EN3,R_PWR_EN4
C5449000	10uF	C_BUCK_A_IN1,C_BUCK_A_IN2,C_BUCK_B_IN1,C_BUCK_B_IN2,C_MAIN_IN,C_PD_IN1,C_PD_IN2
C114760	12kΩ	R_RBIAS
C136277	180uF	C_BANK_A_POLY,C_BANK_B_POLY
C163486	187kΩ	R_ILIM_CTRL
C1549	18pF	C_XTAL1,C_XTAL2
C138033	1MΩ	R_XTAL
C52444	1kΩ	R_PD_VDD
C52923	1uF	C_HUB_18,C_HUB_18PLL,C_HUB_A_BULK,C_HUB_CR_BULK,C_HUB_RESET,C_PD_VDD,C_PWR_CTRL_OUT
C5360793	1uF	C_PD_IN_HF
C25764	200kΩ	R_BUCK_A_EN_TOP,R_BUCK_B_EN_TOP
C25765	20kΩ	R_PD_UV_MID
C25768	22kΩ	R_PD_UV_TOP_LO
C21397	22uF	C_BANK_A_BULK,C_BANK_B_BULK,C_BUCK_A_OUT1,C_BUCK_A_OUT2,C_BUCK_B_OUT1,C_BUCK_B_OUT2,C_MAIN_OUT1,C_MAIN_OUT2,C_PORT1_BULK,C_PORT2_BULK,C_PORT3_BULK,C_PORT4_BULK
C26971	27.4kΩ	R_BUCK_A_EN_BOT,R_BUCK_B_EN_BOT
C85047	2N7002K-7	Q_DATA1,Q_DATA2,Q_DATA3,Q_DATA4
C107048	3.3nF	C_AGG_A_DVDT,C_AGG_B_DVDT,C_PD_IN_DVDT
C15269	3.3uH	L_MAIN
C23025	300Ω	R_AGG_A_ILIM,R_AGG_B_ILIM
C19271634	330nF	C_CTRL_VUSB
C25900	4.7kΩ	R_I2C_SCL,R_I2C_SDA
C25792	47kΩ	R_VBUS_TOP
C25905	5.1kΩ	R_CC1,R_CC2
C23071	5.9kΩ	R_PD_IN_ILIM
C107229	51kΩ	R_PD_OV_BOT
C162241	6.8nF	C_AGG_A_TIMER,C_AGG_B_TIMER
C6053	74LVC08APW,118	U_AND_DATA,U_AND_PWR
C319478	75kΩ	R_FB_A_TOP,R_FB_B_TOP
C25800	910kΩ	R_PD_UV_TOP_HI
C5248536	AP63203QWU-7	U_MAIN
C970725	CH224K	U_PD
C11355	FSUSB42MUX	U_DATA1,U_DATA2,U_DATA3,U_DATA4
C130462	MCP2221A-I/ST	U_CTRL
C558584	MCP23017T-E/SS	U_EXP
C17700166	MWSA0804S-3R3MT	L_BUCK_A,L_BUCK_B
C3709087	PESD2USB5UX-TR	U_ESD1,U_ESD2,U_ESD3,U_ESD4,U_ESD_UP
C1849461	TPS16630PWPR	U_PD_IN
C130056	TPS2557DRBR	U_PWR_CTRL
C3662799	TPS259470ARPWR	U_PWR1,U_PWR2,U_PWR3,U_PWR4
C2155765	TPS259827ONRGET	U_AGG_A,U_AGG_B
C841386	TPS56637RPAR	U_BUCK_A,U_BUCK_B
C523793	TVS2200DRVR	D_PD_TVS
C165948	TYPE-C-31-M-12	J_DATA,J_POWER
C478081	USB2517I-JZX	U_HUB
C70590	X322524MOB4SI	Y_HUB
