Comment,Designator,Footprint,LCSC,qty,status,code,type,stock,mpn,manufacturer,pkg,price
3.3nF C0G 5%,"C_AGG_A_DVDT,C_AGG_B_DVDT,C_PD_IN_DVDT",C_0603_1608Metric,C107048,3,OK,C107048,expand,51857,CC0603JRNPO9BN332,YAGEO,0603,0.0292
FSUSB42MUX,"U_DATA1,U_DATA2,U_DATA3,U_DATA4",UQFN-10_1.4x1.8mm_P0.4mm,C11355,4,OK,C11355,expand,48908,FSUSB42MUX,onsemi,MSOP-10,0.3173
12k 1%,R_RBIAS,R_0402_1005Metric,C114760,1,OK,C114760,expand,1163727,RC0402FR-0712KL,YAGEO,0402,0.0037
TPS2557 control VBUS switch,U_PWR_CTRL,VSON-8-1EP_3x3mm_P0.65mm_EP1.65x2.4mm_ThermalVias,C130056,1,OK,C130056,expand,2477,TPS2557DRBR,Texas Instruments,SON-8(3x3),1.2441
180uF 10V polymer,"C_BANK_A_POLY,C_BANK_B_POLY",CP_Elec_6.3x5.8,C136277,2,OK,C136277,expand,864,16SVPF180M,PANASONIC,"SMD,D6.3xL5.9mm",1.2669
1M 1%,R_XTAL,R_0402_1005Metric,C138033,1,OK,C138033,expand,1841926,RC0402FR-071ML,YAGEO,0402,0.0041
3A resettable fuse,F_PD,Fuse_1812_4532Metric,C14165,1,OK,C14165,expand,33320,0466003.NRHF,Littelfuse,1206,0.0747
2.2uH main buck inductor,L_MAIN,L_4.0x4.0mm_H2.0mm,C15269,1,OK,C15269,expand,18883,SWPA4030S3R3MT,Sunlord,"SMD,4x4mm",0.0844
12pF C0G,"C_XTAL1,C_XTAL2",C_0402_1005Metric,C1549,2,OK,C1549,base,1277084,0402CG180J500NT,FH (Guangdong Fenghua Advanced Tech),0402,0.0048
6.8nF C0G 5%,"C_AGG_A_TIMER,C_AGG_B_TIMER",C_0603_1608Metric,C162241,2,OK,C162241,expand,120858,GRM1885C1H682JA01D,Murata Electronics,0603,0.0325
18k 1%,R_ILIM_CTRL,R_0402_1005Metric,C163486,1,OK,C163486,expand,5842,RC0402FR-07187KL,YAGEO,0402,0.0017
USB-C receptacle,"J_DATA,J_POWER",USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,C165948,2,OK,C165948,expand,410476,TYPE-C-31-M-12,Korean Hroparts Elec,SMD,0.1853
3.3uH high-current power inductor,"L_BUCK_A,L_BUCK_B",L_8.8x8.2mm,C17700166,2,OK,C17700166,expand,299,MWSA0804S-3R3MT,Sunlord,"SMD,8.8x8.2mm",0.2625
10k 0.1%,"R_FB_A_BOT,R_FB_B_BOT",R_0402_1005Metric,C190095,2,OK,C190095,expand,473495,RT0402BRD0710KL,YAGEO,0402,0.0271
10uF 10V,C_CTRL_VUSB,C_0805_2012Metric,C19271634,1,OK,C19271634,expand,30877,GRM155R61H334KE01D,Murata Electronics,0402,0.0304
24MHz 12pF crystal X322524MOB4SI,Y_HUB,Crystal_SMD_3225-4Pin_3.2x2.5mm,C70590,1,OK,C70590,expand,101010,X322524MOB4SI,YXC Crystal Oscillators,SMD3225-4P,0.0938
22uF 10V X7R,"C_BUCK_A_OUT1,C_BUCK_A_OUT2,C_BUCK_B_OUT1,C_BUCK_B_OUT2,C_BANK_A_BULK,C_BANK_B_BULK,C_MAIN_OUT1,C_MAIN_OUT2,C_PORT1_BULK,C_PORT2_BULK,C_PORT3_BULK,C_PORT4_BULK",C_1210_3225Metric,C21397,12,OK,C21397,expand,105575,GRM32ER71E226KE15L,Murata Electronics,1210,0.6862
300R 1%,"R_AGG_A_ILIM,R_AGG_B_ILIM",R_0603_1608Metric,C23025,2,OK,C23025,base,871102,0603WAF3000T5E,UNI-ROYAL(Uniroyal Elec),0603,0.0128
5.90k 1%,R_PD_IN_ILIM,R_0603_1608Metric,C23071,1,OK,C23071,expand,68615,0603WAF5901T5E,UNI-ROYAL(Uniroyal Elec),0603,0.0029
100k 1%,"R_SWAP1,R_SWAP2,R_SWAP3,R_SWAP4,R_SWAP5,R_SWAP6,R_SWAP7,R_VBUS_BOT",R_0402_1005Metric,C25741,8,OK,C25741,base,14877720,0402WGF1003TCE,UNI-ROYAL(Uniroyal Elec),0402,0.0053
