Comment,Designator,Footprint,LCSC,qty,required_qty,stock_threshold,absolute_surplus,status,code,type,stock,mpn,manufacturer,pkg,price
0466003.NRHF,F_PD,Fuse_1206_3216Metric,C14165,1,5,205,33932,OK,C14165,expand,33937,0466003.NRHF,Littelfuse,1206,0.0747
1.4kΩ,"R_ILIM1,R_ILIM2,R_ILIM3,R_ILIM4",R_0603_1608Metric,C178086,4,20,220,19048,OK,C178086,expand,19068,RCT031K4FLF,HKR(Hong Kong Resistors),0603,0.0016
100kΩ,"R_SWAP1,R_SWAP2,R_SWAP3,R_SWAP4,R_SWAP5,R_SWAP6,R_SWAP7,R_VBUS_BOT",R_0402_1005Metric,C25741,8,40,240,14815918,OK,C25741,base,14815958,0402WGF1003TCE,UNI-ROYAL(Uniroyal Elec),0402,0.0053
100nF,"C_AGG_A_IN,C_AGG_B_IN,C_AND_DATA,C_AND_PWR,C_BANK_A_HF,C_BANK_B_HF,C_BST,C_BST_A,C_BST_B,C_CTRL_VDD,C_DATA1,C_DATA2,C_DATA3,C_DATA4,C_EXP_VDD,C_HUB_A1,C_HUB_A2,C_HUB_A3,C_HUB_A4,C_HUB_CR_HF,C_HUB_DD,C_HUB_PLL,C_PORT1_HF,C_PORT2_HF,C_PORT3_HF,C_PORT4_HF,C_PWR1_IN,C_PWR2_IN,C_PWR3_IN,C_PWR4_IN,C_PWR_CTRL_IN,C_PWR_CTRL_OUT_HF",C_0402_1005Metric,C60474,32,160,360,14576324,OK,C60474,expand,14576484,CC0402KRX7R7BB104,YAGEO,0402,0.0053
10kΩ,"R_FB_A_BOT,R_FB_B_BOT",R_0402_1005Metric,C190095,2,10,210,470244,OK,C190095,expand,470254,RT0402BRD0710KL,YAGEO,0402,0.0272
10kΩ,"R_BOOST0,R_BOOST1,R_CFG0,R_CFG1,R_CFG2,R_CTRL_RESET,R_DATA_CMD1,R_DATA_CMD2,R_DATA_CMD3,R_DATA_CMD4,R_DATA_OE1,R_DATA_OE2,R_DATA_OE3,R_DATA_OE4,R_DATA_OK1,R_DATA_OK2,R_DATA_OK3,R_DATA_OK4,R_DIS6N,R_DIS6P,R_DIS7N,R_DIS7P,R_EXP_RESET,R_GANG,R_HUB_RESET,R_NONREM0,R_NONREM1,R_PD_VBUS,R_PWR_CMD1,R_PWR_CMD2,R_PWR_CMD3,R_PWR_CMD4,R_PWR_EN1,R_PWR_EN2,R_PWR_EN3,R_PWR_EN4",R_0402_1005Metric,C25744,36,180,380,5234898,OK,C25744,base,5235078,0402WGF1002TCE,UNI-ROYAL(Uniroyal Elec),0402,0.0019
10uF,"C_BUCK_A_IN1,C_BUCK_A_IN2,C_BUCK_B_IN1,C_BUCK_B_IN2,C_MAIN_IN,C_PD_IN1,C_PD_IN2",C_1206_3216Metric,C5449000,7,35,235,170150,OK,C5449000,expand,170185,TCC1206X7R106K500HT,CCTC,1206,0.2975
12kΩ,R_RBIAS,R_0402_1005Metric,C114760,1,5,205,1173593,OK,C114760,expand,1173598,RC0402FR-0712KL,YAGEO,0402,0.0037
180uF,"C_BANK_A_POLY,C_BANK_B_POLY",Panasonic_C6_6.3x5.9,C136277,2,10,210,844,OK,C136277,expand,854,16SVPF180M,PANASONIC,"SMD,D6.3xL5.9mm",1.2676
187kΩ,R_ILIM_CTRL,R_0402_1005Metric,C163486,1,5,205,5757,OK,C163486,expand,5762,RC0402FR-07187KL,YAGEO,0402,0.0017
18pF,"C_XTAL1,C_XTAL2",C_0402_1005Metric,C1549,2,10,210,1256573,OK,C1549,base,1256583,0402CG180J500NT,FH (Guangdong Fenghua Advanced Tech),0402,0.0048
1MΩ,R_XTAL,R_0402_1005Metric,C138033,1,5,205,1733805,OK,C138033,expand,1733810,RC0402FR-071ML,YAGEO,0402,0.0041
1kΩ,R_PD_VDD,R_1210_3225Metric,C52444,1,5,205,35449,OK,C52444,expand,35454,1210W2F1001T5E,UNI-ROYAL(Uniroyal Elec),1210,0.0293
1uF,"C_HUB_18,C_HUB_18PLL,C_HUB_A_BULK,C_HUB_CR_BULK,C_HUB_RESET,C_PD_VDD,C_PWR_CTRL_OUT",C_0402_1005Metric,C52923,7,35,235,13895887,OK,C52923,base,13895922,CL05A105KA5NQNC,Samsung Electro-Mechanics,0402,0.012
1uF,C_PD_IN_HF,C_0603_1608Metric,C5360793,1,5,205,384231,OK,C5360793,expand,384236,TCC0603X7R105K500CT,CCTC,0603,0.0294
200kΩ,"R_BUCK_A_EN_TOP,R_BUCK_B_EN_TOP",R_0402_1005Metric,C25764,2,10,210,1394843,OK,C25764,base,1394853,0402WGF2003TCE,UNI-ROYAL(Uniroyal Elec),0402,0.0032
20kΩ,R_PD_UV_MID,R_0402_1005Metric,C25765,1,5,205,2753213,OK,C25765,base,2753218,0402WGF2002TCE,UNI-ROYAL(Uniroyal Elec),0402,0.0049
