Designator,Val,Package,Mid X,Mid Y,Layer,Rotation
C_AGG_A_DVDT,3.3nF,C_0603_1608Metric,119.0,-108.0,top,0.0
C_AGG_A_IN,100nF,C_0402_1005Metric,110.0,-117.0,top,0.0
C_AGG_A_TIMER,6.8nF,C_0603_1608Metric,119.2,-116.0,top,0.0
C_AGG_B_DVDT,3.3nF,C_0603_1608Metric,163.0,-108.0,top,0.0
C_AGG_B_IN,100nF,C_0402_1005Metric,154.0,-117.0,top,0.0
C_AGG_B_TIMER,6.8nF,C_0603_1608Metric,163.2,-116.0,top,0.0
C_AND_DATA,100nF,C_0402_1005Metric,125.0,-84.0,top,0.0
C_AND_PWR,100nF,C_0402_1005Metric,109.0,-84.0,top,0.0
C_BANK_A_BULK,22uF,C_1210_3225Metric,124.0,-119.0,top,90.0
C_BANK_A_HF,100nF,C_0402_1005Metric,110.0,-111.5,top,0.0
C_BANK_A_POLY,180uF,Panasonic_C6_6.3x5.9,120.0,-126.0,top,0.0
C_BANK_B_BULK,22uF,C_1210_3225Metric,164.0,-122.0,top,90.0
C_BANK_B_HF,100nF,C_0402_1005Metric,154.0,-111.5,top,0.0
C_BANK_B_POLY,180uF,Panasonic_C6_6.3x5.9,158.0,-127.0,top,0.0
C_BST,100nF,C_0402_1005Metric,68.7,-122.525,top,270.0
C_BST_A,100nF,C_0402_1005Metric,91.9,-118.1,top,90.0
C_BST_B,100nF,C_0402_1005Metric,135.9,-118.1,top,90.0
C_BUCK_A_IN1,10uF,C_1206_3216Metric,91.5,-112.5,top,90.0
C_BUCK_A_IN2,10uF,C_1206_3216Metric,88.0,-111.0,top,90.0
C_BUCK_A_OUT1,22uF,C_1210_3225Metric,106.0,-114.5,top,90.0
C_BUCK_A_OUT2,22uF,C_1210_3225Metric,106.0,-120.0,top,90.0
C_BUCK_B_IN1,10uF,C_1206_3216Metric,135.5,-112.5,top,90.0
C_BUCK_B_IN2,10uF,C_1206_3216Metric,132.0,-111.0,top,90.0
C_BUCK_B_OUT1,22uF,C_1210_3225Metric,150.0,-114.5,top,90.0
C_BUCK_B_OUT2,22uF,C_1210_3225Metric,150.0,-120.0,top,90.0
C_CTRL_VDD,100nF,C_0402_1005Metric,68.8,-74.05,top,180.0
C_CTRL_VUSB,330nF,C_0402_1005Metric,80.3,-75.8,top,0.0
C_DATA1,100nF,C_0402_1005Metric,60.0,-35.0,top,0.0
C_DATA2,100nF,C_0402_1005Metric,85.0,-35.0,top,0.0
C_DATA3,100nF,C_0402_1005Metric,102.0,-35.0,top,0.0
C_DATA4,100nF,C_0402_1005Metric,124.5,-35.0,top,0.0
C_EXP_VDD,100nF,C_0402_1005Metric,116.0,-77.0,top,0.0
C_HUB_18,1uF,C_0402_1005Metric,92.0,-71.4,top,270.0
C_HUB_18PLL,1uF,C_0402_1005Metric,93.5,-58.5,top,0.0
C_HUB_A1,100nF,C_0402_1005Metric,87.0,-59.0,top,0.0
C_HUB_A2,100nF,C_0402_1005Metric,96.0,-55.0,top,0.0
C_HUB_A3,100nF,C_0402_1005Metric,96.0,-59.0,top,0.0
C_HUB_A4,100nF,C_0402_1005Metric,99.0,-59.0,top,0.0
C_HUB_A_BULK,1uF,C_0402_1005Metric,102.0,-62.0,top,0.0
C_HUB_CR_BULK,1uF,C_0402_1005Metric,102.0,-68.0,top,0.0
C_HUB_CR_HF,100nF,C_0402_1005Metric,102.0,-65.0,top,0.0
C_HUB_DD,100nF,C_0402_1005Metric,87.0,-71.0,top,0.0
C_HUB_PLL,100nF,C_0402_1005Metric,90.0,-71.0,top,0.0
C_HUB_RESET,1uF,C_0402_1005Metric,84.0,-70.0,top,0.0
C_MAIN_IN,10uF,C_1206_3216Metric,61.4,-123.475,top,180.0
C_MAIN_OUT1,22uF,C_1210_3225Metric,79.0,-120.5,top,90.0
C_MAIN_OUT2,22uF,C_1210_3225Metric,79.0,-126.0,top,90.0
C_PD_IN1,10uF,C_1206_3216Metric,48.0,-110.0,top,90.0
C_PD_IN2,10uF,C_1206_3216Metric,52.0,-110.0,top,90.0
C_PD_IN_DVDT,3.3nF,C_0603_1608Metric,64.0,-117.0,top,90.0
C_PD_IN_HF,1uF,C_0603_1608Metric,47.0,-117.0,top,90.0
C_PD_VDD,1uF,C_0402_1005Metric,46.5,-121.0,top,0.0
C_PORT1_BULK,22uF,C_1210_3225Metric,54.5,-56.0,top,0.0
C_PORT1_HF,100nF,C_0402_1005Metric,52.0,-52.0,top,0.0
C_PORT2_BULK,22uF,C_1210_3225Metric,82.5,-56.0,top,0.0
C_PORT2_HF,100nF,C_0402_1005Metric,80.0,-52.0,top,0.0
C_PORT3_BULK,22uF,C_1210_3225Metric,110.5,-56.0,top,0.0
C_PORT3_HF,100nF,C_0402_1005Metric,108.0,-52.0,top,0.0
C_PORT4_BULK,22uF,C_1210_3225Metric,138.5,-56.0,top,0.0
C_PORT4_HF,100nF,C_0402_1005Metric,136.0,-52.0,top,0.0
C_PWR1_IN,100nF,C_0402_1005Metric,47.77,-57.0,top,270.0
C_PWR2_IN,100nF,C_0402_1005Metric,75.77,-57.0,top,270.0
C_PWR3_IN,100nF,C_0402_1005Metric,103.77,-57.0,top,270.0
C_PWR4_IN,100nF,C_0402_1005Metric,131.77,-57.0,top,270.0
C_PWR_CTRL_IN,100nF,C_0402_1005Metric,40.2,-72.0,top,0.0
C_PWR_CTRL_OUT,1uF,C_0402_1005Metric,50.0,-73.0,top,0.0
C_PWR_CTRL_OUT_HF,100nF,C_0402_1005Metric,50.0,-69.0,top,0.0
C_XTAL1,18pF,C_0402_1005Metric,86.0,-52.0,top,0.0
C_XTAL2,18pF,C_0402_1005Metric,88.5,-50.0,top,0.0
D_PD_TVS,C523793,WSON-6-1EP_2x2mm_P0.65mm_EP1x1.6mm_ThermalVias,35.0,-127.0,top,0.0
F_PD,C14165,Fuse_1206_3216Metric,32.0,-118.0,top,0.0
J_DATA,C165948,TYPE-C-31-M-12_Datasheet,24.945,-57.0,top,270.0
J_POWER,C165948,TYPE-C-31-M-12_Datasheet,24.945,-118.0,top,270.0
L_BUCK_A,C17700166,Sunlord_MWSA0804S,98.0,-117.0,top,0.0
L_BUCK_B,C17700166,Sunlord_MWSA0804S,142.0,-117.0,top,0.0
L_MAIN,C15269,Sunlord_SWPA4030S,72.0,-123.0,top,0.0
Q_DATA1,C85047,Diodes_SOT23_2N7002K,62.0,-45.0,top,180.0
Q_DATA2,C85047,Diodes_SOT23_2N7002K,87.0,-45.0,top,180.0
Q_DATA3,C85047,Diodes_SOT23_2N7002K,100.0,-45.0,top,180.0
Q_DATA4,C85047,Diodes_SOT23_2N7002K,122.5,-45.0,top,180.0
R_AGG_A_ILIM,300Ω,R_0603_1608Metric,119.2,-112.8,top,0.0
R_AGG_B_ILIM,300Ω,R_0603_1608Metric,163.2,-112.8,top,0.0
R_BOOST0,10kΩ,R_0402_1005Metric,113.0,-70.0,top,0.0
R_BOOST1,10kΩ,R_0402_1005Metric,99.3,-61.25,top,0.0
R_BUCK_A_EN_BOT,27.4kΩ,R_0402_1005Metric,90.0,-125.5,top,0.0
R_BUCK_A_EN_TOP,200kΩ,R_0402_1005Metric,87.0,-125.5,top,0.0
R_BUCK_B_EN_BOT,27.4kΩ,R_0402_1005Metric,134.0,-125.5,top,0.0
R_BUCK_B_EN_TOP,200kΩ,R_0402_1005Metric,131.0,-125.5,top,0.0
R_CC1,5.1kΩ,R_0402_1005Metric,34.0,-52.0,top,90.0
R_CC2,5.1kΩ,R_0402_1005Metric,33.5,-63.0,top,90.0
