Designator,Val,Package,Mid X,Mid Y,Layer,Rotation
C_AGG_DVDT,3.3nF,C_0603_1608Metric,88.0,-105.0,top,0.0
C_AGG_IN,100nF,C_0402_1005Metric,82.0,-111.0,top,0.0
C_AGG_TIMER,3.3nF,C_0603_1608Metric,89.0,-113.0,top,0.0
C_AND_DATA,100nF,C_0402_1005Metric,125.0,-84.0,top,0.0
C_AND_PWR,100nF,C_0402_1005Metric,109.0,-84.0,top,0.0
C_BST,100nF,C_0402_1005Metric,100.1,-101.0,top,270.0
C_BUCK_IN,10uF,C_0603_1608Metric,93.3,-101.0,top,180.0
C_BUCK_OUT1,22uF,C_1210_3225Metric,109.0,-101.0,top,0.0
C_BUCK_OUT2,22uF,C_1210_3225Metric,109.0,-106.0,top,0.0
C_CTRL_VDD,100nF,C_0402_1005Metric,74.0,-69.5,top,0.0
C_CTRL_VUSB,330nF,C_0402_1005Metric,80.3,-75.8,top,0.0
C_DATA1,100nF,C_0402_1005Metric,60.0,-38.5,top,0.0
C_DATA2,100nF,C_0402_1005Metric,85.0,-38.5,top,0.0
C_DATA3,100nF,C_0402_1005Metric,102.0,-38.5,top,0.0
C_DATA4,100nF,C_0402_1005Metric,124.5,-38.5,top,0.0
C_EXP_VDD,100nF,C_0402_1005Metric,116.0,-77.0,top,0.0
C_HUB_18,1uF,C_0402_1005Metric,93.25,-71.4,top,270.0
C_HUB_18PLL,1uF,C_0402_1005Metric,90.2,-58.4,top,90.0
C_HUB_A1,100nF,C_0402_1005Metric,87.0,-59.0,top,0.0
C_HUB_A2,100nF,C_0402_1005Metric,96.0,-55.0,top,0.0
C_HUB_A3,100nF,C_0402_1005Metric,96.0,-59.0,top,0.0
C_HUB_A4,100nF,C_0402_1005Metric,99.0,-59.0,top,0.0
C_HUB_A_BULK,1uF,C_0402_1005Metric,102.0,-62.0,top,0.0
C_HUB_CR_BULK,1uF,C_0402_1005Metric,102.0,-68.0,top,0.0
C_HUB_CR_HF,100nF,C_0402_1005Metric,102.0,-65.0,top,0.0
C_HUB_DD,100nF,C_0402_1005Metric,87.0,-71.0,top,0.0
C_HUB_PLL,100nF,C_0402_1005Metric,90.0,-71.0,top,0.0
C_HUB_RESET,1uF,C_0402_1005Metric,84.0,-70.0,top,0.0
C_PD_BOOT,100nF,C_0402_1005Metric,50.9,-111.0,top,270.0
C_PD_FF,100pF,C_0402_1005Metric,46.5,-113.5,top,0.0
C_PD_IN1,10uF,C_1206_3216Metric,47.0,-103.0,top,90.0
C_PD_IN2,10uF,C_1206_3216Metric,50.0,-103.0,top,90.0
C_PD_IN_HF,100nF,C_0402_1005Metric,52.3,-104.5,top,0.0
C_PD_OUT1,22uF,C_1210_3225Metric,68.0,-110.0,top,90.0
C_PD_OUT2,22uF,C_1210_3225Metric,73.0,-110.0,top,90.0
C_PD_OUT3,22uF,C_1210_3225Metric,78.0,-110.0,top,90.0
C_PD_VDD,1uF,C_0402_1005Metric,45.8,-106.5,top,0.0
C_PORT1_BULK,22uF,C_1210_3225Metric,54.5,-56.0,top,0.0
C_PORT1_HF,100nF,C_0402_1005Metric,52.0,-52.0,top,0.0
C_PORT2_BULK,22uF,C_1210_3225Metric,82.5,-56.0,top,0.0
C_PORT2_HF,100nF,C_0402_1005Metric,80.0,-52.0,top,0.0
C_PORT3_BULK,22uF,C_1210_3225Metric,110.5,-56.0,top,0.0
C_PORT3_HF,100nF,C_0402_1005Metric,108.0,-52.0,top,0.0
C_PORT4_BULK,22uF,C_1210_3225Metric,138.5,-56.0,top,0.0
C_PORT4_HF,100nF,C_0402_1005Metric,136.0,-52.0,top,0.0
C_PWR1_IN,100nF,C_0402_1005Metric,43.5,-54.0,top,0.0
C_PWR2_IN,100nF,C_0402_1005Metric,71.5,-54.0,top,0.0
C_PWR3_IN,100nF,C_0402_1005Metric,99.5,-54.0,top,0.0
C_PWR4_IN,100nF,C_0402_1005Metric,127.5,-54.0,top,0.0
C_PWR_CTRL_IN,100nF,C_0402_1005Metric,40.2,-72.0,top,0.0
C_PWR_CTRL_OUT,1uF,C_0402_1005Metric,50.0,-73.0,top,0.0
C_PWR_CTRL_OUT_HF,100nF,C_0402_1005Metric,50.0,-69.0,top,0.0
C_TRUNK_BULK,22uF,C_1210_3225Metric,96.0,-112.0,top,0.0
C_TRUNK_HF,100nF,C_0402_1005Metric,91.0,-109.0,top,0.0
C_TRUNK_USB,180uF,Panasonic_C6_6.3x5.9,102.0,-115.0,top,0.0
C_XTAL1,18pF,C_0402_1005Metric,86.0,-52.0,top,0.0
C_XTAL2,18pF,C_0402_1005Metric,88.5,-50.0,top,0.0
D_PD_TVS,C207257,Littelfuse_SMF_SOD-123FL,35.0,-114.0,top,90.0
F_PD,C14165,Fuse_1206_3216Metric,32.0,-105.0,top,0.0
J_DATA,C165948,TYPE-C-31-M-12_Datasheet,24.945,-57.0,top,270.0
J_PORT1,C503996,KH-AF90DIP-112_Horizontal,51.499,-32.4,top,180.0
J_PORT2,C503996,KH-AF90DIP-112_Horizontal,79.499,-32.4,top,180.0
