Comment,Designator,Footprint,LCSC,qty,status,code,type,stock,mpn,pkg,price
0Ω,"R10,R18,R19,R27,R9",R_0603_1608Metric,C21189,5,OK,C21189,base,9414894,0603WAF0000T5E,0603,0.0027
1.21kΩ,"R13,R4",R_0603_1608Metric,C5126242,2,OK,C5126242,expand,47203,FRC0603F1211TS,0603,0.0023
100kΩ,"R1,R17,R30,R8",R_0603_1608Metric,C25803,4,OK,C25803,base,7824893,0603WAF1003T5E,0603,0.0079
100nF,"C13,C28,C33,C34,C35,C36,C37,C41,C42,C43",C_0603_1608Metric,C14663,10,OK,C14663,base,106577150,CC0603KRX7R9BB104,0603,0.0241
100pF,"C20,C5",C_0603_1608Metric,C14858,2,OK,C14858,base,5636641,CL10C101JB8NNNC,0603,0.0137
100uF,"C14,C15,C16,C17,C29,C30,C31,C32",C_1210_3225Metric,C84455,8,OK,C84455,expand,58907,GRM32ER61A107ME20L,1210,0.8932
10kΩ,"R28,R29",R_0402_1005Metric,C25744,2,OK,C25744,base,291,0402WGF1002TCE,0402,0.002
10mΩ,"RS1,RS2",R_2512_6332Metric,C127692,2,OK,C127692,expand,149094,25121WF100MT4E,2512,0.0786
10nF,"C21,C6",C_0603_1608Metric,C57112,2,OK,C57112,base,12248064,0603B103K500NT,0603,0.0115
10uF,"C49,C50",C_1210_3225Metric,C77100,2,OK,C77100,expand,412884,GRM32DR71E106KA12L,1210,0.2746
10uF,"C10,C11,C12,C24,C25,C26,C27,C9",C_1210_3225Metric,C77102,8,OK,C77102,expand,233533,GRM32ER71H106KA12L,1210,0.3725
12.4kΩ,"R11,R2",R_0603_1608Metric,C22865,2,OK,C22865,expand,15,0603WAF1242T5E,0603,0.0028
160kΩ,R42,R_0402_1005Metric,C25757,1,OK,C25757,expand,511656,0402WGF1603TCE,0402,0.0031
18kΩ,"R14,R5",R_0603_1608Metric,C25810,2,OK,C25810,base,1381693,0603WAF1802T5E,0603,0.0076
1N4148WS,"D3,D4",D_SOD-323,C2128,2,OK,C2128,base,940320,1N4148WS,SOD-323,0.0122
1nF,"C53,C54",C_0805_2012Metric,C62774,2,OK,C62774,expand,422447,CC0805JRNPO9BN102,0805,0.0197
1uF,"C22,C23,C7,C8",C_0603_1608Metric,C15849,4,OK,C15849,base,15029811,CL10A105KB8NNNC,0603,0.0965
2.2Ω,"R34,R35",R_1206_3216Metric,C137327,2,OK,C137327,expand,27310,RC1206FR-072R2L,1206,0.0262
22uF,"C38,C39,C40",C_0805_2012Metric,C29277,3,OK,C29277,expand,617825,CL21A226MPQNNNE,0805,0.1707
3.3nF,"C19,C4",C_0603_1608Metric,C1613,2,OK,C1613,base,389171,CL10B332KB8NNNC,0603,0.0086
3.92kΩ,R3,R_0603_1608Metric,C728591,1,OK,C728591,expand,691,RT0603BRD073K92L,0603,0.0316
330pF,"C18,C3",C_0603_1608Metric,C1664,2,OK,C1664,base,911280,CL10C331JB8NNNC,0603,0.0121
