LCSC,Ref,Status,Detail
C21189,R10,OK,fit=0.08mm jlc_offset=0 db=0.0 src=name-DB
C21189,R18,OK,fit=0.08mm jlc_offset=0 db=0.0 src=name-DB
C21189,R19,OK,fit=0.08mm jlc_offset=0 db=0.0 src=name-DB
C21189,R27,OK,fit=0.07mm jlc_offset=0 db=0.0 src=name-DB
C21189,R9,OK,fit=0.08mm jlc_offset=0 db=0.0 src=name-DB
C5126242,R13,OK,fit=0.08mm jlc_offset=0 db=0.0 src=name-DB
C5126242,R4,OK,fit=0.08mm jlc_offset=0 db=0.0 src=name-DB
C25803,R1,OK,fit=0.08mm jlc_offset=0 db=0.0 src=name-DB
C25803,R17,OK,fit=0.08mm jlc_offset=0 db=0.0 src=name-DB
C25803,R30,OK,fit=0.08mm jlc_offset=0 db=0.0 src=name-DB
C25803,R8,OK,fit=0.08mm jlc_offset=0 db=0.0 src=name-DB
C14663,C13,OK,fit=0.08mm jlc_offset=0 db=0.0 src=name-DB
C14663,C28,OK,fit=0.08mm jlc_offset=0 db=0.0 src=name-DB
C14663,C33,OK,fit=0.08mm jlc_offset=0 db=0.0 src=name-DB
C14663,C34,OK,fit=0.08mm jlc_offset=0 db=0.0 src=name-DB
C14663,C35,OK,fit=0.08mm jlc_offset=0 db=0.0 src=name-DB
C14663,C36,OK,fit=0.08mm jlc_offset=0 db=0.0 src=name-DB
C14663,C37,OK,fit=0.08mm jlc_offset=0 db=0.0 src=name-DB
C14663,C41,OK,fit=0.08mm jlc_offset=0 db=0.0 src=name-DB
C14663,C42,OK,fit=0.08mm jlc_offset=0 db=0.0 src=name-DB
C14663,C43,OK,fit=0.08mm jlc_offset=0 db=0.0 src=name-DB
C14858,C20,OK,fit=0.07mm jlc_offset=0 db=0.0 src=name-DB
C14858,C5,OK,fit=0.07mm jlc_offset=0 db=0.0 src=name-DB
C84455,C14,OK,fit=0.05mm jlc_offset=0 db=0.0 src=name-DB
C84455,C15,OK,fit=0.05mm jlc_offset=0 db=0.0 src=name-DB
C84455,C16,OK,fit=0.05mm jlc_offset=0 db=0.0 src=name-DB
C84455,C17,OK,fit=0.05mm jlc_offset=0 db=0.0 src=name-DB
C84455,C29,OK,fit=0.05mm jlc_offset=0 db=0.0 src=name-DB
C84455,C30,OK,fit=0.05mm jlc_offset=0 db=0.0 src=name-DB
C84455,C31,OK,fit=0.05mm jlc_offset=0 db=0.0 src=name-DB
C84455,C32,OK,fit=0.05mm jlc_offset=0 db=0.0 src=name-DB
C60490,R28,OK,fit=0.08mm jlc_offset=0 db=0.0 src=name-DB
C60490,R29,OK,fit=0.08mm jlc_offset=0 db=0.0 src=name-DB
C127692,RS1,OK,fit=0.11mm jlc_offset=0 db=0.0 src=name-DB
C127692,RS2,OK,fit=0.11mm jlc_offset=0 db=0.0 src=name-DB
C57112,C21,OK,fit=0.07mm jlc_offset=0 db=0.0 src=name-DB
C57112,C6,OK,fit=0.07mm jlc_offset=0 db=0.0 src=name-DB
C77100,C49,OK,fit=0.05mm jlc_offset=0 db=0.0 src=name-DB
C77100,C50,OK,fit=0.05mm jlc_offset=0 db=0.0 src=name-DB
C77102,C10,OK,fit=0.04mm jlc_offset=0 db=0.0 src=name-DB
C77102,C11,OK,fit=0.05mm jlc_offset=0 db=0.0 src=name-DB
C77102,C12,OK,fit=0.05mm jlc_offset=0 db=0.0 src=name-DB
C77102,C24,OK,fit=0.04mm jlc_offset=0 db=0.0 src=name-DB
C77102,C25,OK,fit=0.04mm jlc_offset=0 db=0.0 src=name-DB
C77102,C26,OK,fit=0.05mm jlc_offset=0 db=0.0 src=name-DB
C77102,C27,OK,fit=0.05mm jlc_offset=0 db=0.0 src=name-DB
C77102,C9,OK,fit=0.04mm jlc_offset=0 db=0.0 src=name-DB
C22865,R11,OK,fit=0.08mm jlc_offset=0 db=0.0 src=name-DB
C22865,R2,OK,fit=0.08mm jlc_offset=0 db=0.0 src=name-DB
C25757,R42,OK,fit=0.08mm jlc_offset=0 db=0.0 src=name-DB
C25810,R14,OK,fit=0.08mm jlc_offset=0 db=0.0 src=name-DB
C25810,R5,OK,fit=0.08mm jlc_offset=0 db=0.0 src=name-DB
C2128,D3,POLARITY-CHECK,"2-pad polarized part: verify the model's polarity marking vs our silk in the render (if the model is unmarked, verify via the JLC order preview) - machine checks cannot see a 180-flipped symmetric model"
C2128,D3,POLARITY-FIT-OK,marking channel agrees with the pad fit (both at pad 1; margins 0.56/0.33mm)
C2128,D3,OK,fit=0.12mm jlc_offset=0 db=0.0 src=lcsc
C2128,D4,POLARITY-CHECK,"2-pad polarized part: verify the model's polarity marking vs our silk in the render (if the model is unmarked, verify via the JLC order preview) - machine checks cannot see a 180-flipped symmetric model"
C2128,D4,POLARITY-FIT-OK,marking channel agrees with the pad fit (both at pad 1; margins 0.56/0.33mm)
C2128,D4,OK,fit=0.12mm jlc_offset=0 db=0.0 src=lcsc
C62774,C53,OK,fit=0.05mm jlc_offset=0 db=0.0 src=name-DB
C62774,C54,OK,fit=0.05mm jlc_offset=0 db=0.0 src=name-DB
C15849,C22,OK,fit=0.08mm jlc_offset=0 db=0.0 src=name-DB
C15849,C23,OK,fit=0.08mm jlc_offset=0 db=0.0 src=name-DB
C15849,C7,OK,fit=0.08mm jlc_offset=0 db=0.0 src=name-DB
C15849,C8,OK,fit=0.08mm jlc_offset=0 db=0.0 src=name-DB
