Designator,Val,Package,Mid X,Mid Y,Layer,Rotation
C1,C2982822,CP_Elec_6.3x7.7,26.5,-60.0,top,90.0
C10,10uF,C_1210_3225Metric,59.9,-31.1,top,0.0
C11,10uF,C_1210_3225Metric,69.1,-26.3,top,0.0
C12,10uF,C_1210_3225Metric,74.5,-23.0,top,0.0
C13,100nF,C_0603_1608Metric,78.0,-26.0,top,0.0
C14,100uF,C_1210_3225Metric,90.5,-25.4,top,0.0
C15,100uF,C_1210_3225Metric,95.6,-25.5,top,0.0
C16,100uF,C_1210_3225Metric,94.0,-43.5,top,0.0
C17,100uF,C_1210_3225Metric,99.1,-42.6,top,0.0
C18,330pF,C_0603_1608Metric,53.8,-79.8,top,0.0
C19,3.3nF,C_0603_1608Metric,57.3,-86.0,top,0.0
C2,C2982822,CP_Elec_6.3x7.7,26.5,-72.0,top,90.0
C20,100pF,C_0603_1608Metric,59.0,-84.0,top,0.0
C21,10nF,C_0603_1608Metric,57.0,-82.0,top,0.0
C22,1uF,C_0603_1608Metric,69.5,-68.0,top,0.0
C23,1uF,C_0603_1608Metric,64.0,-70.0,top,0.0
C24,10uF,C_1210_3225Metric,61.1,-64.3,top,0.0
C25,10uF,C_1210_3225Metric,59.9,-69.1,top,0.0
C26,10uF,C_1210_3225Metric,69.1,-64.3,top,0.0
C27,10uF,C_1210_3225Metric,74.5,-61.0,top,0.0
C28,100nF,C_0603_1608Metric,78.0,-64.0,top,0.0
C29,100uF,C_1210_3225Metric,90.5,-63.4,top,0.0
C3,330pF,C_0603_1608Metric,53.8,-41.8,top,0.0
C30,100uF,C_1210_3225Metric,95.6,-63.5,top,0.0
C31,100uF,C_1210_3225Metric,94.0,-81.5,top,0.0
C32,100uF,C_1210_3225Metric,99.1,-80.6,top,0.0
C33,100nF,C_0603_1608Metric,113.0,-46.0,top,0.0
C34,100nF,C_0603_1608Metric,115.5,-73.0,top,0.0
C35,100nF,C_0603_1608Metric,104.0,-30.0,top,0.0
C36,100nF,C_0603_1608Metric,104.0,-52.0,top,0.0
C37,100nF,C_0603_1608Metric,104.0,-74.0,top,0.0
C38,22uF,C_0805_2012Metric,119.5,-31.8,top,0.0
C39,22uF,C_0805_2012Metric,119.5,-53.8,top,0.0
C4,3.3nF,C_0603_1608Metric,57.3,-48.0,top,0.0
C40,22uF,C_0805_2012Metric,119.5,-75.8,top,0.0
C41,100nF,C_0603_1608Metric,120.0,-34.0,top,0.0
C42,100nF,C_0603_1608Metric,120.0,-56.0,top,0.0
C43,100nF,C_0603_1608Metric,120.0,-78.0,top,0.0
C49,10uF,C_1210_3225Metric,121.7,-87.1,top,0.0
C5,100pF,C_0603_1608Metric,59.0,-46.0,top,0.0
C50,10uF,C_1210_3225Metric,125.5,-91.0,top,0.0
C53,1nF,C_0805_2012Metric,88.9,-47.0,top,0.0
C54,1nF,C_0805_2012Metric,88.9,-85.0,top,0.0
C6,10nF,C_0603_1608Metric,57.0,-44.0,top,0.0
C7,1uF,C_0603_1608Metric,69.5,-30.0,top,0.0
C8,1uF,C_0603_1608Metric,64.0,-32.0,top,0.0
C9,10uF,C_1210_3225Metric,62.0,-26.0,top,0.0
D1,C83846,D_SMB,44.0,-66.0,top,0.0
D2,C173429,D_SOD-123,33.0,-73.0,top,0.0
D3,C2128,D_SOD-323,66.0,-30.0,top,0.0
D4,C2128,D_SOD-323,66.0,-68.0,top,0.0
D5,C113976,D_SMB,119.0,-96.0,top,0.0
F2,C6165170,Fuse_2920_7451Metric,114.0,-90.0,top,0.0
J1,C98732,XT60PW-M_EdgeTrim,30.0,-44.0,top,0.0
J2,C503996,KH-AF90DIP-112_Horizontal,139.0,-38.0,top,90.0
J3,C503996,KH-AF90DIP-112_Horizontal,139.0,-60.0,top,90.0
J4,C503996,KH-AF90DIP-112_Horizontal,139.0,-82.0,top,90.0
J5,C5337088,TYPE-C-31-M-12_EdgeTrim,120.0,-109.0,top,0.0
L1,C408523,L_Sunlord_MWSA1206S-6R8,90.0,-34.0,top,0.0
L2,C408523,L_Sunlord_MWSA1206S-6R8,90.0,-72.0,top,0.0
Q1,C2760089,PowerPAK_SO-8_Single,36.0,-66.0,top,90.0
Q2,C404363,PowerPAK_SO-8_Single,76.0,-30.0,top,90.0
Q3,C404363,PowerPAK_SO-8_Single,76.0,-38.0,top,270.0
Q4,C404363,PowerPAK_SO-8_Single,76.0,-68.0,top,90.0
Q5,C404363,PowerPAK_SO-8_Single,76.0,-76.0,top,270.0
Q6,C2760089,PowerPAK_SO-8_Single,104.0,-90.0,top,90.0
Q7,C78284,SOT-23,104.0,-96.0,top,180.0
R1,100kΩ,R_0603_1608Metric,41.0,-72.0,top,0.0
R10,0Ω,R_0603_1608Metric,76.0,-47.0,top,0.0
R11,12.4kΩ,R_0603_1608Metric,53.0,-72.0,top,0.0
R12,4.12kΩ,R_0603_1608Metric,53.0,-82.0,top,0.0
R13,1.21kΩ,R_0603_1608Metric,51.6,-84.5,top,0.0
R14,18kΩ,R_0603_1608Metric,55.0,-84.0,top,0.0
R15,49.9kΩ,R_0603_1608Metric,53.0,-74.0,top,0.0
R16,6.98kΩ,R_0603_1608Metric,53.0,-76.0,top,0.0
R17,100kΩ,R_0603_1608Metric,53.0,-78.0,top,0.0
R18,0Ω,R_0603_1608Metric,68.1,-81.7,top,0.0
R19,0Ω,R_0603_1608Metric,76.0,-85.0,top,0.0
R2,12.4kΩ,R_0603_1608Metric,53.0,-34.0,top,0.0
R20,36.5kΩ,R_0603_1608Metric,112.0,-30.0,top,0.0
R21,36.5kΩ,R_0603_1608Metric,112.0,-52.0,top,0.0
R22,36.5kΩ,R_0603_1608Metric,112.5,-74.9,top,0.0
R27,0Ω,R_0603_1608Metric,132.0,-106.0,top,0.0
R28,10kΩ,R_0402_1005Metric,115.2,-102.8,top,0.0
R29,10kΩ,R_0402_1005Metric,121.8,-102.8,top,0.0
R3,3.92kΩ,R_0603_1608Metric,53.0,-44.0,top,0.0
R30,100kΩ,R_0603_1608Metric,108.8,-94.3,top,0.0
R34,2.2Ω,R_1206_3216Metric,86.0,-44.5,top,0.0
R35,2.2Ω,R_1206_3216Metric,86.0,-82.5,top,0.0
R4,1.21kΩ,R_0603_1608Metric,51.6,-46.5,top,0.0
R5,18kΩ,R_0603_1608Metric,55.0,-46.0,top,0.0
R6,49.9kΩ,R_0603_1608Metric,53.0,-36.0,top,0.0
R7,6.98kΩ,R_0603_1608Metric,53.0,-38.0,top,0.0
R8,100kΩ,R_0603_1608Metric,53.0,-40.0,top,0.0
R9,0Ω,R_0603_1608Metric,68.1,-43.7,top,0.0
RS1,10mΩ,R_2512_6332Metric,72.0,-46.0,top,270.0
RS2,10mΩ,R_2512_6332Metric,72.0,-84.0,top,270.0
U10,C7519,SOT-23-6,131.0,-85.0,top,270.0
U11,C13755,HTSSOP-20-1EP_4.4x6.5mm_P0.65mm_EP3.4x6.5mm_Mask2.75x3.43mm,60.0,-76.0,top,270.0
U12,C7519,SOT-23-6,126.0,-101.7,top,90.0
U2,C13755,HTSSOP-20-1EP_4.4x6.5mm_P0.65mm_EP3.4x6.5mm_Mask2.75x3.43mm,60.0,-38.0,top,270.0
U3,C130056,VSON-8-1EP_3x3mm_P0.65mm_EP1.65x2.4mm,108.0,-34.0,top,270.0
U4,C130056,VSON-8-1EP_3x3mm_P0.65mm_EP1.65x2.4mm,108.0,-56.0,top,270.0
U5,C130056,VSON-8-1EP_3x3mm_P0.65mm_EP1.65x2.4mm,108.0,-78.0,top,270.0
U6,C473910,SOT-23-6,111.0,-49.0,top,270.0
U7,C473910,SOT-23-6,111.0,-72.0,top,270.0
U8,C7519,SOT-23-6,131.0,-41.0,top,270.0
U9,C7519,SOT-23-6,131.0,-63.0,top,270.0
