Comment,Designator,Footprint,MPN,LCSC
0Ω,"R10,R18,R19,R27,R9",R_0603_1608Metric,0603WAF0000T5E,C21189
1.21kΩ,"R13,R4",R_0603_1608Metric,FRC0603F1211TS,C5126242
100kΩ,"R1,R17,R30,R8",R_0603_1608Metric,0603WAF1003T5E,C25803
100nF,"C13,C28,C33,C34,C35,C36,C37,C41,C42,C43",C_0603_1608Metric,CC0603KRX7R9BB104,C14663
100pF,"C20,C5",C_0603_1608Metric,CL10C101JB8NNNC,C14858
100uF,"C14,C15,C16,C17,C29,C30,C31,C32",C_1210_3225Metric,GRM32ER61A107ME20L,C84455
10kΩ,"R28,R29",R_0402_1005Metric,0402WGF1002TCE,C25744
10mΩ,"RS1,RS2",R_2512_6332Metric,25121WF100MT4E,C127692
10nF,"C21,C6",C_0603_1608Metric,0603B103K500NT,C57112
10uF,"C49,C50",C_1210_3225Metric,GRM32DR71E106KA12L,C77100
10uF,"C10,C11,C12,C24,C25,C26,C27,C9",C_1210_3225Metric,GRM32ER71H106KA12L,C77102
12.4kΩ,"R11,R2",R_0603_1608Metric,0603WAF1242T5E,C22865
160kΩ,R42,R_0402_1005Metric,,C25757
18kΩ,"R14,R5",R_0603_1608Metric,0603WAF1802T5E,C25810
1nF,"C53,C54",C_0805_2012Metric,CC0805JRNPO9BN102,C62774
1uF,"C22,C23,C7,C8",C_0603_1608Metric,CL10A105KB8NNNC,C15849
2.2Ω,"R34,R35",R_1206_3216Metric,RC1206FR-072R2L,C137327
22uF,"C38,C39,C40",C_0805_2012Metric,CL21A226MPQNNNE,C29277
3.3nF,"C19,C4",C_0603_1608Metric,CL10B332KB8NNNC,C1613
3.92kΩ,R3,R_0603_1608Metric,RT0603BRD073K92L,C728591
330pF,"C18,C3",C_0603_1608Metric,CL10C331JB8NNNC,C1664
36.5kΩ,"R20,R21,R22",R_0603_1608Metric,FRC0603F3652TS,C2930095
4.12kΩ,R12,R_0603_1608Metric,AR03BTCX4121,C2984354
49.9kΩ,"R15,R6",R_0603_1608Metric,0603WAF4992T5E,C23184
6.98kΩ,"R16,R37,R38,R39,R40,R41,R7",R_0603_1608Metric,0603WAF6981T5E,C23215
C113976,D5,D_SMB,SMBJ6.0A,C113976
C130056,"U3,U4,U5",VSON-8-1EP_3x3mm_P0.65mm_EP1.65x2.4mm,TPS2557DRBR,C130056
C13755,"U11,U2",HTSSOP-20-1EP_4.4x6.5mm_P0.65mm_EP3.4x6.5mm_Mask2.75x3.43mm,LM5116MHX/NOPB,C13755
C173429,D2,D_SOD-123,BZT52C12,C173429
C2128,"D3,D4",D_SOD-323,1N4148WS,C2128
C2296,D8,LED_0805_2012Metric,,C2296
C2297,"D10,D11,D12,D9",LED_0805_2012Metric,,C2297
C2760089,"Q1,Q6",PowerPAK_SO-8_Single_Paste65,AON6403,C2760089
C2939728,SW1,SW_Slide_1P2T_CK-12D07,SS12D07VG6 087,C2939728
C2982822,"C1,C2",CP_Elec_6.3x7.7,KNM2100UF35V149EC0055,C2982822
C404363,"Q2,Q3,Q4,Q5",PowerPAK_SO-8_Single_Paste65,AON6354,C404363
C408523,"L1,L2",L_Sunlord_MWSA1206S-6R8,MWSA1206S-6R8MT,C408523
C473910,"U6,U7",SOT-23-6,TPS2513ADBVR,C473910
C503996,"J2,J3,J4",KH-AF90DIP-112_Horizontal,KH-AF90DIP-112,C503996
C5249699,F1,Fuseholder_Blade_Mini_Keystone_3568,3568,C5249699
C5337088,J5,TYPE-C-31-M-12_EdgeTrim,TYPE-C-31-M-12A,C5337088
C6165170,F2,Fuse_2920_7451Metric,SMD2920-700/16N,C6165170
C7519,"U10,U12,U8,U9",SOT-23-6,USBLC6-2SC6,C7519
C78284,"Q7,Q8",SOT-23,BSS138,C78284
C83846,D1,D_SMB,SMBJ15A,C83846
C98732,J1,XT60PW-M_EdgeTrim,XT60PW-M,C98732
