Comment,Designator,Footprint,MPN,LCSC
8A 36V power module,U1,B3QFN-22,TPSM63610RDFR,C7125816
4A 36V power module,U2,B3QFN-20,TPSM63604RDLR,C5219289
USB-C source controller,U3,WQFN-20,TPS25810RVCR,C473913
USB-A current-limited switch,"U4,U5,U6",VSON-8,TPS2557DRBR,C130056
Dual USB-A charging signature controller,"U7,U8",SOT-23-6,TPS2513ADBVR,C473910
USB data-line ESD array,"D2,D3,D4",SOT-23-6,USBLC6-2SC6,C7519
USB-C CC ESD clamp,D6,SOT-9X3,TPD2EUSB30DRTR,C97502
P-channel reverse-polarity MOSFET,Q1,PowerDI3333-8,DMP3013SFV-7,C264098
12V MOSFET gate clamp,D5,SOD-123,BZT52C12-7-F,C124196
15V input TVS,D1,SMB,SMBJ15A,C83846
100uF 35V input damping capacitor,C1,SMD-D6.3x8,35TZV100M6.3X8,C88744
USB-C receptacle,J5,USB-C-16P,USB4105-GF-A,C3020560
3A USB-A receptacle,"J2,J3,J4",USB-A-THT,USB1130-15-A,C5815149
Two-position input terminal,J1,THT-P5.0,1715022,C3817933
Mini blade fuse holder,F1,Keystone-3568,3568,C5249699
Master slide switch,SW1,THT-SPDT,EG1218,C273394
