Comment,Designator,Footprint,MPN,LCSC
0Ω,"R3,R9",R_0603_1608Metric,0603WAF0000T5E,C21189
100kΩ,"R1,R13,R15,R17,R19,R21,R22,R23,R7",R_0603_1608Metric,0603WAF1003T5E,C25803
100kΩ,R14,R_0603_1608Metric,TNPW0603100KBEEA,C844888
100nF,"C12,C14,C15,C16,C20,C21",C_0402_1005Metric,CL05B104KO5NNNC,C1525
100uF,C22,CP_Elec_6.3x5.8,160AV5K101M0606C,C2919856
10kΩ,R6,R_0603_1608Metric,RT0603BRD0710KL,C95204
10uF,C13,C_1210_3225Metric,CL32B106KAJNNNE,C39232
10uF,"C2,C3,C4,C5",C_1210_3225Metric,GRM32ER71H106KA12L,C77102
13kΩ,R10,R_0603_1608Metric,0603WAF1302T5E,C22797
15.8kΩ,R4,R_0603_1608Metric,0603WAF1582T5E,C22880
1715022,J1,Phoenix_MKDS_1.5_2_1715022,1715022,C3817933
180uF,C23,CP_Elec_6.3x5.8,16SVPF180M,C136277
1MΩ,R2,R_0603_1608Metric,0603WAF1004T5E,C22935
1kΩ,R12,R_0603_1608Metric,RT0603BRD071KL,C110776
20kΩ,R8,R_0603_1608Metric,0603WAF2002T5E,C4184
210Ω,R26,R_0603_1608Metric,PTFR0603B210RP9,C478880
22uF,"C10,C11,C24,C25,C26,C6,C7,C8,C9",C_1210_3225Metric,C3225X7R1C226KT000N,C342660
24.3Ω,R24,R_0603_1608Metric,RT0603BRD0724R3L,C861251
3.3nF,C30,C_0603_1608Metric,GRM1885C1H332JA01D,C77036
3568,F1,Keystone_3568_Mini_Blade_Fuse_Holder,3568,C5249699
35TZV100M6.3X8,C1,Rubycon_TZV_D6.3x8,35TZV100M6.3X8,C88744
4.12kΩ,R11,R_0603_1608Metric,RT0603BRD074K12L,C861436
41.2kΩ,R5,R_0603_1608Metric,AT0603BRD0741K2L,C855851
43.2kΩ,"R16,R18,R20",R_0603_1608Metric,RT0603BRD0743K2L,C861404
47nF,C29,C_1206_3216Metric,C1206N473J050T,C5451690
BZT52C12-7-F,D5,D_SOD-123,BZT52C12-7-F,C124196
DMP3013SFV-7,Q1,Diodes_PowerDI3333-8_Type_UX,DMP3013SFV-7,C264098
EEEFK1A151P,"C17,C18,C19",CP_Elec_6.3x5.8,EEEFK1A151P,C264054
EG1218,SW1,E_Switch_EG1218,EG1218,C273394
SMBJ15A,D1,D_SMB,SMBJ15A,C83846
TPD2EUSB30DRTR,D6,SOT-9X3,TPD2EUSB30DRTR,C97502
TPS2513ADBVR,"U7,U8",SOT-23-6,TPS2513ADBVR,C473910
TPS2559DRCR,"U4,U5,U6",Texas_DRC0010J,TPS2559DRCR,C206199
TPS25810RVCR,U3,Texas_RVC0020A_WQFN-20-1EP_3x4mm_P0.5mm_EP1.6x2.6mm_ThermalVias,TPS25810RVCR,C473913
TPS259827ONRGET,U9,TI_TPS25982_RGE0024_SplitPad_ThermalVias,TPS259827ONRGET,C2155765
TPSM63604RDLR,U2,Texas_RDL0020A_B3QFN-20_5x5.5mm_ThermalVias,TPSM63604RDLR,C5219289
TPSM63610RDFR,U1,Texas_RDF0022A_B3QFN-22_6.5x7.5mm_ThermalVias,TPSM63610RDFR,C7125816
USB1130-15-A,"J2,J3,J4",USB_A_GCT_USB1130-15-A_Horizontal,USB1130-15-A,C5815149
USB4105-GF-A,J5,GCT_USB4105_GF_A,USB4105-GF-A,C3020560
USBLC6-2SC6,"D2,D3,D4",SOT-23-6,USBLC6-2SC6,C7519
