Designator,Val,Package,Mid X,Mid Y,Layer,Rotation
C1,C88744,Rubycon_TZV_D6.3x8,54.0,-50.0,top,90.0
C10,22uF,C_1210_3225Metric,94.7,-92.0,top,0.0
C11,22uF,C_1210_3225Metric,94.7,-96.0,top,0.0
C12,100nF,C_0402_1005Metric,101.0,-94.5,top,180.0
C13,10uF,C_1210_3225Metric,111.0,-97.0,top,0.0
C14,100nF,C_0402_1005Metric,106.0,-32.0,top,180.0
C15,100nF,C_0402_1005Metric,106.0,-56.0,top,180.0
C16,100nF,C_0402_1005Metric,106.0,-80.0,top,180.0
C17,C264054,CP_Elec_6.3x5.8,118.0,-32.0,top,0.0
C18,C264054,CP_Elec_6.3x5.8,118.0,-56.0,top,0.0
C19,C264054,CP_Elec_6.3x5.8,118.0,-80.0,top,0.0
C2,10uF,C_1210_3225Metric,64.25,-52.5,top,180.0
C20,100nF,C_0402_1005Metric,124.0,-44.0,top,0.0
C21,100nF,C_0402_1005Metric,124.0,-72.0,top,0.0
C22,100uF,CP_Elec_6.3x5.8,84.0,-66.5,top,0.0
C23,180uF,CP_Elec_6.3x5.8,97.0,-101.5,top,180.0
C24,22uF,C_1210_3225Metric,82.2,-50.0,top,0.0
C25,22uF,C_1210_3225Metric,82.2,-54.0,top,0.0
C26,22uF,C_1210_3225Metric,82.2,-58.0,top,0.0
C29,47nF,C_1206_3216Metric,91.5,-60.5,top,270.0
C3,10uF,C_1210_3225Metric,64.25,-57.5,top,180.0
C30,3.3nF,C_0603_1608Metric,98.2,-55.25,top,0.0
C4,10uF,C_1210_3225Metric,82.55,-89.0,top,180.0
C5,10uF,C_1210_3225Metric,82.55,-93.0,top,180.0
C6,22uF,C_1210_3225Metric,77.45,-50.0,top,0.0
C7,22uF,C_1210_3225Metric,77.45,-54.0,top,0.0
C8,22uF,C_1210_3225Metric,77.45,-58.0,top,0.0
C9,22uF,C_1210_3225Metric,94.7,-88.0,top,0.0
D1,C83846,D_SMB,63.0,-43.0,top,0.0
D2,C7519,SOT-23-6,146.0,-42.0,top,0.0
D3,C7519,SOT-23-6,146.0,-66.0,top,0.0
D4,C7519,SOT-23-6,146.0,-90.0,top,0.0
D5,C124196,D_SOD-123,61.0,-33.0,top,0.0
D6,C97502,SOT-9X3,115.25,-99.5,top,270.0
J5,C3020560,GCT_USB4105_GF_A,115.0,-105.022,top,0.0
Q1,C264098,Diodes_PowerDI3333-8_Type_UX,56.96,-38.0,top,90.0
R1,100kΩ,R_0603_1608Metric,57.2,-29.5,top,0.0
R10,13kΩ,R_0603_1608Metric,87.5,-86.0,top,90.0
R11,4.12kΩ,R_0603_1608Metric,92.0,-84.5,top,270.0
R12,1kΩ,R_0603_1608Metric,91.5,-90.0,top,90.0
R13,100kΩ,R_0603_1608Metric,90.75,-97.0,top,0.0
R14,100kΩ,R_0603_1608Metric,105.5,-101.5,top,0.0
R15,100kΩ,R_0603_1608Metric,101.0,-89.5,top,0.0
R16,43.2kΩ,R_0603_1608Metric,112.0,-36.2,top,90.0
R17,100kΩ,R_0603_1608Metric,108.5,-36.5,top,0.0
R18,43.2kΩ,R_0603_1608Metric,112.0,-60.2,top,90.0
R19,100kΩ,R_0603_1608Metric,108.5,-60.5,top,0.0
R2,1MΩ,R_0603_1608Metric,61.0,-48.0,top,0.0
R20,43.2kΩ,R_0603_1608Metric,112.0,-84.2,top,90.0
R21,100kΩ,R_0603_1608Metric,108.5,-84.5,top,0.0
R22,100kΩ,R_0603_1608Metric,50.8,-33.0,top,0.0
R23,100kΩ,R_0603_1608Metric,54.0,-33.0,top,0.0
R24,24.3Ω,R_0603_1608Metric,94.0,-84.5,top,270.0
R26,210Ω,R_0603_1608Metric,94.7,-59.25,top,270.0
R3,0Ω,R_0603_1608Metric,69.4,-60.5,top,0.0
R4,15.8kΩ,R_0603_1608Metric,71.5,-49.5,top,90.0
R5,41.2kΩ,R_0603_1608Metric,73.5,-60.5,top,90.0
R6,10kΩ,R_0603_1608Metric,75.0,-63.0,top,0.0
R7,100kΩ,R_0603_1608Metric,74.0,-49.5,top,270.0
R8,20kΩ,R_0603_1608Metric,69.0,-49.5,top,90.0
R9,0Ω,R_0603_1608Metric,87.5,-95.5,top,0.0
U1,C7125816,Texas_RDF0022A_B3QFN-22_6.5x7.5mm_ThermalVias,71.0,-55.0,top,90.0
U2,C5219289,Texas_RDL0020A_B3QFN-20_5x5.5mm_ThermalVias,87.775,-91.0,top,90.0
U3,C473913,Texas_RVC0020A_WQFN-20-1EP_3x4mm_P0.5mm_EP1.6x2.6mm_ThermalVias,105.0,-97.0,top,270.0
U4,C206199,Texas_DRC0010J,110.0,-32.0,top,270.0
U5,C206199,Texas_DRC0010J,110.0,-56.0,top,270.0
U6,C206199,Texas_DRC0010J,110.0,-80.0,top,270.0
U7,C473910,SOT-23-6,128.0,-44.0,top,270.0
U8,C473910,SOT-23-6,128.0,-72.0,top,270.0
U9,C2155765,TI_TPS25982_RGE0024_SplitPad_ThermalVias,94.0,-55.0,top,270.0
