LCSC,Ref,Status,Detail
C21189,R7,OK,fit=0.08mm jlc_offset=0 db=0.0
C21189,R8,OK,fit=0.08mm jlc_offset=0 db=0.0
C137779,R3,OK,fit=0.08mm jlc_offset=0 db=0.0
C25803,R13,OK,fit=0.08mm jlc_offset=0 db=0.0
C25803,R9,OK,fit=0.08mm jlc_offset=0 db=0.0
C14663,C21,OK,fit=0.08mm jlc_offset=0 db=0.0
C14663,C22,OK,fit=0.08mm jlc_offset=0 db=0.0
C14663,C27,OK,fit=0.07mm jlc_offset=0 db=0.0
C14663,C33,OK,fit=0.08mm jlc_offset=0 db=0.0
C14663,C34,OK,fit=0.08mm jlc_offset=0 db=0.0
C14663,C35,OK,fit=0.08mm jlc_offset=0 db=0.0
C14663,C39,OK,fit=0.08mm jlc_offset=0 db=0.0
C14663,C4,OK,fit=0.08mm jlc_offset=0 db=0.0
C14663,C40,OK,fit=0.08mm jlc_offset=0 db=0.0
C14663,C41,OK,fit=0.08mm jlc_offset=0 db=0.0
C14663,C42,OK,fit=0.08mm jlc_offset=0 db=0.0
C14663,C43,OK,fit=0.08mm jlc_offset=0 db=0.0
C14663,C9,OK,fit=0.08mm jlc_offset=0 db=0.0
C14858,C16,OK,fit=0.07mm jlc_offset=0 db=0.0
C90143,C10,OK,fit=0.05mm jlc_offset=0 db=0.0
C90143,C11,OK,fit=0.05mm jlc_offset=0 db=0.0
C90143,C12,OK,fit=0.05mm jlc_offset=0 db=0.0
C90143,C13,OK,fit=0.05mm jlc_offset=0 db=0.0
C98220,R21,OK,fit=0.08mm jlc_offset=0 db=0.0
C98220,R22,OK,fit=0.08mm jlc_offset=0 db=0.0
C98220,R23,OK,fit=0.08mm jlc_offset=0 db=0.0
C98220,R24,OK,fit=0.08mm jlc_offset=0 db=0.0
C98220,R26,OK,fit=0.08mm jlc_offset=0 db=0.0
C98220,R27,OK,fit=0.08mm jlc_offset=0 db=0.0
C127692,RS1,OK,fit=0.11mm jlc_offset=0 db=0.0
C57112,C17,OK,fit=0.07mm jlc_offset=0 db=0.0
C77100,C28,OK,fit=0.05mm jlc_offset=0 db=0.0
C77100,C29,OK,fit=0.05mm jlc_offset=0 db=0.0
C77100,C3,OK,fit=0.05mm jlc_offset=0 db=0.0
C77100,C5,OK,fit=0.04mm jlc_offset=0 db=0.0
C77100,C6,OK,fit=0.04mm jlc_offset=0 db=0.0
C77100,C7,OK,fit=0.04mm jlc_offset=0 db=0.0
