Comment,Designator,Footprint,LCSC,qty,status,code,type,stock,mpn,pkg,price
100k EN-A hi (8.5V on),R4,R_0402_1005Metric,C25741,1,OK,C25741,base,169980,0402WGF1003TCE,0402,0.0065
100n,"C1,C15,C2,C20,C21,C22,CA3,CB3",C_0402_1005Metric,C131394,8,OK,C131394,expand,454066,CC0402KRX7R9BB104,0402,0.0095
100u hybrid 35V,CE1,CP_Elec_8x10,C454289,1,OK,C454289,expand,17,EEHZA1V101P,"SMD,D8xL10.2mm",0.9225
10k,"R19,R20",R_0402_1005Metric,C60490,2,OK,C60490,expand,4883639,RC0402FR-0710KL,0402,0.0058
10u 50V X7R,"CA51,CA52,CA53,CB51,CB52,CB53",C_1210_3225Metric,C77102,6,OK,C77102,expand,217985,GRM32ER71H106KA12L,1210,0.628
13k RC1,"RA5,RB5",R_0402_1005Metric,C25754,2,OK,C25754,expand,309290,0402WGF1302TCE,0402,0.0016
15A ATO,F1,FuseHolder_ATO_FLR_EdgeTrim,C207061,1,OK,C207061,expand,489,178.6165.0002,Plugin,2.4821
16k5,"R34,R5,RA1,RB1",R_0402_1005Metric,C226807,4,OK,C226807,expand,3659,AC0402FR-0716K5L,0402,0.0019
18p CILIM,"CA4,CB4",C_0402_1005Metric,C1549,2,OK,C1549,base,1691262,0402CG180J500NT,0402,0.0079
1k,"R22,R23",R_0402_1005Metric,C11702,2,OK,C11702,base,449375,0402WGF1001TCE,0402,0.008
1n2 CC3,"CA10,CB10",C_0402_1005Metric,C107021,2,OK,C107021,expand,64630,CC0402KRX7R9BB122,0402,0.0023
20k,"R21,R33,RA3,RB3",R_0402_1005Metric,C25765,4,OK,C25765,base,556530,0402WGF2002TCE,0402,0.0305
220u poly 25mR,"CA7,CB7",CP_Elec_6.3x5.9,C128504,2,OK,C128504,expand,2051,6SVPC220MV,"SMD,D6.3xL6mm",1.008
22u port,"C30,C31,C32,C33,C34",C_1206_3216Metric,C12891,5,OK,C12891,base,696273,CL31A226KAHNNNE,1206,0.4136
24k3 RILIM (2.51A),"R16,R17,R18",R_0402_1005Metric,C276264,3,OK,C276264,expand,11163,RC0402FR-0724K3L,0402,0.0014
2u2,"C16,CA2,CB2",C_0603_1608Metric,C23630,3,OK,C23630,base,4167680,CL10A225KO8NNNC,0603,0.0288
348R RILIM (wc 6.3A),RA2,R_0402_1005Metric,C852731,1,OK,C852731,expand,19843,RT0402BRD07348RL,0402,0.0257
39p CC2,"CA9,CB9",C_0402_1005Metric,C106223,2,OK,C106223,expand,370487,CC0402JRNPO9BN390,0402,0.0099
3k74 RFB2 (5.08V),"RA4,RB4",R_0402_1005Metric,C15172,2,OK,C15172,expand,33065,0402WGF3741TCE,0402,0.0013
432R RILIM (wc 7.8A),RB2,R_0402_1005Metric,C137981,1,OK,C137981,expand,10002,RC0402FR-07432RL,0402,0.004
47n,"C3,CA1,CB1",C_0402_1005Metric,C82219,3,OK,C82219,expand,458660,0402B473K500NT,0402,0.0126
47u 10V X7R,"CA61,CA62,CA63,CA64,CB61,CB62,CB63,CB64",C_1210_3225Metric,C84494,8,OK,C84494,expand,41902,GRM32ER71A476KE15L,1210,1.2015
4k64 RC2,"RA6,RB6",R_0402_1005Metric,C60154,2,OK,C60154,expand,9363,0402WGF4641TCE,0402,0.0006
52k3 ladder-mid (UVLO 9.33V),R2,R_0402_1005Metric,C26982,1,OK,C26982,expand,21641,0402WGF5232TCE,0402,0.0016
82k5 ladder-bot (OV 15.25V),R3,R_0402_1005Metric,C453769,1,OK,C453769,expand,12353,RC-02K8252FT,0402,0.0009
887k ladder-top,R1,R_0402_1005Metric,C409935,1,OK,C409935,expand,11753,ERJ2RKF8873X,0402,0.0046
8n2 CC1,"CA8,CB8",C_0402_1005Metric,C45186,2,OK,C45186,expand,203419,0402B822K500NT,0402,0.0044
CSD18543Q3A,"Q1,Q2,QA1,QA2,QB1,QB2",VSON-8_3.3x3.3mm_P0.65mm_NexFET,C840100,6,OK,C840100,expand,1100,CSD18543Q3A,VSONP-8(3.3x3.3),0.7548
LM5145,"U2,U3",VQFN-20_3.5x4.5_P0.5_LM5145RGY,C485912,2,OK,C485912,expand,478,LM5145RGYR,VQFN-20-EP(3.5x4.5),2.5562
LM74800-Q1,U1,WSON-12_3x3_P0.5_LM74800DRR,C3215600,1,OK,C3215600,expand,1805,LM74800QDRRRQ1,SON-12(3x3),1.816
MWSA1005S-3R3 16A,"LA1,LB1",L_Sunlord_MWSA1005S,C17700181,2,OK,C17700181,expand,303,MWSA1005S-3R3MT,"SMD,11.5x10mm",0.295
SMBJ16A,D1,D_SMB,C353386,1,OK,C353386,expand,141828,SMBJ16A,SMB,0.0394
SMBJ5.0A,"D2,D3",D_SMB,C113974,2,OK,C113974,expand,97242,SMBJ5.0A,DO-214AA(SMB),0.0581
TPS2557 2.5A,"U4,U5,U6",VSON-8-1EP_3x3mm_P0.65mm_EP1.65x2.4mm,C130056,3,OK,C130056,expand,7816,TPS2557DRBR,SON-8(3x3),1.2128
USB4105-GF-A,J5,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,C3020560,1,OK,C3020560,expand,4629,USB4105-GF-A,SMD,1.0516
XT60_BATT,J1,XT60PW-M_EdgeTrim,C98732,1,OK,C98732,expand,9372,XT60PW-M,-,0.5951
green,"D4,D5",LED_0805_2012Metric,C2297,2,OK,C2297,base,3251734,KT-0805G,0805,0.0162
