Designator,Val,Package,Mid X,Mid Y,Layer,Rotation
CB1,100uF 25V polymer,CP_Elec_6.3x5.9,134.0,-134.0,top,180.0
CB2,100uF 25V polymer,CP_Elec_6.3x5.9,134.0,-144.0,top,180.0
CBS1,100nF,C_0603_1608Metric,154.6,-125.3,top,0.0
CBS2,100nF,C_0603_1608Metric,154.6,-153.3,top,0.0
CIN_A1,10uF 25V X7R,C_1206_3216Metric,149.0,-114.5,top,90.0
CIN_A2,10uF 25V X7R,C_1206_3216Metric,149.0,-121.5,top,90.0
CIN_C1,10uF 25V X7R,C_1206_3216Metric,149.0,-142.5,top,90.0
CIN_C2,10uF 25V X7R,C_1206_3216Metric,149.0,-149.5,top,90.0
COUT_A1,22uF 16V X7R,C_1210_3225Metric,170.5,-110.0,top,0.0
COUT_A2,22uF 16V X7R,C_1210_3225Metric,170.5,-114.5,top,0.0
COUT_A3,22uF 16V X7R,C_1210_3225Metric,170.5,-121.5,top,0.0
COUT_A4,22uF 16V X7R,C_1210_3225Metric,170.5,-126.0,top,0.0
COUT_C1,22uF 16V X7R,C_1210_3225Metric,166.0,-151.2,top,0.0
COUT_C2,22uF 16V X7R,C_1210_3225Metric,166.0,-154.6,top,0.0
COUT_C3,22uF 16V X7R,C_1210_3225Metric,166.0,-158.0,top,0.0
COUT_C4,22uF 16V X7R,C_1210_3225Metric,171.0,-158.0,top,0.0
CVCC1,2.2uF,C_0603_1608Metric,151.8,-123.6,top,0.0
CVCC2,2.2uF,C_0603_1608Metric,151.8,-151.6,top,0.0
D1,SMBJ15A,D_SMB,125.5,-137.8,top,0.0
F1,15A,Fuse_Littelfuse-NANO2-451_453,114.8,-127.4,top,0.0
J1,XT60PW-M,AMASS_XT60PW-M_1x02_P7.20mm_Horizontal,107.5,-134.6,top,0.0
J2,USB-A,USB_A_Stewart_SS-52100-001_Horizontal,180.0,-112.5,top,90.0
J3,USB-A,USB_A_Stewart_SS-52100-001_Horizontal,180.0,-129.9,top,90.0
J4,USB-A,USB_A_Stewart_SS-52100-001_Horizontal,180.0,-147.3,top,90.0
J5,TYPE-C-31-M-12A,USB_C_Receptacle_HRO_TYPE-C-31-M-12,186.0,-158.2,top,180.0
L1,1.5uH,L_FXL0630_7.0x6.6mm,163.0,-118.0,top,0.0
L2,2.2uH,L_FXL0630_7.0x6.6mm,163.0,-146.0,top,0.0
LED1,red,LED_0805_2012Metric,127.0,-155.5,top,270.0
LED2,green,LED_0805_2012Metric,173.0,-105.5,top,0.0
LED3,green,LED_0805_2012Metric,176.6,-151.0,top,0.0
Q1,AOD4185,TO-252-2,124.0,-124.0,top,90.0
R1,100k,R_0603_1608Metric,120.0,-133.0,top,90.0
R2,1k,R_0603_1608Metric,127.0,-151.5,top,90.0
R3,10k 1%,R_0603_1608Metric,178.0,-153.4,top,0.0
R4,10k 1%,R_0603_1608Metric,173.6,-153.8,top,0.0
R5,1k,R_0603_1608Metric,177.0,-105.5,top,0.0
R6,1k,R_0603_1608Metric,172.8,-151.0,top,0.0
RFA1,22k 1%,R_0603_1608Metric,154.5,-127.2,top,0.0
RFA2,3k 1%,R_0603_1608Metric,158.0,-127.2,top,0.0
RFC1,22k 1%,R_0603_1608Metric,154.5,-155.1,top,0.0
RFC2,3k 1%,R_0603_1608Metric,158.0,-155.1,top,0.0
U1,SY8368QNC,QFN3x3-10_FC_SY8368,152.0,-118.0,top,180.0
U2,SY8368QNC,QFN3x3-10_FC_SY8368,152.0,-146.0,top,180.0
U3,USBLC6-2SC6,SOT-23-6,176.0,-109.0,top,270.0
U4,USBLC6-2SC6,SOT-23-6,176.0,-126.4,top,270.0
U5,USBLC6-2SC6,SOT-23-6,176.0,-143.8,top,270.0
U6,USBLC6-2SC6,SOT-23-6,178.0,-156.0,top,270.0
