LCSC,Ref,Status,Detail
C167217,L1,OK,fit=0.00mm jlc_offset=0 db=0.0
C25803,R1,OK,fit=0.08mm jlc_offset=0 db=0.0
C1591,CBS1,OK,fit=0.08mm jlc_offset=0 db=0.0
C1591,CBS2,OK,fit=0.08mm jlc_offset=0 db=0.0
C46550465,CB1,POLARITY-CHECK,"2-pad polarized part: verify the model's polarity marking vs our silk in the render (if the model is unmarked, verify via the JLC order preview) - machine checks cannot see a 180-flipped symmetric model"
C46550465,CB1,ROT-DB-SUGGEST,"fit=0.13mm jlc_offset=0 db=180.0 -> add: CP_Elec_6.3x5.9,0"
C46550465,CB2,POLARITY-CHECK,"2-pad polarized part: verify the model's polarity marking vs our silk in the render (if the model is unmarked, verify via the JLC order preview) - machine checks cannot see a 180-flipped symmetric model"
C46550465,CB2,ROT-DB-SUGGEST,"fit=0.13mm jlc_offset=0 db=180.0 -> add: CP_Elec_6.3x5.9,0"
C25804,R3,OK,fit=0.07mm jlc_offset=0 db=0.0
C25804,R4,OK,fit=0.08mm jlc_offset=0 db=0.0
C14860,CIN_A1,OK,fit=0.12mm jlc_offset=0 db=0.0
C14860,CIN_A2,OK,fit=0.12mm jlc_offset=0 db=0.0
C14860,CIN_C1,OK,fit=0.12mm jlc_offset=0 db=0.0
C14860,CIN_C2,OK,fit=0.12mm jlc_offset=0 db=0.0
C44480,F1,OK,fit=0.12mm jlc_offset=0 db=0.0
C21190,R2,OK,fit=0.08mm jlc_offset=0 db=0.0
C21190,R5,OK,fit=0.07mm jlc_offset=0 db=0.0
C21190,R6,OK,fit=0.08mm jlc_offset=0 db=0.0
C23630,CVCC1,OK,fit=0.08mm jlc_offset=0 db=0.0
C23630,CVCC2,OK,fit=0.08mm jlc_offset=0 db=0.0
C167218,L2,OK,fit=0.00mm jlc_offset=0 db=0.0
C31850,RFA1,OK,fit=0.07mm jlc_offset=0 db=0.0
C31850,RFC1,OK,fit=0.07mm jlc_offset=0 db=0.0
C55530,COUT_A1,OK,fit=0.05mm jlc_offset=0 db=0.0
